"text","cmp_code"
"De ouderen hebben de laatste jaren het meest in koopkracht ingeleverd.","706"
"De komende jaren gaat dat opnieuw gebeuren als we ons niet zeer krachtig verzetten.","706"
"Pensioenen worden al jaren niet meer geïndexeerd en de komende jaren in vele gevallen zelfs gekort.","706"
"De AOW is achtergebleven bij de loonontwikkeling en zal de komende jaren op de nullijn blijven, terwijl de prijzen en de BTW wél omhoog gaan.","706"
"Mensen die op een onbezorgde oude dag hadden gerekend, komen bedrogen uit.","706"
"De politieke partijen hebben de ouderen volledig in de steek gelaten.","706"
"Niemand is echt voor de ouderen opgekomen.","706"
"Ouderen vormen een machteloze groep.","706"
"Ze kunnen niet staken en zijn voor veel werkgevers niet interessant.","706"
"Daarom zal het plukken van de machtelozen ook de komende jaren doorgaan.","706"
"50-plussers zonder werk moeten weer een eerlijke kans op de arbeidsmarkt krijgen.","706"
"50PLUS, die nu al in acht provincies en in de Eerste Kamer zetels heeft, gaat op 12 september voor het eerst meedoen aan de Tweede Kamerverkiezingen.","305"
"De laatste drie regeringen waren afhankelijk van de steun van kleine partijen.","305"
"Dat kan de komende vier jaar weer het geval zijn.","305"
"50PLUS is er klaar voor.","305"
"De ouderen krijgen op 12 september een éénmalige kans.","305"
"Die moeten we met beide handen aangrijpen.","305"
"Stem daarom op 12 september 50PLUS.","305"
"50pLUS heeft, net als andere partijen, een totaalprogramma.","305"
"We willen dat kort en overzichtelijk houden.","305"
"Maar zoals een groene partij het accent legt op het milieu en de partij voor de Dieren op het welzijn van de dieren, zo legt 50pLUS terecht het accent op ouderen omdat die de afgelopen jaren het meest in koopkracht achteruit zijn gegaan en zonder ingrijpen ook de komende jaren weer het meest geplukt worden.","706"
"Daarom plaatsen wij de 50-plussers centraal in dit verkiezingsprogramma.","706"
"1.8% vakantiegeld voor aOW’ers absolute voorwaarde in heel nederland geldt een wettelijke verplichting van 8% vakantiegeld.","504"
"Maar de aOW’ers krijgen nog geen 6%.","504"
"Omdat voor zeer veel mensen de aOW het belangrijkste inkomen is, zal het optrekken van het vakantiegeld naar 8% broodnodig zijn.","504"
"40% van de 65-jarigen gaat nooit op vakantie vanwege geldgebrek of een slechte gezondheid (*1).","706"
"50pLUS zal een komende regering alleen steunen als er voldoende voor de ouderen wordt gedaan.","706"
"We stellen als absolute voorwaarde dat het vakantiegeld voor 65-jarigen ook naar 8% gaat.","504"
"Hierover valt niet te onderhandelen.","305"
"De AOW wordt welvaartsvast en gaat gelijk op met de loonontwikkeling","504"
"Het afschaffen van de AOW-partnertoeslag in 2015 moet worden uitgesteld als blijkt dat er minder vrouwen werk hebben gekregen dan in 1996 werd verwacht","504"
"2. De rekenrente voor pensioenen wordt hersteld op 4%, hetzelfde percentage als de overheid bij de belastinginning rekent.","504"
"Hierdoor verminderen de kortingen bij de pensioenfondsen, die bovendien beter gevulde kassen hebben dan ooit tevoren.","504"
"De pensioenleeftijd wordt op basis van vrijwilligheid flexibel.","706"
"Er komt geen automatische ontslagleeftijd","701"
"50PLUS vindt dat pas zinnig over verhoging van AOW-leeftijd en pensioenleeftijd gesproken kan worden als er veel meer banen zijn.","701"
