"content","cmp_code","eu_code"
"VERKIEZINGSPROGRAMMA2017 – 2021","H",NA
"Omdat ouderen het niet meer pikken!","H",NA
"Met dank aan de externe experts voor hun adviezen: Sjuul Paradijs Willem Vermeend Henry van de Wal Klaas Wilting. De enige partij die echt voor de ouderen opkomt!",NA,NA
"WE PAKKEN ZE TERUG!","H",NA
"De ouderen zijn de afgelopen jaren ongenadig hard gepakt door de VVD, PvdA, GroenLinks, ChristenUnie en D66.","503",NA
"Het zijn partijen die, nu de verkiezingen naderen, opeens belangstelling voor ouderen hebben.","503",NA
"Volstrekt ongeloofwaardig en onbetrouwbaar!","504",NA
"De ouderen zijn de afgelopen jaren beroofd van hun beloofde pensioen.","504",NA
"Geen indexeringen en zelfs kortingen.","504",NA
"En als er niets gebeurt, gaat dat de komende jaren gewoon door.","504",NA
"En dat terwijl de pensioenkassen stevig gevuld zijn.","504",NA
"De verhoging van de AOW-leeftijd is een groot debacle.","504",NA
"Tienduizenden ouderen kwamen onnodig in een uitkering terecht.","504",NA
"Ze waren bovendien kansloos op de arbeidsmarkt.","504",NA
"Velen kwamen of komen straks in financiële moeilijkheden door het AOW-gat.","504",NA
"Vijftigers en zestigers vrezen hun baan te verliezen.","504",NA
"Ze zijn bang niet meer aan de slag te zullen komen.","504",NA
"De ingreep van dit kabinet op de zorg is met name voor ouderen een grote schande;","504",NA
"het ultieme bewijs dat ze de sluitpost zijn van asociaal kabinetsbeleid.","504",NA
"Ze werden daarnaast geconfronteerd met een alsmaar stijgend eigen risico en met forse eigen bijdragen.","504",NA
"De 50-plusser moet vrezen voor zijn financiële toekomst als VVD, PvdA, GroenLinks, ChristenUnie en D66 het ook na de komende Tweede Kamerverkiezingen voor het zeggen houden.","504",NA
"De 50-plussers zijn enorm gepakt door de gevestigde partijen.","504",NA
"De datum waarop deze partijen teruggepakt kunnen worden, nadert zeer snel!","504",NA
"En het kan door niet meer te stemmen op partijen die lak hebben aan ouderen, maar door te stemmen op 50PLUS!","305.1",NA
"De enige partij die echt voor de ouderen opkomt!","305.1",NA
"We pakken ze terug op 15 maart!","305.1",NA
"50PLUS IS NOODZAKELIJK!","H",NA
"50PLUS heeft nadrukkelijk een totaalprogramma.","305.1",NA
"Kort en overzichtelijk.","305.1",NA
"De groene partijen leggen het accent op het milieu, de VVD komt vooral op voor de hogere inkomens en de Partij voor de Dieren let vooral op het welzijn van de dieren.","305.1",NA
"50PLUS legt in dit programma de nadruk op de 50-plussers.","305.1",NA
"De groep die de afgelopen jaren het meest heeft ingeleverd.","305.1",NA
"Ouderen hebben alle reden om hun toekomst met nog een keer een kabinet zonder 50PLUS met angst en beven tegemoet te zien!","305.1",NA
"Dus: stem 50PLUS!","305.1",NA
"15 belangrijke PLUSpunten:","H",NA
"De AOW-leeftijd terug naar 65 jaar.","504",NA
"Het huidige pensioenstelsel blijft behouden.","504",NA
"Pensioenroof wordt gestopt: géén kortingen van de pensioenen, wél indexeren!","504",NA
"Stop het gesol met de thuiszorg!","504",NA
"Meer erkenning en geld voor medewerkers in de thuiszorg.","504",NA
"Stop alle bezuinigingen op de zorg voor ouderen.","504",NA
"Er moet een stimuleringspakket komen om oudere werknemers aan het werk te krijgen én te houden.","402",NA
"Koopkracht van ouderen wordt hersteld en houdt in de toekomst gelijke tred met die van werkenden.","402",NA
"Afschaffing van de erfbelasting!","401",NA
"Het eigen risico wordt afgeschaft.","504",NA
"Een eerste stap kan een verlaging naar maximaal € 200,-zijn.","504",NA
"Einde aan de marktwerking in de zorg.","412",NA
"Macht en kosten van de zorgverzekeraars terugdringen.","412",NA
"WC’s in alle treinen.","503",NA
"Ouderen reizen buiten de spits voordelig met het openbaar vervoer.","503",NA
"Op elk perron en bij elke halte komen er zitplaatsen voor ouderen.","503",NA
