"text","cmp_code","eu_code"
"Een gezin betekent regelen en zorgen, maar ook aandacht hebben voor elkaar.","603",NA
"De gezinsfase is het spitsuur van het leven.","603",NA
"Een drukke en dure levensfase.","603",NA
"De toekomst van Nederland groeit er op.","603",NA
"Hier krijgen kinderen de basis mee.","603",NA
"Daarom moeten wij zuinig zijn op het gezin.","603",NA
"Het gezin krijgt bij ons alle kansen.","603",NA
"Financieel, door de koopkracht van gezinnen te ondersteunen.","603",NA
"Maar ook door de grotere mogelijkheden om opvoeding en werk te combineren.","603",NA
"De welvaart in de wereld is toegenomen.","410",NA
"Nederland kent een open economie en cultuur, en profiteert zelf ook sterk van de globaliserende economie.","401",NA
"Anderzijds verlaten nog steeds tientallen miljoenen mensen huis en haard, slaan op de vlucht voor armoede, voor burgeroorlogen of voor rovende en gewelddadige overhe-den.","107",NA
"De veiligheidsproblematiek is de afgelopen tijd steeds complexer gewor-den: falende staten, terrorisme en het bezit van nucleaire kennis kunnen gaan samenvallen.","107",NA
"Terroristische netwerken zijn erop uit culturele spanningen te laten overslaan naar de straten en scholen van Londen, Parijs, Madrid, New York en Amsterdam.","107",NA
"De opdracht om mensen, culturen en religies met elkaar te ver-binden wint door dit alles aan urgentie.","606",NA
"Ver weg en dichtbij.","606",NA
"Daarom is er een internationale inzet nodig,","107",NA
"maar ook een geloofwaardig en ambitieus beleid om nieuwkomers te laten participeren.","606",NA
"Geen enkel land kan de uitdagingen waar de globalisering ons voor plaatst alleen aan.","107",NA
"Daarom zijn nodig: een overtuigende buitenlandse politiek","107",NA
"en een Europa dat bijdraagt aan innovatie, duurzaamheid, veiligheid en terrorismebestrijding.","108",NA
"• Belangrijk voor ons land is een vitale en duurzame economie.","410",NA
"Nederland zal concurrerend en innovatief moeten zijn, juist nu landen als India en China ons de handschoen toewerpen.","411",NA
"Nederland moet daarom innoveren, nieuwe producten ontwikkelen en een plaats veroveren op de groeimarkten van de toekomst.","411",NA
"Ondertussen zal die groei duurzaam moe-ten zijn.","416",NA
"Anders groeit de milieuvervuiling ons boven het hoofd.","416",NA
"De opkomst van nieuwe economische reuzen vergroot de ernst van de CO2-problematiek en van de schaarste aan energie.","416",NA
"Maar juist daarom liggen er ook nieuwe mogelijkheden.","416",NA
"Investeren in duurzaamheid en schone energie is kansrijk.","416",NA
"Niet minder wezenlijk is een arbeidsmarkt die goed functioneert.","701",NA
"Er is een krimpen-de beroepsbevolking.","701",NA
"Er zijn personeelste-korten.","701",NA
"Tegelijk staan er nog teveel men-sen langs de kant.","701",NA
"Personeelstekorten gaan dan gepaard met werkloosheid.","701",NA
"De lonen nemen in zo’n situatie al snel toe en Nederland loopt het risico zich uit de markt prijzen.","701",NA
"Keerzijde van de krappe arbeidsmarkt is dat er extra kansen komen voor (soms) kwetsbare groepen op de arbeidsmarkt: oudere werknemers, gedeeltelijk arbeidsgeschikten en nieuwe Nederlanders.","705",NA
"Hoe bevorderen we hun participatie?","705",NA
"Solidariteit tussen generaties vraagt om het betaalbaar en toegankelijk hou-den van de AOW, de pensioenen en de gezondheidszorg, ook in de toekomst als de vergrijzing zich krachtiger gaat afteke-nen.","504",NA
"Daar is geld voor nodig, maar onder-tussen vraagt ook de huidige generatie om een goede en gerichte inkomensbe-scherming om zo armoede tegen te gaan.","504",NA
"Daarbij is het van belang niet alleen op het inkomen van mensen te letten, maar ook op de vaste lasten die soms het besteedbaar inkomen onder druk zetten.","504",NA
"Het is van belang dat scholen, zorgin-stellingen, etc.topprestaties leveren.","504",NA
"Nederland is een kennissamenleving.","506",NA
"Schooluitval en een zesjescultuur moe-ten daarom worden vermeden.","506",NA
"In de gezondheidszorg zijn innovaties en doelmatigheid van belang om de zorg op peil en toegankelijk te houden en om enorme premiestijgingen te vermijden.","411",NA
"Het is van belang dat instellingen zich verantwoorden in de richting van respec-tievelijk patiënten, studenten en ouders.","606",NA
"Dat stimuleert, verhoogt de prestaties en versterkt het vertrouwen in elkaar.","606",NA
"Het scheppen van een uitdagend werkklimaat is ook wezenlijk om personeelstekorten, om wachtlijsten in de zorg en lesuitval in het onderwijs te voorkomen.","701",NA
"Een goede opvoeding,","603",NA
"een veilig klimaat thuis,","416",NA
"de overdracht van waarden en normen door scholen en de media,","603",NA
"en het besef dat van ieder een waardevolle bijdrage gevraagd mag worden,","606",NA
"verrijken het leven,","606",NA
"versterken het besef dat een mens meer is dan klant van de samen-leving.","606",NA
"Dat is wezenlijk voor de sociale samenhang en het geeft diepte en inhoud aan het leven.","606",NA
"Juist nu participatie op de arbeidsmarkt van zo groot belang is, moe-ten we er wel voor zorgen dat er ruimte is voor het gezin, voor opvoeding en voor vrijwilligerswerk.","603",NA
"Veiligheid op straat is voor verbondenheid een wezenlijke rand-voorwaarde.","605",NA
"In de gezinnen van Nederland groeit de toe-komst van ons land op.","603",NA
"Kinderen en volwas-senen leren er wat liefde, geborgenheid en zelfvertrouwen is en leren anderen respec-teren.","603",NA
"Ze leren er de waarden en normen van onze maatschappij kennen en hoe deze in de praktijk te brengen.","603",NA
"Daarom moeten we zuinig zijn op gezinnen.","603",NA
"Opvoeden vraagt veel van ouders, zeker nu de gezins-fase meer dan ooit het spitsuur van het leven is geworden.","603",NA
"Er is vaak tijdsdruk en er is financieel minder bestedingsruimte.","603",NA
"De afgelopen jaren zijn gezinnen financieel geholpen door onder meer de afschaffing van het lesgeld voor 16-17-jarigen en de gratis zorgverzekering voor kinderen.","603",NA
"Het CDA wil de koopkracht van gezinnen verder ondersteunen.","603",NA
"Ook willen we ouders meer mogelijkheden geven om een goede balans te vinden tussen werk en gezin, zeker nu de beroepsbevolking krimpt en er een toenemend beroep op mensen moet worden gedaan om te participeren.","603",NA
"er voor ouders meer te kiezen valt.","603",NA
"Zij moeten zelf kunnen bepalen hoe zij hun kinderopvang willen regelen en krijgen daar meer geld voor;","603",NA
"er extra geld voor de kinderbijslag en de inkomensafhankelijke kindertoeslag komt;","504",NA
"schoolboeken in het voortgezet onderwijs gratis worden voor ouders;","506",NA
"mensen hun gezin en hun baan beter met elkaar kunnen combineren.","603",NA
"Wie het werk onderbreekt voor het gezin of voor een opleiding moet dat kunnen doen, zonder dat dit uitdraait op groot verlies aan inko-men.","603",NA
"Wie via de levensloopregeling iets van zijn inkomen opzij legt, krijgt van de overheid bij ouderschapsverlof een extra bijdrage;","603",NA
"de werkgeversbijdrage aan de levensloop-regeling gericht moet kunnen worden gegeven, namelijk alleen aan degenen die meedoen aan de regeling.","408",NA
"Dit zal werkgevers stimuleren om CAO-afspraken hierover te maken en werknemers stimu-leren om aan de regeling deel te nemen;","408",NA
"verslavingen worden bestreden door kin-deren gezonder te laten eten op school,","504",NA
"door sport te bevorderen,","502",NA
"drugs uit de buurt van kinderspeelplaatsen, school-pleinen en sportvelden te houden,","603",NA
"door een strenger verbod op tabak- en alcohol-verkoop aan jeugdigen","603",NA
"en door ouders meer invloed te geven op wat er allemaal op tv te zien is;","603",NA
"ouders hulp kunnen krijgen bij opvoe-dingsvragen.","603",NA
"Zij kunnen opvoedingsadvies en -ondersteuning ontvangen, maar voor-al ook bij elkaar te rade gaan in Centra voor Jeugd en Gezin.","603",NA
"Ook dat levert een bijdrage aan een vroegtijdige signalering en vooral hulp bij problemen;","603",NA
"starters op de woningmarkt terecht kun-nen bij een fonds, zodat zij een gezin kun-nen vormen en voor hun hypotheeklasten een steuntje in de rug krijgen;","706",NA
"dat het huishoudinkomen uitgangspunt is voor het aan een plafond of maximum binden van de (genormeerde) kosten die mensen maken voor wonen, de zorg-premie voor het basispakket en voor de kosten van hun kinderen.","706",NA
"Armoede, ook bij middeninkomens, wordt zo gericht bestreden.","705",NA
"Voor de huur- en kindertoe-slag wordt meer geld uitgetrokken om zo gericht armoede tegen te gaan.","504",NA
"Sociale samenhang is in onze tijd niet meer vanzelfsprekend.","606",NA
"De samenleving is veelkleurig, de Europese Unie wordt steeds groter, werkverbanden duren korter dan vroeger.","606",NA
"Maar de behoefte aan gemeen-schapszin is onverminderd groot.","606",NA
