"text","cmp_code"
"Het gaat om iedereen.","606"
"Jong en oud, klein en groot, rijk en arm, man en vrouw, ziek en gezond, student en gepensioneerd, stedeling en plattelander, ondernemer en werknemer, nieuwkomer en achterblijver.","606"
"Het gaat misschien wel het meest om onze kinderen.","305"
"Als wij nu niet doen wat nodig is, zitten zij straks met onze problemen: schulden, verdeeldheid, verruwing, overlast, vervuiling, werkloosheid.","305"
"Het gaat bij de ingelaste verkiezingen voor de Tweede Kamer, op 12 september, om onze toekomst.","606"
"Om de toekomst van iedereen.","606"
"We houden verkiezingen in een onzekere tijd.","305"
"Veel mensen zijn bezorgd over de toekomst.","305"
"Vanwege de huizenmarkt die vastgelopen is, hun werk, hun pensioen of de bezuinigingen, die op hen afkomen.","305"
"Die zorgen zijn goed te begrijpen want er staat veel op het spel.","305"
"In de keuzes van vandaag geven we vorm aan het Nederland van onze kinderen.","305"
"Het CDA gelooft dat Nederland het vermogen heeft om sterker uit de crisis te komen.","305"
"Als we nu de juiste keuzes durven maken, als we bereid zijn om lessen te trekken uit wat mis is gegaan.","305"
"Wij hebben vertrouwen in mensen, vertrouwen in hun gezond verstand en daarom vertrouwen in de toekomst.","606"
"In tijden van crisis val je terug op je diepste wortels.","603"
"De christelijke traditie reikt ons universele begrippen aan als naastenliefde en persoonlijke verantwoordelijkheid.","603"
"We komen pas tot ons recht in relatie tot anderen.","606"
"Een rode draad in onze benadering is daarom het versterken van de gemeenschappen.","606"
"Wij willen de kracht benutten van mensen, bedrijven, scholen en andere organisaties.","606"
"Wij zijn ten diepste een ‘wij-land’.","606"
"Met dit verkiezingsprogramma richt het CDA zich daarom tot iedereen die zich betrokken voelt bij Nederland, een prachtig land!","601"
"Wij laten ons niet afschrikken door de crisis.","410"
"Wij kiezen voor werk en ondernemen.","401"
"Een land waar mensen ruimte wordt gegund.","201"
"We kiezen voor groei die in alle opzichten duurzaam en innovatief zal zijn.","416"
"We bieden nieuwe antwoorden over de rolverdeling tussen overheid, bedrijven en mensen.","303"
"Juist nu kunnen we creatieve oplossingen vinden; slimmer, sneller en minder duur.","303"
"De crisis is geen excuus om met onze rug naar de toekomst te staan.","305"
"Partijen die beloven dat alles bij het oude blijft, zetten de toekomst op het spel.","305"
"Nu de overheid kleiner wordt, knellen bureaucratie en regels eens te meer.","303"
"Wij willen krachtig bijdragen aan een slagvaardige overheid.","303"
"Een overheid die past bij een ambitieus land waar mensen willen wonen, werken en ondernemen.","303"
"Een land waar een afspraak ook afspraak is, een land waar mensen zich thuis voelen.","605"
"Wij voelen ons verantwoordelijk voor een overheid die begrijpt en begrijpelijk is.","503"
"Die rechtvaardig is en dichtbij.","503"
"Wij willen een overheid van en voor mensen.","606"
"Iedereen doet mee.","606"
"Nederland is een land waarin ouders hard werken om hun kinderen een toekomst te geven.","603"
"Ze combineren zo goed als dat gaat werk en thuis.","603"
"Ze doen dat samen met scholen, sportclubs en kinderopvang.","606"
"Kinderen grootbrengen is een grote verantwoordelijkheid.","603"
"Wij willen ouders daarin ondersteunen.","603"
"Het CDA investeert in mensen.","506"
"Wij willen dat het Nederlandse onderwijs het beste ter wereld wordt.","506"
"En dat kan!","506"
"Wij willen meer uitdaging, onderzoek en innovatie.","411"
"Beter beroepsonderwijs dat grotere kansen op werk geeft.","506"
"Wij zetten in op het beste wat wij hebben: mensen en ondernemingen met nieuwe ideeën die mee kunnen helpen de wereld eerlijker en duurzamer te maken.","416"
"Nederland vergrijst.","505"
"Ook daarvoor zijn nieuwe keuzes nodig.","505"
"Hoe houden we de voorzieningen op peil als er straks twee keer zoveel ouderen zijn per werkende?","505"
"Allereerst door te kiezen voor langer doorwerken.","505"
"Voor iedereen die dat kan.","505"
"Maar ook door in de zorg een nieuwe balans te vinden.","606"
"Wij dragen samen de zorg voor mensen die door ziekte en ouderdom dat niet meer zelf kunnen.","606"
"En we investeren in een stelsel waarin voorkomen weer beter is dan genezen.","504"
"Nederland is een veilig land, waar de overheid rechtvaardig handelt ten opzichte van iedereen","201"
"en streng is waar nodig.","605"
"Het recht geldt voor iedereen, ongeacht wie je bent.","605"
"Wie kiest voor dit land spreken wij aan op respect en fatsoen.","603"
"Succesvolle integratie zien wij als een wederzijdse opgave en vooral een wederzijds belang.","608"
"Nederland is een klein land met een enorm buitenland.","107"
"Daar verdienen we ons geld en dragen we bij aan een betere wereld.","107"
"Het aanvankelijke optimisme over de Europese eenwording en de euro is verbleekt door de zorgen over de kwetsbaarheid van de Europese samenwerking.","110"
"Strenge maatregelen zijn nodig om te voorkomen dat we ooit nog zo diep moeten gaan.","108"
"Maar wij geloven dat er geen toekomst is zonder Europa.","108"
"Juist omdat de zorgen van Nederlanders ons ter harte gaan, willen we meewerken aan een democratisch Europa dat bijdraagt aan stabiliteit en welvaart, werk en inkomen.","108"
"Wij willen vanuit Europa bijdragen aan een modernere wereldeconomie die mensen helpt, schaarste eerlijk verdeelt en verspilling tegengaat.","108"
"Dat is ook goed voor Nederland.","108"
"Wij steunen landen die respectvol omgaan met hun burgers en mensenrechten eerbiedigen.","201"
"Wij leveren ons aandeel aan het terugdringen van honger en armoede.","107"
"De maatregelen van vandaag bepalen de kansen van onze kinderen.","305"
"Wij denken dat het anders kan.","305"
"En beter moet.","305"
"Ons antwoord op de problemen van vandaag– of het nu gaat om de economie of de zorg, het onderwijs of de veiligheid – ligt in een andere balans tussen overheid en mensen zelf.","606"
"Wij kiezen voor het versterken van de gemeenschap en voor meer degelijkheid en gezond verstand.","606"
"Wij willen echt hervormen.","414"
"Wij kiezen voor een land waarin mensen met respect met elkaar omgaan.","603"
"Wij kiezen voor verbinding in plaats van uitsluiting.","606"
"Voor oplossingen in plaats van polarisatie.","606"
"Wij doen wat nodig is.","305"
"Wij kiezen voor het nieuwe midden.","305"
"Voor samen.","606"
"Voor mensen zelf.","201"
"Voor iedereen.","606"
"De toekomst van onze kinderen vraagt om nieuwe keuzes.","305"
"Als brede volkspartij gelooft het CDA in de kracht van Nederland.","601"
"Als we nu de juiste keuzes maken, komen we straks sterker uit de crisis.","305"
"Samen kunnen we dat.","606"
"Daarom gaat het straks, bij de ingelaste verkiezingen voor de Tweede Kamer op 12 september.","606"
"Een herstelbeleid verdient een stevige, eerlijke en brede aanpak, een aanpak vanuit het nieuwe midden, het midden dat zich richt op wat mensen bindt.","305"
"Het vraagt moed en medemenselijkheid.","305"
"De financiële en economische crisis – minstens zo zeer een culturele en morele crisis – vergt meer dan bezuinigen.","603"
"Zonder fatsoen, waarden en normen blijft het herstel op z’n best halverwege steken.","603"
"Het zijn niet de cijfers die bepalend zijn voor de toekomst van Nederland.","606"
"Het zijn de mensen achter de cijfers.","606"
"Het gaat er om die kracht te mobiliseren.","606"
