"content","cmp_code","eu_code"
"CDA.","H",NA
"Keuzes voor een beter Nederland.","H",NA
"Verkiezingsprogramma 2017-2021","H",NA
"Waarden & traditie.","H",NA
"Sterke samenlaving Familie & gezin","H",NA
"Zorg voor elkaar Eerlijke economie.","H",NA
"Eerlijke economie.","H",NA
"Leeswijzer","H",NA
"De politiek gaat te weinig over de grote vraagstukken, die er voor mensen werkelijk toe doen.","305.1",NA
"Dat is een belangrijke oorzaak van de onvrede die veel mensen voelen bij de politiek van vandaag.","305.1",NA
"Het politieke debat loopt vast in managementtaal, doorrekeningen en vastgeroeste standpunten.","305.1",NA
"Wij willen in plaats daarvan een stevig debat over onze gedeelde waarden, de betekenis van burgerschap of recht¬vaardigheid in onze samenleving.","305.1",NA
"Wij willen breken met die oppervlakkigheid en met de politieke verlegenheid om morele keuzes te maken.","305.1",NA
"Dit programma heeft niet de pretentie om voor de komende vier jaar alle mogelijke problemen en uitdagingen te voorspellen en van een pasklaar antwoord te voorzien.","305.1",NA
"Daarvoor verandert onze wereld veel te snel.","305.1",NA
"Wel bieden we een fundamentele analyse van wat er vanuit onze christendemo¬cratische visie op de samenleving mis gaat, beter kan of anders moet.","305.1",NA
"Dat zijn de grote keuzes die we maken voor het land dat we door willen geven aan onze kinderen en kleinkinderen.","305.1",NA
"Juist omdat dit plan geen volledige catalogus van standpunten wil zijn, komen deze analyses en keuzes sterker naar voren.","305.1",NA
"Op onderwerpen die om die reden niet aan bod komen, staat het standpunt dat we eerder innamen.","305.1",NA
"Waarden en traditie","H",NA
"Wij kiezen voor een beter Nederland.","601.1",NA
"Voor een positief antwoord op de terechte zorgen van vele mensen, een doordacht perspec tief op hoe het anders kan.","601.1",NA
"En beter.","601.1",NA
"Voor ons begint dat perspectief bij de waarden die we met elkaar delen, de waarden waarop onze samenleving is gebouwd.","603",NA
"Als we zeker zijn over die waarden en tradities kunnen we de onzekerheid en uitdagingen van deze tijd aan.","603",NA
"Als we 'nee' durven zeggen tegen het onfatsoen, de mateloosheid en het doorgeschoten individualisme, bouwen we een sterke samenleving waar respect en saamhorigheid de norm zijn en gemeenschapszin de belangrijkste waarde.","603",NA
"CDA 1000 “Onze waarden en normen zijn niet vrijblijvend.","603",NA
"Verworven vrijheden worden begrensd door verantwoordelijkheid en respect voor elkaar”","603",NA
"1. Inleiding: waarden en traditie","H",NA
"We zijn een klein land van 17 miljoen mensen, dat groot is geworden door samenwerking in onze gezamenlijke strijd tegen het water, door onze handelsgeest en onze openheid naar de wereld en door onze gemeenschapszin, die mensen hier een veilig thuis bood.","601.1",NA
"Ons land is al eeuwenlang een plek waar mensen met verschillende religieuze en culturele achtergronden en botsende politieke overtuigingen vreedzaam met elkaar samenleven.","601.1",NA
"Waar democratie en recht altijd het laatste woord hebben.","202.1",NA
"Het zijn precies die waarden en tradities die nu onder druk staan.","606.1",NA
"De crises van de afgelopen jaren hebben veel Nederlanders bezorgd en onzeker gemaakt, door het verlies aan zekerheid, de vrees voor terreur en een toenemend gebrek aan respect en saamhorigheid.","606.1",NA
"In de ik-samenleving van vandaag hebben we onvol¬doende besef van het belang van gedeelde waarden en de onderlinge spelregels die nodig zijn om met elkaar samen te leven.","606.1",NA
"We zijn te veel gaan geloven in een vrijheid zonder verantwoordelijkheid, in een wereld van rechten zonder plichten.","606.1",NA
"De voorbeelden zien we dagelijks om ons heen.","606.1",NA
"Op internet en social media is de vrijheid van meningsuiting voor sommigen vooral een vrijbrief voor beledigen en kwetsen.","606.1",NA
