"text","cmp_code","eu_code"
"Te veel mensen kunnen of willen niet meedoen in de samenleving;","606",NA
"goed onderwijs en een goede gezondheidszorg staan onder druk;","504",NA
"een grote groep jongeren verlaat het onderwijs zonder diploma.","506",NA
"Doordat we geen grenzen durven te stellen, lijden jonge mensen schade door een overmatige aandacht voor seks en het gebruik van drugs en alcohol;","603",NA
"er is te weinig besef van onze verantwoordelijkheid voor het milieu en de natuurlijke hulpbronnen.","501",NA
"Bevolkingsgroepen vertrouwen elkaar niet en het komt niet tot wederzijds begrip.","607",NA
"Al deze kwesties raken ons in ons dagelijks leven.","606",NA
"Veel mensen ervaren onzekerheid over de toekomst, onveiligheid op straat en in de eigen omgeving, en onbehagen over de spanningen in onze samenleving.","606",NA
"Een bloeiende economie blijkt weinig te zeggen over de kwaliteit van het leven.","606",NA
"Natuurlijk, Nederland is een welvarend land, waar het goed wonen is.","601",NA
"Tegelijk worstelt onze samenleving met veel problemen, die om heldere keuzes en verantwoorde oplossingen vragen.","305",NA
"Of het gaat om de hervorming van de verzorgingsstaat, een nieuwe verdeling van verantwoordelijkheden tussen overheid en burger, migratie en integratie, de verhoudingen tussen bevolkingsgroepen, botsende grondrechten, de dreiging van terrorisme en criminaliteit, of vraagstukken van internationale gerechtigheid.","305",NA
"De ChristenUnie wil de uitdagingen waarmee onze samenleving zich geconfronteerd ziet, aangaan.","305",NA
"Wij doen dat vanuit een duidelijke en herkenbare visie op menszijn, samenleven en politiek, die is gebaseerd op het christelijk geloof.","603",NA
"Daarmee heeft de ChristenUnie een geheel eigen positie in de Nederlandse politiek.","305",NA
"Gelovig luisterend naar het Woord van God en met een open oog voor de werkelijkheid willen we invloed uitoefenen op het bestuur van ons land en bijdragen aan het welzijn van de samenleving.","603",NA
"We laten ons daarbij aansporen door Gods opdracht om Hem lief te hebben en ook onze medemensen.","603",NA
"Vanuit de verbondenheid met God zijn we gericht op de verbondenheid met mens en samenleving.","603",NA
"Mensen komen tot hun recht in gemeenschap met anderen!","606",NA
"Daarom gaat het ons aan het hart als mensen worden uitgesloten van (actief) burgerschap, als jongeren geen eigen plek vinden en aan de rand van de maatschappij terechtkomen, als ouderen in een isolement raken en verstoken blijven van zorg en aandacht, als relaties stukgaan en belangrijke maatschappelijke verbanden als het gezin, de kerk, de school, het verenigingsleven hun betekenis verliezen.","606",NA
"Als groepen burgers tegenover elkaar staan.","606",NA
"We beseffen dat de overheid niet al deze problemen kan oplossen.","606",NA
"Mensen en hun organisaties dragen verantwoordelijkheid voor hun eigen keuzes.","607",NA
"Het terrein waarop de politiek rechtstreeks invloed kan uitoefenen, is beperkt tot de publieke samenleving.","607",NA
"Maar de overheid heeft, als dienares van God, wel de taak om, voorzover dat in haar vermogen ligt, bij te dragen aan een samenleving, waarin mensen tot hun recht kunnen komen en in vrede met elkaar kunnen leven.","606",NA
"Zo kan de samenleving groeien in vertrouwen.","606",NA
"De afgelopen jaren is veel aandacht uitgegaan naar hervormingen en stelselwijzigingen op het terrein van de economie, de gezondheidszorg en de sociale zekerheid.","505",NA
"De ChristenUnie erkent dat er op deze terreinen het nodige moest gebeuren en heeft veel van de maatregelen dan ook gesteund.","505",NA
"Tegelijkertijd moeten we vaststellen dat het kabinetsbeleid op wezenlijke punten tekort is geschoten.","503",NA
"De hervormingsagenda werd afgewerkt zonder aandacht voor de ingrijpende gevolgen die dit in het bijzonder voor de kwetsbare groepen in de samenleving had.","503",NA
"Het – terechte - uitgangspunt van de eigen verantwoordelijkheid van mensen verwerd tot een ideologie, waarbij werd verzuimd om mensen in staat te stellen die verantwoordelijkheid ook waar te maken.","503",NA
"Sociale gerechtigheid waar de Bijbel onder meer in Micha 6 vers 8 toe oproept, kwam in het gedrang.","503",NA
"De markt werd te makkelijk aangewezen als de oplossing voor onze problemen.","503",NA
"Het kabinet vergat de zorg voor een schoon milieu, duurzame productie, de jeugd, migranten en ouderen met alleen AOW.","305",NA
"Vreemdelingenbeleid en integratiebeleid werden ‘streng en rechtvaardig’, maar in de toepassing ging te vaak de menselijkheid verloren.","201",NA
"De laatste jaren zijn er tekenen die wijzen op een kentering in het maatschappelijk klimaat.","603",NA
"Tendensen van materialisme, individualisme en ‘vrijheid blijheid’ blijken forse schaduwzijden te kennen.","603",NA
"En hoewel het ‘waarden en normen’-debat van de kant van de regering rijkelijk vaag en abstract is gebleven, is de ChristenUnie verheugd over de groeiende belangstelling voor universele waarden, die bekend zijn uit de Bijbel en verrassend actueel blijken voor de samenleving, waarin wij nu leven.","603",NA
"Ga maar na.","603",NA
"Wat hebben we de afgelopen jaren met elkaar kunnen vaststellen?","603",NA
"-Er blijft te weinig tijd over om kinderen zelf op te voeden en om met hen te genieten, omdat ouders meer moeten werken om de lasten te kunnen betalen.","603",NA
"-Regels zijn nuttig.","603",NA
"We hebben het gehad met de hufterigheid op straat, met zinloos geweld, met bloot en seks op tv en op internet.","603",NA
