"text","cmp_code"
"Het valt moeilijk te ontkennen.","414"
"We hebben te maken met een diepe schuldencrisis en economische neergang.","414"
"Daar gaat dit programma natuurlijk op in.","414"
"Maar deze verkiezingen gaan over veel meer dan een financiële crisis.","606"
"Of een vastgelopen economie.","606"
"Deze crisis gaat over meer dan geld en goed, over meer dan werk, inkomen en een huis.","606"
"De onvrede over Europa gaat over meer dan de euro en de financiële steun aan wankele landen.","606"
"Deze verkiezingen gaan over mensen van vlees en bloed.","606"
"Over onze ouders, onze kinderen, onze buren, over de leerkracht in de school om de hoek, de verpleegkundige en de dokter in onze woonplaats, over onze werkgever en over onze werknemers.","606"
"Ze gaan over onszelf, onze manier van samenleven, onze onderlinge omgang.","606"
"Wij zijn mensen.","606"
"We zijn geschapen naar Gods beeld met het doel tot eer van Hem te leven en onze naaste lief te hebben als onszelf.","603"
"Ons leven gaat daarom om veel meer dan geld en goed.","606"
"We willen niet alleen maar een betaalbaar huis, maar verlangen vooral naar geborgenheid en veiligheid.","606"
"We willen niet alleen een baan met salaris, maar vooral waardering en mogelijkheden om onze talenten te ontplooien.","606"
"We willen niet alleen een overheid die op de euro let, maar vooral een samenleving waarin we ruimte krijgen, gehoord worden","606"
"en zwakkeren beschermd worden.","503"
"We willen geen samenleving waarin ons tot in detail verteld wordt wat we moeten denken en doen, maar willen vrijheid om zelf verantwoordelijkheid te nemen en van daaruit eigen keuzes te maken.","201"
"We willen niet een wereld waarin wijzelf misschien rijk zijn, maar vooral een wereld waarin we omzien naar elkaar","503"
"en die ook leefbaar blijft voor onze kinderen.","416"
"Zo staan wij anno 2012 op een kruispunt in de geschiedenis van ons land en van Europa.","305"
"Geconfronteerd met grote vraagstukken met verreikende gevolgen.","305"
"Bij het zoeken naar antwoorden wil de ChristenUnie zich laten leiden door de Bijbel, het gezaghebbende Woord van God.","603"
"Geïnspireerd door dit Woord maken we politieke keuzes.","603"
"De Bijbel gaat immers ook over het goede kiezen voor maatschappij en samenleving.","603"
"En dus ook over de politiek en over het over handelen in tijden van crisis.","603"
