"content","cmp_code","eu_code"
"<Hoopvol Realistisch>","H",NA
"Verkiezingsprogramma 2017-2021","H",NA
"Vastgesteld door het partijcongres op 26 november 2016","H",NA
"Hoop voor het goede leven","H",NA
"Nederland is een goed land om in te leven.","601.1",NA
"Met initiatiefrijke burgers, innovatieve ondernemers en een goed georganiseerde overheid.","601.1",NA
"Uitgangspunten voor een toekomst met perspectief, waarin de samenleving kan bloeien en mensen, jong, oud, sterk en kwetsbaar tot hun recht komen.","601.1",NA
"Tegelijk is er in ons land ook veel onzekerheid, verdeeldheid en onvrede.","601.1",NA
"Velen kijken niet hoopvol, maar juist somber naar de toekomst.","601.1",NA
"Velen zijn verontwaardigd en voelen zich verwaarloosd.","601.1",NA
"Wat is er aan de gang in ons land?","601.1",NA
"Ons land dat zich eeuwenlang als een christelijke natie heeft ontwikkeld.","601.1",NA
"Waar geloofsvrijheid bloeide.","601.1",NA
"Waar in essentie christelijke waarden als menselijke waardigheid, gelijkwaardigheid, naastenliefde, verdraagzaamheid en zorg voor onze omgeving centraal stonden.","601.1",NA
"Waar goed bestuur staat voor het bevorderen van maatschappelijke vrede.","601.1",NA
"Waar komt die onvrede vandaan?","601.1",NA
"Breuklijnen","H",NA
"Op het eerste gezicht lijkt er weinig aan de hand.","602.1",NA
"We leven in een van de gelukkigste, veiligste, minst corrupte, meest welvarende en best georganiseerde landen van de wereld.","602.1",NA
"Zeer velen zetten zich belangeloos in als mantelzorger of vrijwilliger.","602.1",NA
"De banenmotor draait weer, de werkloosheid daalt.","602.1",NA
"Maar toch is er boosheid.","602.1",NA
"Over krimpende pensioenen, over verschralende zorg.","602.1",NA
"Over kansloosheid op de arbeidsmarkt als 50+’er.","602.1",NA
"Over het soms al 10 jaar uitblijven van een vast contract.","602.1",NA
"Over Europa dat veel geld kost en weinig oplost.","602.1",NA
"Over groepen migranten die meer loyaal aan het land van herkomst zijn dan aan Nederland.","602.1",NA
"Er is het gevoel dat onze Nederlandse identiteit en de kernwaarden van onze samenleving onder druk staan.","602.1",NA
"Dat een maatschappij is ontstaan met meer ‘ik’ dan ‘wij’.","602.1",NA
"Heeft de politiek hier een antwoord op?","305.1",NA
"Kunnen we saamhorigheid, perspectief en hoop bieden?","305.1",NA
"Of alleen maar meer verdeeldheid en het aanwijzen van zondebokken in binnen-en buitenland?","305.1",NA
"De ChristenUnie onderkent dat onze tijd grote vraagstukken kent:","305.1",NA
"een haperende, op schulden gebouwde en niet duurzame wereldeconomie, tweedeling op de arbeidsmarkt tussen flex en vast.","416.2",NA
"Een pensioenstelsel met tegenstellingen tussen jong en oud, premiebetaler en pensioenontvanger.","504",NA
"Een ingewikkeld en oneerlijk belastingstelsel.","303",NA
"Grote bedrijven en rijken die belasting ontwijken terwijl de gewone burger de verzorgingsstaat ziet afbrokkelen.","503",NA
"Vluchtelingen die ook aanspraak maken op schaarse woningen en banen.","602.1",NA
"Klimaatverandering die om ingrijpende maatregelen vraagt.","416.2",NA
"(Burger-)oorlogen aan de grenzen van Europa, terroristische aanslagen en islamitische radicalisering die onze veiligheid en vrede bedreigen.","104",NA
"Turkije en Rusland die steeds autocratischer hun eigen weg gaan.","109",NA
"Die vraagstukken vragen om een doordacht en samenbindend antwoord van de politiek.","305.1",NA
"Niet om meer polarisatie, maar om praktische oplossingen.","601.1",NA
"Identiteitscrisis","H",NA
"De ChristenUnie is van oordeel dat ons land zich in een diepe identiteitscrisis bevindt.","601.1",NA
"Een identiteitscrisis die duidelijk maakt dat deze tijd vraagt om meer dan financiële houdbaarheid en economische groei.","601.1",NA
"We hebben behoefte aan een moreel antwoord dat ten diepste gaat over de vraag:","601.1",NA
"wat voor samenleving willen we zijn?","601.1",NA
"Welke waarden dragen ons bestaan?","601.1",NA
"Wat vinden we echt belangrijk?","601.1",NA
"De ChristenUnie denkt dat er veel te lang, veel te weinig oog is geweest voor de grote groepen in de samenleving die niet hebben geprofiteerd van globalisering, vrijhandel, innovatie en open grenzen.","601.1",NA
"Ook zien wij dat decennia van cultuurrelativisme het zicht op de samenbindende, ten diepste christelijke waarden van onze samenleving hebben weggenomen.","603",NA
"En dat daar terecht onvrede en frustratie uit ontstaat.","601.1",NA
"Hoop","H",NA
"Nederland staat voor grote uitdagingen, maar kan die naar onze overtuiging zeker aan.","601.1",NA
"Daarvoor is het wél nodig dat leiders in overheid, publieke organisaties en bedrijfsleven hun moreel kompas hervinden.","603",NA
"Dat de in basis christelijke grondwaarden van onze rechtstaat en samenleving weer worden hervonden.","603",NA
"Dat in beleid en uitvoering de mens en de menselijke maat weer centraal komt te staan.","603",NA
"Dat de nadruk op “ik en mijn recht” plaatsmaakt voor “wij met en voor elkaar”.","606.1",NA
"De samenleving dat is niet de overheid die er is om voor mij te zorgen, dat is niet de ander die de schuld is van mijn probleem.","606.1",NA
"Nee, de samenleving:","606.1",NA
"dat zijn wijzelf en daar nemen we allemaal onze verantwoordelijkheid voor.","606.1",NA
"Nieuwkomer en Nederlander, oud en jong, arm en rijk.","503",NA
"Het goede leven","H",NA
"Wij geloven dat God deze wereld heeft geschapen en de mensen opdracht heeft gegeven vrede na te streven en dienstbaar te zijn aan elkaar.","603",NA
"Wij geloven daarom dat christelijke uitgangspunten in de politiek relevant zijn voor Nederland.","603",NA
"Dat het centraal stellen van christelijke waarden goed is voor onze samenleving en ook een kompas geeft om op te koersen.","603",NA
"Als christelijke partij onderkennen wij daarbij de grenzen van de maakbaarheid.","603",NA
"De oorzaken van veel van de genoemde vraagstukken liggen maar deels binnen het bereik van de (nationale) overheid.","504",NA
"De erkenning van de inherente gebrokenheid van ons bestaan gaat gepaard met de onderkenning dat de overheid niet alles gaat oplossen.","606.1",NA
"Tegelijk geloven we wel dat goed bestuur en goed moreel leiderschap de basis vormen en kansen scheppen voor een bloeiende samenleving.","606.1",NA
"Een land met samenwerkende burgers, ondernemerschap en mensen die omzien naar elkaar en de schepping.","603",NA
"Met een overheid die het zwakke beschermt en het sterke reguleert en zo vrede sticht naar de oproep uit Psalm 72: 4 (“…rechtdoenaande zwaenenreddingbiedenaandearmen”).","603",NA
"Toekomst voor onze kinderen","H",NA
"Denkend aan een hoopvolle toekomst kiezen wij als ChristenUnie principieel voor toekomstige energiebeleid;","416.2",NA
"goed en toegankelijk onderwijs","506",NA
"en een einde aan de tweedeling op de arbeidsmarkt.","503",NA
"We willen een open en inclusieve samenleving met gelijke kansen voor alle jongeren en een voor jong en oud eerlijk en houdbaar pensioenbeleid.","503",NA
"Wij willen een land waar de schepping wordt beheerd en behouden voor volgende generaties","603",NA
"en waar de kwaliteit van water, lucht, bodem en natuur weer vooruit gaat.","501",NA
"Iedereen telt mee","H",NA
"Wij kiezen voor een land waar uit liefde voor de naaste iedereen meetelt.","503",NA
"Daarom willen we een land waar het leven altijd beschermwaardig is en gezinnen veilige havens kunnen zijn.","503",NA
"Een land waar vluchtelingen én mensen met een beperking, zorgbehoevende ouderen én mensen aan de onderkant van de arbeidsmarkt, Nederlanders die vele generaties hier leven én (kinderen van) migranten gelijkwaardig meetellen.","503",NA
"En meetellen betekent in onze ogen ook meedoen.","503",NA
"De ChristenUnie staat voor een samenleving waar iedereen betaald of onbetaald, jong of oud, een bijdrage levert.","503",NA
"Opkomen voor vrede en vrijheid","H",NA
"De ChristenUnie komt op voor de vrijheid van godsdienst, vrijheid van meningsuiting en vrijheid van onderwijs.","201.1",NA
"Met een heroriëntatie op wie we als land zijn, waar we vandaan komen en waar we (grondwettelijk) voor staan.","201.1",NA
"En we komen ook op voor de verdediging van die vrijheid en die identiteit tegen bedreigingen van binnenuit en van buitenaf.","201.1",NA
"Wij willen een land waar tegenstellingen afnemen doordat we weer zien wat we gemeenschappelijk hebben.","201.1",NA
"De ChristenUnie is een partij die politiek bedrijft vanuit de overtuiging dat de overheid bescheiden moet zijn en betrokken op mensen.","201.1",NA
"Een partij die pal staat voor onze christelijke waarden en vrijheden.","201.1",NA
"Een partij die veel hoopvolle voorbeelden ziet van talentvolle mensen die zich inzetten voor de samenleving, maar die ook weet dat in onze gebroken wereld de overheid moet staan voor wie zorg nodig heeft.","201.1",NA
"Hoofdlijnen Verkiezingsprogramma","H",NA
"De ChristenUnie kiest in haar programma voor een samenleving met hoop en perspectief gebaseerd op menselijke waardigheid, gelijkwaardigheid, vrijheid, naastenliefde,","201.2",NA
"verdraagzaamheid en zorg voor de schepping.","603",NA
"Waarin de toekomst van onze kinderen centraal staat.","416.2",NA
"Een samenleving waarin iedereen meetelt en waarin we vrij, veilig en in vrede met elkaar kunnen leven.","503",NA
"We willen het beste voor onze kinderen","H",NA
"Veilige gezinnen zijn de beste plek om op te groeien.","503",NA
"De ChristenUnie kiest voor de toekomst van onze kinderen.","416.2",NA
"De ChristenUnie staat voor de keuzevrijheid in gezinnen bij de combinatie zorg en werk.","503",NA
"We investeren daarom 1 miljard extra in kansen voor kinderen en gezinnen door verhoging van kinderbijslag en kindgebonden budget, en uitbreiding van bevallings-, ouderschaps-en zorgverlof.","504",NA
"Daarom willen wij ook het beste onderwijs voor zo veel mogelijk mensen.","506",NA
"Wij gaan 1 miljard investeren in leraren, levenslang leren en beter beroepsonderwijs, dat echt aansluit bij de arbeidsmarkt.","506",NA
"We trekken extra geld uit voor onderzoek en innovatie en we voeren de basisbeurs weer in voor iedereen die wil studeren.","506",NA
"Zorg met een hart, zorg dicht bij mensen","H",NA
"Al het leven, in gaafheid en gebrokenheid, verdient het om tot ontplooiing te komen, om te worden beschermd en om zorg te ontvangen als dat nodig is.","504",NA
"Vanaf het ontstaan van het leven tot aan het sterven.","603",NA
"De ChristenUnie staat voor zorg die dichtbij is georganiseerd.","301",NA
"Zorg op een menselijke schaal en met een menselijk gezicht.","504",NA
"Zorg op maat en niet zorg van de plank.","504",NA
"Wij willen meer ruimte voor huisartsen en wijkverpleegkundigen en zorg in de thuissituatie.","301",NA
"Het eigen risico wordt fors verlaagd en we kappen in het woud van polissen.","504",NA
"Alle specialisten moeten in loondienst.","504",NA
"De beste verpleeghuiszorg wordt de norm.","504",NA
"Stapeling van eigen bijdragen gaan we tegen, chronisch zieken en gehandicapten worden ontzien.","504",NA
"En we investeren fors in preventie:","504",NA
"voorkomen is immers beter dan genezen.","504",NA
"We willen wérkende integratie","H",NA
"Mensenrechten zijn universeel, burgerrechten horen bij een land.","201.2",NA
"Medemens ben je, medeburger word je niet vanzelf.","201.2",NA
"Deze notie ontbreekt tot op heden in het Nederlandse migratie-en integratiebeleid.","608.2",NA
"Met een verblijfsvergunning krijg je in Nederland recht op bijstand, toeslagen en regelingen die samenhangen met onze verzorgingsstaat.","608.2",NA
"Veel nieuwkomers komen echter bijna niet weg uit ons te beschermende en weinig activerende vangnet.","608.2",NA
