"text","cmp_code","eu_code"
"We staan voor een keuze.","305",NA
"Blijven we leven in het verleden of stappen we in de toekomst?","305",NA
"Houden we krampachtig vast aan 20e eeuwse verworvenheden of gaan we zelfbewust de uitdagingen van de 21e eeuw aan?","305",NA
"En dat zijn er nogal wat.","305",NA
"Niet alleen de financiële crisis.","305",NA
"Ook klimaat, energie, voedsel en armoede.","305",NA
"Blijven we navelstaren en achterom kijken of staan we op en pakken we aan?","305",NA
"In de loop van de vorige eeuw kreeg de overheid door de politiek steeds meer maatschappelijke verantwoordelijkheden toebedeeld.","505",NA
"Zo raakten we gewend aan een overheid die voor ons zorgt.","505",NA
"Dat noemden we de verzorgingsstaat.","505",NA
"Met die verantwoordelijkheid groeide ook de macht van de overheid.","505",NA
"En de verwachtingen over die overheid: als er een probleem is lost zij het wel op.","505",NA
"Terwijl zij daar vaak helemaal niet toe in staat is.","505",NA
"Daardoor groeit in de samenleving de machteloze woede over een overheid die niet doet wat ze zou moeten doen: voor ons zorgen.","305",NA
"Zo ontstaat bij mensen het beeld dat de overheid niet te vertrouwen is.","305",NA
"Voor D66 staan vrije individuen aan de basis van onze samenleving.","201",NA
"Tegelijkertijd kan geen mens zonder de ander.","606",NA
"We hebben elkaar nodig.","606",NA
"We leven samen, we ondernemen met elkaar.","606",NA
"‘Geen ik zonder wij.","606",NA
"’ Dat wil niet zeggen dat we niet voor onszelf kunnen zorgen.","201",NA
"De meeste mensen kunnen goed voor zichzelf zorgen.","201",NA
"En voor hun omgeving.","606",NA
"Veel van die verantwoordelijkheid ligt nu bij de overheid.","201",NA
"Dat willen we veranderen.","201",NA
"We leggen verantwoordelijkheid terug bij de mensen.","201",NA
"Natuurlijk hebben we de overheid ook nodig.","305",NA
"Voor overstijgende zaken als klimaat, energie en veiligheid.","305",NA
"Wanneer de verantwoordelijkheid bij de overheid ligt willen we daar dan wel echt invloed op.","202",NA
"De macht bij de mensen.","202",NA
"D66 wil vernieuwen, hervormen en investeren.","305",NA
"Transformeren naar een nieuw zelfbewustzijn, persoonlijk en maatschappelijk.","305",NA
"Want wat gebruikelijk en gewoon is werkt niet meer.","305",NA
"We willen dat mensen hun eigen kracht ontdekken.","201",NA
"Zoveel mogelijk zelf doen.","201",NA
"En het dan pas aan een ander of aan de overheid vragen.","201",NA
"Zo ontwikkelen we ons van een verzorgingsstaat naar een ontplooiingsmaatschappij.","201",NA
"D66 is van nature optimistisch.","305",NA
"We vertrouwen op de eigen kracht van mensen.","201",NA
"Het beste onderwijs","506",NA
"en volop ruimte voor ondernemerschap zijn de sleutels naar meer werk, welvaart en geluk.","401",NA
"D66 wil dat elk mens een eerlijke kans krijgt om mee te doen.","503",NA
"We willen dat mensen weerbaarder en zelfstandiger worden.","201",NA
"Dat maakt de samenleving sterker.","201",NA
"We willen onze samenleving menselijk en duurzaam maken.","416",NA
"Een kwestie van beschaving.","503",NA
"Sociaal en rechtvaardig.","503",NA
"Schoon en veilig.","605",NA
"Met meer verbondenheid en zorg voor elkaar, in Nederland en daarbuiten.","606",NA
"Met onderwijs waarin elk kind tot zijn recht komt.","506",NA
"Genoeg werk voor jong en oud.","503",NA
"Voldoende woningen voor elke levensfase.","503",NA
"Schone energie in een duurzame economie.","416",NA
"Met een bescheiden maar krachtige overheid die ruimte geeft aan creativiteit en ondernemerschap.","305",NA
"We willen het anders.","305",NA
"Er is een scheiding tussen mensen die het goed voor elkaar hebben en mensen die het minder goed voor elkaar hebben.","503",NA
"Mensen voor wie het goed geregeld is, en mensen voor wie het niet goed geregeld is.","503",NA
"Het is een scheiding die door alle rangen en standen heen loopt, nationaal en internationaal.","503",NA
"Er is lang genoeg gepraat en hard genoeg gestudeerd.","305",NA
"Het is nu tijd om iets te gaan doen.","305",NA
"Er is zoveel onaangeboord potentieel.","506",NA
"Talent komt niet genoeg tot bloei.","506",NA
"Niet alleen bij kinderen, ook bij volwassenen","411",NA
"Veel te veel mensen doen niet mee.","701",NA
"Opgeborgen in zogenaamd sociale regelingen, of opgesloten in een gouden kooi","701",NA
"Kom er als starter maar eens tussen.","503",NA
"Eenvoudige koopwoningen zijn te duur, goedkope huurwoningen zijn niet beschikbaar","503",NA
"Grondstoffen raken op en de verspilling gaat door.","416",NA
"De aarde warmt op, het klimaat verandert en de lucht vervuilt","416",NA
