"text","cmp_code"
"D66 werkt aan een wereld waarin de mens weer centraal staat.","201"
"Vrije mensen die niet beperkt moeten worden door starre systemen, strikte regels of ontoereikende stempels en vooroordelen.","201"
"Vrij om te denken en te doen.","201"
"Mensen die initiatief nemen, geven vorm aan hun eigen leven en dat van dierbaren en daarmee aan onze samenleving.","606"
"Daarvoor bieden wij maximale ruimte.","201"
"Ruimte en kansen om het beste uit jezelf en anderen te halen.","201"
"Daar de vruchten van te plukken","201"
"en die met anderen te delen.","606"
"In onze wereld staan mensen niet alleen.","606"
"Een mens is geen eiland.","606"
"Wij zoeken elkaar op, hebben elkaar nodig.","606"
"Onderling verbonden, in vertrouwen,","606"
"met zorg en verantwoordelijkheid voor elkaar,","503"
"voor onze omgeving en onze gezamenlijke toekomst.","501"
"Wie struikelt wordt op de been geholpen","503"
"en aangemoedigd om zelfstandig te blijven staan.","201"
"Dat is liberaal,","201"
"dat is sociaal.","503"
"In ons Nederland groeien kinderen veilig op.","706"
"Begint werk met een diploma.","506"
"Verheft en prikkelt onderwijs.","506"
"Is zorg geen punt van zorg, maar toegankelijk, solidair en betaalbaar.","504"
"Zijn we niet vies van schone energie","501"
"en is onze economie duurzaam.","416"
"Zijn natuur en cultuur een bron van inspiratie voor iedereen,","502"
"geen luxe voor enkelen.","503"
"Leven we in een rechtsstaat gestoeld op vrijheden in plaats van angst.","201"
"Ons Nederland is in beweging.","305"
"Op een continent met één krachtige, politieke unie.","108"
"Een land dat vol enthousiasme oog heeft voor de rest van de wereld.","107"
"Er is geen enkele reden waarom wij niet welvarender, gezonder, gelukkiger en harmonieuzer kunnen leven.","305"
"Een leven voor onze kinderen, dat nog mooier is dan dat van ons.","305"
"D66 wil de stem zijn van die Nederlanders die vinden dat we ons land verder moeten uitbouwen tot een toonaangevend, internationaal georiënteerd centrum van economische en culturele activiteiten.","107"
"Een land van sociale samenhang","606"
"en een hoge kwaliteit van leven","504"
"en natuur.","501"
"Gerealiseerd in een klimaat van ontplooiing, ruimte en vrijheid.","201"
"Een land dat daardoor een bron van inspiratie is voor onszelf","606"
"en de rest van de wereld.","107"
"We praten nu al jaren over bezuinigingen, maar we geven gewoon elk jaar weer meer geld uit.","414"
"De kabinetten van de afgelopen jaren hebben zichzelf en ons wijsgemaakt dat ‘minder meer uitgeven’ hetzelfde is als bezuinigen.","414"
"Elk jaar geven we 18 miljard meer uit dan we binnenkrijgen, dat is bijna 1100 euro voor elke Nederlander, 2400 euro aan extra schuld per gezin.","414"
"We hebben nu samen meer dan 400 miljard schuld.","414"
"Simpel gezegd is dat meer dan 53.000 euro schuld voor elk huishouden.","414"
"Dat kan zo niet langer, een koersverandering is hard nodig.","414"
"Niemand kan oneindig meer uit blijven geven dan er binnenkomt.","414"
"Je kunt geen gaten met gaten blijven vullen.","414"
"Geld is voor ons niet het doel maar een middel; wij willen ook in de komende jaren behouden wat er in de vorige eeuw is opgebouwd.","305"
"En verder bouwen.","410"
"Nederland heeft jaren stil gestaan.","305"
"Economie, onderwijs, zorg, onderlinge saamhorigheid en eigen verantwoordelijkheid zijn toe aan grondig onderhoud.","305"
"We komen alleen uit de huidige stilstand door doelgericht, vastbesloten en in hoog tempo ruimte te creëren voor nieuwe groei.","410"
"Door ruimte voor talent en ondernemers,","401"
"duurzame groei in energie en grondstoffen,","416"
"groei in opkomende markten,","408"
"meer aandacht voor het mkb,","401"
"een werkende arbeidsmarkt voor ouderen","706"
"en hervormingen van de woningmarkt, de arbeidsmarkt, de pensioenen en de gezondheidszorg.","408"
"Met investeringen in onderwijs als de motor.","506"
"D66 kiest voor Europa.","108"
"Onze vrede, veiligheid en welvaart hebben we voor een belangrijk deel te danken aan Europese integratie.","108"
"Door de financiële crisis is keihard aangetoond dat veel lidstaten van de Europese Unie, ondanks de afspraken daarover, hebben verzuimd hun economieën concurrerend te maken, effectief toezicht op hun banken te organiseren en hun overheidsfinanciën op orde te brengen.","108"
"Dat komt niet door te veel, maar door te weinig integratie.","108"
"Het Nederland dat wij voor ogen hebben kan alleen ontwikkeld worden in een sterk, veilig en welvarend Europa.","108"
"Daarom zijn wij voorstander van een verdere integratie van Europa.","108"
"Met prioriteit voor het handhaven van de euro,","108"
"een begroting gericht op groei","108"
"en het toewerken naar een echte democratische politieke unie.","108"
"Het abstracte debat over tekorten gaat al snel over percentages.","414"
"Maar waarom vinden wij 3% tekort in 2013 en de begroting op orde in 2017 dan zo belangrijk?","414"
"In de eerste plaats om de neerwaartse spiraal van onaanvaardbaar hoge schulden, hogere rentes, grotere schulden, nog hogere rentes en zo voort te voorkomen.","414"
"Er zijn grenzen aan het beslag dat collectieve uitgaven op de economie kan leggen.","414"
"Daarom willen wij de begroting op orde hebben.","414"
"Gewoon niet meer uitgeven dan er binnenkomt.","414"
"Niet op de pof leven.","414"
"Zo moet het thuis, zo moet het bij de overheid.","414"
"De 3% norm is ook de basis onder een afspraak met andere landen met wie we de euro delen.","108"
"Landen waarvan wij eisen dat zij zich aan hun afspraken houden.","108"
"Dan moeten we dat zelf ook doen.","108"
"Voor D66 zijn deze afspraken hard.","305"
"Wij houden ons aan ons woord.","305"
"Wij maken duidelijk aan onze partners en aan financiële markten dat wij ons huishoudboekje op orde kunnen en willen brengen.","305"
"De nadelige gevolgen van niets doen zijn immens.","305"
"Partijen die elkaar niets gunnen en die iedere week met angst en beven naar de peilingen kijken hebben ons land op slot gezet.","305"
"Dat lijkt voorzichtig gedrag, maar is onverantwoordelijk.","305"
