"content","cmp_code","eu_code"
"Inleiding","H",NA
"Al vijftig jaar kiest D66 voor een optimistisch Nederland.","601.1",NA
"Een land dat in zichzelf gelooft en dat zichzelf steeds opnieuw uitvindt.","601.1",NA
"Waar onze vrijheid en eigenheid niet worden verward met egoïsme en leven in je eigen cocon.","601.1",NA
"Samen met onze kiezers en alle Nederlanders willen we vasthouden en versterken wat Nederland een fantastisch land maakt.","305.1",NA
"We staan voor grote uitdagingen.","305.1",NA
"Wij zien tweedeling.","305.1",NA
"In onderwijs en werk zijn de kansen steeds ongelijker verdeeld.","503",NA
"Wij leven te vaak langs elkaar heen, ontmoeten mensen die andere denkbeelden hebben te weinig.","503",NA
"We staan tegenover elkaar zonder dat we elkaar begrijpen.","601.1",NA
"Terwijl we elkaar steeds meer nodig hebben.","601.1",NA
"We leven op één planeet, maar doen we alsof we er tien hebben.","601.1",NA
"De wereld is in beweging, terwijl wij ons achter de dijken verstoppen.","601.1",NA
"Het vertrouwen in de slagkracht van de overheid en de politiek nemen zienderogen af.","305.1",NA
"Die uitdagingen moeten we samen aangaan.","503",NA
"Onze handen jeuken om aan de slag te gaan.","305.1",NA
"Zoals we al jaren doen in vele gemeenten door het hele land.","305.1",NA
"Problemen oplossen.","305.1",NA
"Wat ingewikkeld is weer simpel maken.","305.1",NA
"Met eerlijke politiek en door initiatief.","305.1",NA
"We zijn duidelijk over wat we de komende jaren zullen aanpakken.","305.1",NA
"Alles tegelijk doen kan niet.","305.1",NA
"En we nemen initiatief omdat dit bij ons past.","305.1",NA
"Voortkabbelen brengt ons niet verder.","305.1",NA
"Laten we als land onze vleugels weer uitslaan.","305.1",NA
"Zorgen dat onze kinderen het weer beter krijgen dan wij.","305.1",NA
"In onze aanpak kiezen we voor de waarden die wij in Nederland belangrijk vinden:","603",NA
"de vrijheid jezelf te zijn, investeren in mensen, volop kansen krijgen, samen delen, denken aan de toekomst.","603",NA
