"content","cmp_code","eu_code"
"1 EEN INCLUSIEVE SAMENLEVING WAARIN WIJ ELKAAR ACCEPTEREN","H",NA
"Migratie is van alle tijden","H",NA
"De geschiedenis van ons land wordt al eeuwen gekenmerkt door de aanwezigheid van migranten.","607.1",NA
"Een van de vroegste voorbeelden hiervan is de grote volksverhuizing in het begin van de middeleeuwen.","607.1",NA
"Later, in de 16e en 17e eeuw, zochten vele verdrukte protestanten, Joden en andersdenkenden uit Oost-Europa, Zuid-Europa en de Zuidelijke Nederlanden hun toevlucht in het destijds als zeer tolerant bekend staande Nederland.","607.1",NA
"De problematisering van diversiteit","H",NA
"De aanwezigheid van deze migranten heeft direct geleid tot de successen van ons land in de 17e eeuw.","607.2",NA
"Want de komst van verschillende mensen betekende ook de komst van verschillende ideeën die botsten en samenvloeiden.","607.2",NA
"Van de creativiteit en dynamiek die daaruit voortkwamen, profiteren wij nog steeds.","607.2",NA
"Maar waar diversiteit tijdens die periode in onze geschiedenis wordt gezien als kracht, wordt de diversiteit als gevolg van de komst van migranten in de laatste decennia en nu geproblematiseerd.","607.2",NA
"Te vaak wordt de hedendaagse diversiteit op een onrechtvaardige wijze gelijkgesteld met achterstand, cultureel conflict en wangedrag.","607.2",NA
"De kracht van diversiteit","H",NA
"Het is de overtuiging van DENK dat de rijkdom aan diversiteit in ons land een prachtige belofte doet voor morgen.","607.2",NA
"Want waar verschillende inzichten met elkaar botsen, wordt tunnelvisie voorkomen en creativiteit gevoed.","607.2",NA
"Daar worden vragen vanuit vele perspectieven bestudeerd en worden oplossingen op verschillende manieren bekeken.","607.2",NA
"Zo komt een innovatief proces tot stand dat voortkomt uit het samenkomen van vele achtergronden:","607.2",NA
"mannen en vrouwen, mensen met en zonder migrantenachtergrond, gelovigen en ongelovigen en jongeren en ouderen.","607.2",NA
"Dát is de kracht van diversiteit die volgens DENK zo veel beter moet worden benut in het bedrijfsleven, het onderwijs, de politiek en in de samenleving als geheel.","607.2",NA
"Want in een globaliserende wereld is het benutten van al het potentieel een economische en sociale noodzaak.","607.2",NA
"En in een samenleving waarin het gebrek aan gelijke vertegenwoordiging tussen groepen in besluitvormende plekken heeft geleid tot een vertrouwensbreuk tussen burgers en de politiek, is het betrekken van alle groepen mensen de enige manier om vertrouwen te herwinnen.","607.2",NA
"Fundamenteel ander maatschappijbeeld","H",NA
"DENK hangt daarom een fundamenteel ander maatschappijbeeld aan dan het maatschappijbeeld dat ons wordt voorgeschoteld door veel politieke partijen, de meeste media en onverlichte wetenschappers.","607.1",NA
"Want diversiteit is alleen een probleem voor hen die Nederland zien als onveranderlijk, met een statische cultuur en een eenvormige identiteit.","607.1",NA
"DENK doet daar niet aan mee, want het enige dat zeker is, is dat onze samenleving door de geschiedenis heen gelukkig geen decennium hetzelfde is geweest en nooit viel te vatten in één eenduidig beeld of woord.","607.1",NA
"De samenleving is veranderd en dat accepteren wij","H",NA
"DENK stopt met het gieten van Nederlanders die hier zijn geboren en/of getogen in de steeds veeleisender wordende en veranderende mal van de “ideale Nederlander”.","607.1",NA
"De geschiedenis van het integratiebeleid, waarin dan weer de afwezigheid van beleid centraal stond, dan weer integratie met behoud van cultuur het kenmerk was, dan weer het wegwerken van achterstanden als doel werd gesteld en waarin heden ten dage assimilatie centraal staat, toont aan dat er decennia lang op een volstrekt arbitraire wijze is omgesprongen met diversiteit in ons land onder invloed van wijzigende politieke verhoudingen en simplistisch populisme.","607.1",NA
"In plaats van te stellen dat wij miljoenen Nederlanders hebben die moeten integreren in de samenleving, zegt DENK dat het afgelopen moet zijn met het buiten de samenleving plaatsen van mensen die hier zijn geboren en/of getogen of gekozen hebben om Nederland hun thuis te maken.","602.2",NA
"Deze mensen staan niet buiten de samenleving, maar maken hier volop deel van uit en leveren hier elke dag een bijdrage aan.","602.2",NA
"Onze samenleving is veranderd en dat moeten we accepteren en omarmen.","602.2",NA
"Een nieuw en verbindend ideaal","H",NA
"Dit acceptatieproces slaagt alleen als wij ons bewust worden van de praktijken in onze samenleving en in de politiek die de verdeeldheid bevorderen.","503",NA
"Wij stellen hier een overtuigende boodschap tegenover.","503",NA
"Het is in de visie van DENK van zeer groot belang om te komen tot een nieuw en verbindend ideaal voor ons land.","503",NA
