"content","cmp_code","eu_code"
"CONCEPT VERKIEZINGS PROGRAMMA 2017-2021","H",NA
"INLEIDING","H",NA
"De crisis van nu","H",NA
"De gevestigde media en de gevestigde partijen willen u anders doen geloven:","601.2",NA
"maar we leven in een tijd van crisis.","601.2",NA
"Een existentiële crisis bedreigt het voortbestaan van de Nederlandse samenleving.","601.2",NA
"Grenzen worden niet langer verdedigd, we staan bloot aan massale immigratie die we niet aankunnen en de terreurdreiging neemt steeds verder toe.","601.2",NA
"Soevereiniteit wordt overgeheveld naar Brussel, we hebben steeds minder over onze eigen samenleving te vertellen.","110",NA
"De euro destabiliseert ons continent en vernietigt de zuidelijke economieën.","110",NA
"De kwaliteit van het onderwijs holt achteruit","506",NA
"en de zorg gaat gebukt onder zware managementlagen;","401",NA
"teveel regels en belastingen knijpen het MKB af","401",NA
"en onze veiligheid op straat wordt in hoog tempo minder.","605.1",NA
"Er moet nu echt iets veranderen in Nederland.","305.1",NA
"Als enige politieke beweging handelt Forum voor Democratie vanuit een totaalvisie op de grote problematiek die nu in Nederland speelt:","305.1",NA
"we hebben ongetwijfeld op bepaalde punten overlap met allerlei partijen, maar Forum voor Democratie wil niet alleen de symptomen van de huidige crisis aanpakken;","305.1",NA
"we richten ons ook op de achterliggende oorzaak:","305.1",NA
"het politieke systeem zélf.","304",NA
"Je gaat een huis niet verbouwen als de fundamenten verrot zijn.","304",NA
"We moeten beginnen bij de basis.","304",NA
"Het partijkartel","H",NA
"Er is in Nederland sprake van een ‘partijkartel’:","304",NA
"een zeer kleine groep partijleden – van een select aantal partijen – houdt de touwtjes stevig in handen.","304",NA
"Deze kartelleden houden het politieke systeem dicht voor nieuwe mensen en nieuwe ideeën.","304",NA
"De kartelleden vormen een gesloten groep van circa 10. 000 mensen die meedraaien in een baantjescarrousel.","304",NA
"Bestuurders, hoogleraren, journalisten, parlementsleden:","304",NA
"ze worden gerekruteerd door de partijtop – een systeem van coöptatie waardoor vooral meelopers en jaknikkers komen bovendrijven die het nogal eens aan visie en moed ontbreekt.","304",NA
"Deze carrière-politici willen vervolgens doorschuiven naar een burgemeesterspost, een topfunctie bij een zorgverzekeraar of de hoofdprijs: iets in Brussel.","304",NA
"Het is de partij die de baan regelt.","304",NA
"Het is de partij die de kandidaten naar voren schuift.","304",NA
"En de loyaliteit van het kartel-lid ligt dus ook bij die partijtop – niet bij de kiezer.","304",NA
"De belangen van de bevolking komen laag op het prioriteitenlijstje terecht.","304",NA
"Partijbelang gaat boven landsbelang.","304",NA
"Forum wil dit veranderen","H",NA
"Dit moet nu echt anders.","202.4",NA
"Mogelijk werkte ons bestuurlijk systeem goed in 1848 – de tijd van de stoomlocomotief, de postkoets en de laatste cholera-epidemie – maar in 2017 is het volkomen achterhaald.","202.4",NA
"Democratische vernieuwing is dan ook ons belangrijkste agendapunt.","202.4",NA
"Zoals Burgemeester Eberhard van der Laan het formuleerde:","202.4",NA
