"text","cmp_code","eu_code"
"Niets doen is geen optie.","305",NA
"De economische crisis hakt erin.","305",NA
"Banen gaan verloren, de overheid staat zwaar in het rood en de armoede neemt toe.","305",NA
"Een volgende regering moet leiderschap tonen en de crisis gebruiken als scharnier naar een betere, duurzame toekomst.","305",NA
"Onze economie moet weer gaan draaien.","410",NA
"En onze welvaart mag niet ten koste gaan van toekomstige generaties.","501",NA
"Stilzitten of bezuinigen met de kaasschaaf brengt ons nergens.","404",NA
"Links en groen hervormen is het alternatief.","404",NA
"GroenLinks wil vooruitkijken.","305",NA
"Politici moeten nu doen wat nodig is en denken aan de toekomst van onze kinderen.","305",NA
"GroenLinks wil graag meeregeren om twee doorbraken te realiseren.","305",NA
"Allereerst moeten we nu werk behouden en creëren.","410",NA
"Juist in deze tijden van crisis is het aan de overheid om investeringen aan te jagen.","402",NA
"Maar wel voor banen met perspectief.","416",NA
"GroenLinks is de bondgenoot van creatieve en groene ondernemers, actieve werknemers en bewuste burgers die voorop gaan in de groene revolutie.","416",NA
"Zij zijn erbij gebaat dat schoon en zuinig produceren en consumeren lonend wordt.","416",NA
"Als ons land snel werk maakt van groene innovatie, staan we sterk op de wereldmarkt van de toekomst.","416",NA
"In de tweede plaats mogen we nieuwe generaties niet langer opzadelen met onze problemen.","414",NA
"Daarom zijn nu forse investeringen in het onderwijs nodig,","506",NA
"hervormingen om de vergrijzing op te vangen,","505",NA
"effectieve klimaatpolitiek","501",NA
"en sanering van de overheidsfinanciën.","414",NA
"De overheid moet actiever én selectiever worden.","305",NA
"Van veelverdieners mag een grotere bijdrage worden gevraagd, zodat de sterkste schouders de zwaarste lasten dragen.","503",NA
"De vervuiler dient te betalen.","503",NA
"En de arbeidsparticipatie moet omhoog.","410",NA
"Met deze doorbraken slaat Nederland een nieuwe koers in die velen wensen.","606",NA
"Er zijn talloze Nederlanders die de handen uit de mouwen steken voor de samenleving van de toekomst.","606",NA
"Duurzame ondernemers verenigen zich in de nieuwe werkgeversorganisatie De Groene Zaak.","606",NA
"Bestuurders van vakbonden en bedrijven pleiten voor een nieuw Sociaal Akkoord, dat mensen niet tot een uitkering veroordeelt, maar van werk naar werk helpt.","606",NA
"In wijken produceren bewoners gezamenlijk duurzame energie.","606",NA
"Mensen zoeken hun buren op, om samen overlast aan te pakken.","606",NA
"Zulke initiatieven zijn de motor van verandering en verdienen steun van de overheid.","606",NA
"De financiële crisis markeert het failliet van het neoliberale marktdenken.","305",NA
"Maximaal winstbejag, absurde bonussen en minimaal toezicht, dat moest wel misgaan.","305",NA
"De economie maakt daardoor een zware inzinking door.","305",NA
"Veel mensen verliezen hun baan, ondernemers krijgen geen krediet meer en de overheid komt geld tekort.","305",NA
"Deze crisis kwam van rechts, de oplossingen komen nu van links.","305",NA
"Bankiers moeten weer dienstverleners worden, die hun klanten centraal stellen: spaarders, ondernemers, hypotheeknemers.","403",NA
"Om te voorkomen dat ons spaargeld weer als gokkapitaal wordt ingezet, wil GroenLinks een heffing op banken invoeren, waarvan de hoogte afhankelijk is van de risico’s die zij nemen.","403",NA
"Ook mogen financiele producten alleen na goedkeuring op de markt komen.","403",NA
"De lange termijn moet leidend worden.","404",NA
"We hebben goede banken hard nodig voor een duurzame doorbraak.","404",NA
"De kredietcrisis staat symbool voor een samenleving waarin mensen, in de jacht op steeds meer consumptie, steeds hogere schulden maken.","416",NA
"Ook dat is onhoudbaar.","416",NA
"GroenLinks wil het aflossen – en niet het aangaan – van schulden stimuleren en de aftrek van de hypotheekrente beperken.","408",NA
"Dit geldt tevens voor het bedrijfsleven, waar vreemd vermogen nu fiscaal bevoordeeld wordt.","408",NA
"Deze crisis is ook een morele crisis.","603",NA
"Van bankiers die hun bonussen boven hun klanten stellen.","603",NA
"Van aandeelhouders en managers die de prestaties van bedrijven louter afmeten aan de kortetermijnwinst.","603",NA
"Van consumenten, ondernemers en politici die gevangen zitten in hyperconsumptie en een creditcardcultuur.","603",NA
"Het debat over normen en waarden gaat niet alleen over fatsoen op straat.","603",NA
"We moeten af van de fixatie op geld als hoogste waarde.","603",NA
"Het is tijd voor een andere kijk op welvaart.","416",NA
"Cijferfetisjisme vertroebelt de blik op de toekomst.","416",NA
"Van alles meer produceren levert voor korte tijd mooie groeicijfers op, maar op termijn een uitgeputte aarde.","416",NA
"Nobelprijswinnaars en regeringen werken daarom aan een bredere definitie van welvaart, die welzijn, gezonde levensjaren en milieubehoud meeweegt: het Bruto Nationaal Geluk in plaats van het Bruto Nationaal Product.","416",NA
"Geluk is een betere maatstaf voor geslaagde politiek.","416",NA
"Want cijfers moeten kloppen, maar het zijn de mensen die tellen.","416",NA
"Zowel de mensen die hier en nu leven, als de mensen elders en in de toekomst.","416",NA
"Als iedereen gaat leven zoals de gemiddelde Nederlander, dan hebben we aan één aardbol niet genoeg.","416",NA
"Het behoud van natuurlijke hulpbronnen voor toekomstige generaties vraagt om een grote omwenteling.","416",NA
"Elk jaar uitstel leidt tot meer vervuiling, minder leefbaarheid, minder dieren-en plantensoorten.","501",NA
"We moeten nu de uitstoot van broeikasgassen verminderen, bossen beschermen en de visvangst beperken.","501",NA
