"text","cmp_code"
"Het is tijd om aan de slag te gaan.","305"
"Vijf kabinetten binnen tien jaar zijn er niet in geslaagd de economische en sociale uitdagingen waar Nederland voor staat aan te pakken.","305"
"De huidige crisis moet worden aangegrepen om de omslag te maken naar een betere en duurzame toekomst.","416"
"Grondstoffen en energie worden schaarser en duurder.","416"
"Olieprijzen blijven stijgen.","416"
"De omschakeling naar een duurzame economie is geen mooi ideaal meer, maar de enige weg voorwaarts in de eenentwintigste eeuw.","416"
"De groene innovaties van vandaag zijn de renderende bedrijven van morgen.","416"
"Niet plofkippen of watertomaten, maar duurzaam eten en windmolens hebben de toekomst.","416"
"Groene investeringen leveren ook nieuwe banen op.","701"
"Hoe eerder we beginnen, hoe beter we zijn voorbereid.","416"
"Ook de verzorgingsstaat kraakt in zijn voegen en past niet langer bij deze tijd.","503"
"Sociale zekerheden zijn vooral weggelegd voor mensen met een vast contract.","503"
"Flexwerkers en ZZP ’ers vallen buiten de boot.","503"
"GroenLinks wil oude zekerheden door nieuwe zekerheden vervangen, met voor iedereen gelijke kansen op zelfontplooiing, werk en zorg.","503"
"Burgers zelf staan gelukkig niet stil.","606"
"Op steeds meer daken liggen zonnepanelen waarmee mensen zelf schone stroom opwekken.","606"
"Gewone supermarkten verkopen duurzame producten omdat klanten daar om vragen.","606"
"ZZP ’ers verenigen zich in broodfondsen die steun bieden in tijden van tegenslag.","606"
"Wat we nu nodig hebben is een overheid die deze koplopers aanmoedigt en belemmeringen voor hun groei wegneemt.","606"
"Willen we deze plannen verwezenlijken, dan moeten we samenwerken met andere partijen.","305"
"Het Lenteakkoord toont aan dat we deze verantwoordelijkheid niet uit de weg gaan.","305"
"In dit begrotingsakkoord voor 2013 heeft GroenLinks een groot aantal asociale bezuinigingen van het kabinet-Rutte teruggedraaid, zoals die op het passend onderwijs, de natuur en het persoonsgebonden budget.","305"
"Bovendien hebben we met de kolenbelasting en een gunstige regeling voor zonnepanelen een begin gemaakt met een duurzame en schone economie.","416"
"Wij bewijzen dat we met een sluitende overheidsbegroting Nederland groener en socialer kunnen maken.","416"
"In al onze plannen staan drie waarden centraal: duurzaamheid, kansengelijkheid en diversiteit.","305"
"We gaan er allereerst vanuit dat we de aarde slechts in bruikleen hebben van onze kinderen en kleinkinderen.","416"
"We dienen zorg te dragen voor de diversiteit van planten en dieren, en moeten voorkomen dat het klimaat op hol slaat.","501"
"Wij willen geen verspillende en vervuilende economie, maar een economie die duurzaam is.","416"
"Geen maximale materi ële welvaart, maar meer welzijn.","416"
"Zowel voor mensen die nu leven als voor generaties na ons en mensen elders.","416"
"Onze tweede overtuiging is dat succes in het leven niet alleen onze eigen verdienste is, maar ook het resultaat van opvoeding, omgeving en aangeboren talenten.","503"
"Dit besef geeft ons de verantwoordelijkheid mensen met minder goede startposities vooruit te helpen en spoort ons aan tot eerlijk delen.","503"
"Ons linkse ideaal betekent daarom: gelijke kansen voor iedereen om van het leven iets moois te maken  – via uitdagend onderwijs, goede zorg en een arbeidsmarkt waar iedereen aan het werk kan.","503"
"Voorop staat dat mensen zelf de regie nemen over hun eigen leven.","201"
"Ten slotte gelooft GroenLinks in de kracht van verschil.","201"
