"content","cmp_code","eu_code"
"TIJD VOOR VERANDERING VERKIEZINGSPROGRAMMA GROENLINKS 2G17 -2021 GROENLINKS","H",NA
"Al dertig jaar regeert het economisme.","416.1",NA
"Economische kortetermijnbelangen gaan boven welzijn, milieu en gezondheid.","416.1",NA
"Al dertig jaar zegt de politiek dat het niet anders kan.","416.1",NA
"Dat we de lonen moeten matigen, dat we moeten bezuinigen op zorg en sociale zekerheid, dat we de belastingen moeten verlagen voor bedrijven en de mensen met de hoogste inkomens.","416.1",NA
"Al dertig jaar neemt de ongelijkheid toe en maken steeds meer mensen zich zorgen om de toekomst van hun kinderen.","416.1",NA
"Het is tijd voor verandering.","305.1",NA
"GroenLinks kiest met dit programma voor een groene économie waarin welzijn voorop- staat en we de welvaart delen.","416.1",NA
"Een samenleving waarin iedereen meedoet","504",NA
"en elk kind de kansen krijgt die het verdient.","506",NA
"GroenLinks wil nieuw perspectief voor iedereen.","503",NA
"We mogen de samenleving niet uit elkaar laten spelen.","503",NA
"We pakken de ongelijkheid aan - de ongelijkheid in inkomen, in vermogen en in de kansen die mensen hebben.","503",NA
"Het is tijd om te kiezen voor één samenleving, een samenleving die mensen verbindt in plaats van splijt.","601.1",NA
"Waar iedereen deel van uitmaakt, op zijn of haar manier.","601.1",NA
"GroenLinks wil dat mensen weer vertrouwen krijgen in elkaar en in de toekomst.","305.1",NA
"GroenLinks wil dat Nederland vooroploopt in de samenwerking binnen Europa om de grote problemen van deze tijd op te lossen.","305.1",NA
"Alleen samen kunnen we de opwarming van de aarde een halt toeroepen.","501",NA
"Alleen samen kunnen we investeren in schone lucht, helder water en veelzijdige natuur.","501",NA
"Alleen samen kunnen we zorgen voor eerlijke belastingen, rechtvaardig sociaal beleid en een humane vluchtelingenaanpak.","504",NA
"“We gaan Nederland veranderen”, zei Jesse Klaver bij zijn aantreden als leider van GroenLinks.","305.2",NA
"Met dit programma gaat GroenLinks daarvoor zorgen.","305.1",NA
"Op 15 maart 2017, wanneer we naar de stembus gaan, is dit de keuze:","305.1",NA
"gaan we op de oude voet door of verleggen we de koers?","305.1",NA
"Samen kunnen we Nederland veranderen.","305.1",NA
"Frits LintmeijerVoorzitter programmacommissie Tweede Kamerverkiezingen 2017INHOUD1. Groen investeren6We willen een ambitieus klimaatbeleid7We jagen de groene economie aan8Programmapunten92. Nieuwe nivellering14We stoppen belastingontwijking en saneren de financiele sector15We verminderen inkomensongelijkheid16We keren de toenemende vermogensongelijkheid16Programmapunten173. Kansrijk onderwijs20We pakken kansenongelijkheid aan21We geven elk kind een gelijke basis22We staan voor waardenvol hoger onderwijs22Programmapunten244. Moderne solidariteit30We werken samen aan zekerheid31We leven niet alleen om te werken32We zorgen voor elkaar32Programmapunten34 5. Een samenleving41We bestrijden discriminatie42We erkennen diversiteit en bevorderen emancipatie43We vangen vluchtelingen op44Programmapunten456. Prettig leven51We investeren in goede woningen, prettige wijken52We kiezen voor natuur en landschap53We maken reizen comfortabel en duurzaam53Programmapunten547. Onze democratie61We bevorderen veiligheid en rechtsbescherming62We beschermen vrijheid in een digitale samenleving63We zorgen voor meer zeggenschap63Programmapunten648. Rechtvaardige wereld69Ons Europa70We delen een wereld71Programmapunten72De programmacommissie77",NA,NA
"1.GROEN INVESTEREN","H",NA
"Ons land is verslaafd aan fossiele brandstoffen: aan gas, kolen en olie.","501",NA
"Erger nog, de overheid subsidieert deze verslaving.","501",NA
"Investeringen in groene innovatie, schone energie en kennis zijn veel lager dan in andere Europese landen.","501",NA
"De Nederlandse economie is niet klaar voor de toekomst.","501",NA
"Milieuvervuiling en plastic soep in de oceanen tekenen onze verspillende economie.","501",NA
"De koers wordt gedicteerd door de lobbyisten van de gevestigde orde.","304",NA
"Internationale concurrentie wordt misbruikt als argument om vernieuwing tegen te houden.","411",NA
"GroenLinks wil af van deze status quo.","305.1",NA
"Het kan anders.","305.1",NA
"We weten dat de oude economie niet gaat zorgen voor werk en welvaart in de toekomst.","416.1",NA
"Na jarenlang bezuinigen is het tijd om te investeren in de modernisering van de economie.","409",NA
"Het bruto binnenlands product is niet heilig.","416.1",NA
"GroenLinks staat voor een breed begrip van welvaart:","416.1",NA
"groene groei, binnen duurzame grenzen;","416.2",NA
"slimme groei, gebaseerd op kennis en innovatie;","411",NA
"inclusieve groei, die zorgt voor goede banen en eerlijke inkomens.","416.1",NA
"Dat is wat telt.","416.1",NA
"We willen een ambitieus klimaatbeleid","H",NA
"Met het klimaatakkoord van Parijs gaan we wereldwijd afscheid nemen van fossiele energie.","501",NA
"GroenLinks wil dat Europa daarbij het voortouw neemt.","501",NA
"In Nederland gaan we wissels omzetten.","501",NA
"In ons land lopen we al jarenlang achter met ons klimaatbeleid.","501",NA
"Daarom voeren we een ambitieuze Klimaatwet in.","501",NA
"We leggen de klimaatdoelen voor de lange termijn vast en regelen dat jaarlijks maatregelen genomen worden die garanderen dat we deze doelen halen.","501",NA
"De Klimaatwet geeft voor de lange termijn zekerheid aan voor- uitstrevende organisaties en bedrijven om te investeren in innovatie, duurzame energie en nieuwe werkgelegenheid.","501",NA
"We jagen de groene economie aan","H",NA
"De overheid is een belangrijke aanjager van economische vooruitgang.","409",NA
"GroenLinks wil investeren in modernisering van onze economie.","409",NA
"We jagen banengroei aan.","409",NA
"Door te investeren in schone energie, openbaar vervoer en energiezuinige woningen, trekken we een veelvoud van private investeringen los.","409",NA
"De overheid stimuleert onderzoek en innovatie door het bedrijfsleven, kennisinstellingen en maatschappelijke organisaties.","409",NA
"Start-ups, als aanjagers van innovatie, worden extra gefaciliteerd.","402",NA
"Technologische ontwikkeling, zoals robotisering en 3D-printen, biedt kansen om de economie schoner en eerlijker te organiseren.","411",NA
"We moeten toe naar een economie gericht op hergebruik en hernieuwbare grond- stoffen waarbij deze zo efficient mogelijk worden benut.","416.2",NA
"Een circulaire economie maakt gebruik van de Nederlandse toppositie op het gebied van kennis van biobased materialen.","416.2",NA
"Als grootste markt ter wereld kan Europa de standaard zetten voor producten die minder schaarse grondstoffen vergen, langer meegaan, beter te repareren en recyclen zijn.","416.2",NA
"Zo zorgen we dat bedrijven niet langer grondstoffen gebruiken die medeoorzaak zijn van oorlogen, uitbuiting en milieuvernietiging.","416.2",NA
"PROGRAMMAPUNTEN","H",NA
"Nederland krijgt een ambitieus klimaatbeleid","H",NA
"1. We voeren een Klimaatwet in die ervoor zorgt dat de uitstoot van broeikasgassen ten opzichte van 1990 omlaaggaat met ten minste 25 procent in 2020, 55 procent in 2030 en 95 procent in 2050.","501",NA
"Uiterlijk in 2050 hebben we alleen nog schone energie.","501",NA
"Nederland streeft naar twee tot drie procent energiebesparing per jaar.","501",NA
"De Klimaatwet garandeert dat Nederland met de maatregelen die genomen worden deze doelstellingen haalt.","501",NA
"2. Deze kabinetsperiode sluiten we de kolencentrales.","416.2",NA
"In Nederlandse havens wordt de overslag van kolen gestaakt.","416.2",NA
"Er wordt een begin gemaakt met het uitfaseren van olie-, benzine- en dieselterminals.","416.2",NA
"3. De kerncentrale in Borssele gaat dicht.","501",NA
"Er komen geen nieuwe kerncentrales.","501",NA
"De Nederlandse onderzoeksreactoren worden uitgefaseerd naarmate voldoende vervan- gende faciliteiten zijn gerealiseerd die nauwelijks tot geen radioactief afval veroor- zaken.","501",NA
"We schuiven de problemen rond het radioactieve afval niet door naar volgende generaties.","501",NA
"Ook voor radioactief afval geldt dat de vervuiler de kosten betaalt.","501",NA
"4. Met het huidige belastingstelsel wordt milieuvervuiling gesubsidieerd en werk¬gelegenheid belast.","416.2",NA
"Dat gaan we omkeren.","416.2",NA
"We stoppen met de subsidies op gas.","416.2",NA
"Grootverbruikers gaan evenredig betalen voor CO2-uitstoot.","416.2",NA
"Duurzame energie en energiebesparing worden fiscaal gestimuleerd.","416.2",NA
"Schone energie, bijvoorbeeld opgewekt met zonnepanelen, wordt voor kleinverbruikers en Verenigingen van Eigenaren niet belast.","416.2",NA
"Netbeheerders krijgen de taak en de ruimte om de overgang naar een schone energievoorziening te faciliteren.","416.2",NA
"Wetgeving en het belastingsysteem worden verder beter ingericht voor het energiesysteem van de toekomst, bijvoorbeeld met variabele tarieven om vraag en aanbod af te stemmen en een vergoeding voor opslagcapaciteit.","416.2",NA
"Overheden krijgen geen korting meer op de energiebelasting bij grootverbruik.","416.2",NA
"Dit wordt gecompenseerd via het Gemeentefonds.","416.2",NA
"5. Er komt een heffing op CO2-uitstoot zodat de uitstoot omlaaggaat.","416.2",NA
"Deze CO2-heffing wordt breed ingevoerd, ook voor bedrijven die nu niet onder het emissiehandels- systeem vallen.","416.2",NA
"In Europees verband willen we het overschot aan emissierechten schrappen en een einde maken aan het gratis weggeven van CO2-rechten.","416.2",NA
"Zolang dat niet geregeld is, zorgt de CO2-heffing voor een bodemprijs voor CO2.","416.2",NA
"Zo stimuleert de prijs van CO2 de overgang naar een duurzame economie.","416.2",NA
"6. Uitgangspunt bij de gaswinning in Groningen is de veiligheid van de inwoners.","416.2",NA
"De gaswinning in Groningen wordt teruggeschroefd naar maximaal 21 miljard kuub per jaar.","416.2",NA
"Jaarlijks wordt een nieuw besluit genomen over de verdere verlaging.","416.2",NA
"Schade door mijnbouwactiviteiten wordt volledig vergoed.","416.2",NA
"Proefboringen en zoutwinning in het Waddengebied worden niet toegestaan.","416.2",NA
"Er worden geen vergunningen verstrekt voor boringen naar schaliegas en geen nieuwe vergunningen voor boren naar steenkoolgas.","416.2",NA
"Er komt een exit-strategie voor het winnen van fossiele brandstoffen; we stappen zo snel mogelijk af van het gebruik van fossiel gas.","416.2",NA
"Nederland moet hierbij een leidende rol vervullen.","416.2",NA
"In lege gasvelden en zoutcavernes worden geen stoffen opgeslagen die op den duur een gevaar kunnen vormen voor de volksgezondheid of ons leefmilieu.","416.2",NA
"7. De subsidie voor het verbranden van vaste biomassa wordt beeindigd voor kolencen- trales en uitgefaseerd voor andere installaties voor stroom- en warmteproductie.","416.2",NA
"Voor de gehele keten van geimporteerde biomassa die wordt gebruikt voor de productie van energie worden strenge duurzaamheidscriteria opgenomen in de wet.","416.2",NA
"8. De toekomst van onze economie is groen.","416.2",NA
"De verantwoordelijkheid voor economie, klimaat en energie moet onder een bewindspersoon vallen.","416.2",NA
"Daarom komt er een ministerie voor Klimaat en Duurzame Economie.","416.2",NA
"We jagen de groene economie aan","H",NA
"9. Er komt een Groene investeringsbank die de marktsector stimuleert om samen met de overheid meer te investeren in grote groene projecten, innovatie en duurzame landbouw.","416.2",NA
"De ontwikkeling van nieuwe technologie laten we niet alleen aan de markt over.","416.2",NA
"De overheid werkt samen met kapitaalverschaffers, universiteiten en innova- tieve bedrijven om technologische ontwikkeling te stimuleren en de economie te vergroenen.","416.2",NA
"Groene start-ups krijgen de kans om de markt in beweging te zetten.","416.2",NA
"Zo ontstaan clusters voor groene innovatie, bijvoorbeeld een Green CarValley voor elek¬trische mobiliteit in Zuid-Nederland.","416.2",NA
"10. We richten de groene industriepolitiek op de ontwikkeling van de circulaire economie.","416.2",NA
"We hervormen het topsectorenbeleid en richten het subsidie- en investeringsbeleid op grote maatschappelijke vraagstukken.","416.2",NA
"De overheid stimuleert onderzoek, innovatie en toepassing van grondstoffenbesparing en hergebruik.","416.2",NA
"11. Nederland pleit voor een ambitieus Europees actieplan circulaire economie en het vastleggen van normen voor grondstoffenhergebruik en productvoorschriften.","416.2",NA
"Binnen de Europese Unie ijvert Nederland ervoor dat bedrijven geen grondstoffen gebruiken waarvan de winning of productie verbonden is met conflicten, uitbuiting, landroof of grote milieuschade.","416.2",NA
"Belastingmaatregelen gericht op minder grondstoffenverbruik, zoals een lager btw-tarief op reparaties, bevorderen de circulaire economie.","416.2",NA
"In het Bouwbesluit worden ook normen ten aanzien van circulair en biobased bouwen opgenomen.","416.2",NA
"Er wordt meer vaart gemaakt bij het sluiten van de kringloop van fosfaat en andere voedingsstoffen, onder meer door terugwinning uit rioolwater en andere afvalstromen.","416.2",NA
"12. Producenten worden via heffingen aangespoord om verantwoordelijkheid te nemen voor de afvalfase van hun producten en diensten.","416.2",NA
"Om nodeloze verpakkingen te beperken, gaan producenten betalen voor de hoeveelheid verpakking die zij voor hun producten gebruiken.","416.2",NA
"De belasting op het storten, verbranden en exporteren van afval wordt verhoogd.","416.2",NA
"13. Met een investeringsplan voor openbaar vervoer maken we reizen sneller, gemakke- lijker en schoner.","411",NA
"Er komt extra treincapaciteit en het onderhoud van spoor en treinen wordt verbeterd.","411",NA
"In steden komen meer metro’s, trams en elektrische bussen.","411",NA
"14. Met een investeringsplan voor schone energie bouwen we windparken op de Noordzee die miljoenen huishoudens van elektriciteit kunnen voorzien.","411",NA
"Nederland neemt initiatief voor het Noordzeenet voor schone stroom met omringende landen.","416.2",NA
"Er komen windmolens langs snelwegen en zonnepanelen op alle overheidsgebouwen.","411",NA
"We geven ruimte aan bijvoorbeeld energiecoöperaties zodat decentraal geinvesteerd kan worden in slimme energienetwerken en mensen aandeelhouder kunnen worden van schone energie.","405",NA
"15. Caribisch Nederland wordt een proeftuin voor duurzame energie en gaat zo in zijn eigen energie voorzien.","416.2",NA
"Ook Curagao, Aruba en Sint Maarten krijgen steun bij de energietransitie.","416.2",NA
"16. Met een investeringsplan voor energiezuinige woningen worden Nederlandse huis¬houdens binnen een periode van vijftien jaar onafhankelijk van gas voor hun warmte- en stroomvoorziening.","416.2",NA
"Woningcorporaties krijgen een investeringsplicht om bestaande huurwoningen energiezuiniger te maken.","405",NA
"Er komt een verbod op het verhuren van woningen met de slechtste energielabels.","403",NA
"Dit verbod wordt stapsgewijs aangescherpt.","403",NA
"De totale woonlasten voor huurders mogen niet stijgen als gevolg van energiebesparingsmaatregelen.","403",NA
"Alle nieuwbouw is binnen twee jaar energieneutraal.","416.2",NA
"Koopwoningen en ander vastgoed worden verplicht in hoog tempo energiezuiniger.","416.2",NA
"Voor huiseigenaren komt daartoe gebouwgebonden financiering beschikbaar.","416.2",NA
"De verplichting voor bedrijven en instellingen om alle investeringen te doen die zich binnen vijf jaar terugverdienen blijft minimaal behouden; bij voorkeur wordt deze aangevuld met een stappenplan naar een klimaatneutrale bedrijfsvoering in 2050 van elke grootgebruiker van energie.","403",NA
"17. Gasleidingen aan het eind van hun levensduur worden niet vervangen.","411",NA
"Gemeenten coördineren de transitie naar een duurzame energievoorziening, in samenwerking met de lokale netbeheerder(s) en relevante stakeholders in het gebied.","416.2",NA
"De aansluitplicht op gas wordt zo snel mogelijk geschrapt.","416.2",NA
"Gemeenten worden bevoegd gezag voor keuzes van energiesystemen in nieuwe en bestaande wijken.","301",NA
"Alle nieuwbouw is gasloos.","416.2",NA
"18. Overheidsinstanties gaan volledig duurzaam inkopen en aanbesteden, van schone stroom tot circulaire gebouwen.","416.2",NA
"Dit wordt bij aanbestedingsopdrachten bereikt door te gunnen op waarde, waarbij niet de aanschafprijs leidend is maar kwaliteit en duurzaamheid.","416.2",NA
"19. We hervormen de financiële sector zodat deze de samenleving weer dient en de overgang naar een duurzame economie versnelt.","416.2",NA
"Banken, verzekeraars en pensioen- fondsen worden beoordeeld op hun langetermijnvooruitzichten, waaronder de milieu- en sociale risico’s die zij lopen met bijvoorbeeld investeringen in de fossiele industrie.","416.2",NA
"Financiële innovaties moeten gericht zijn op duurzame economische investeringen waardoor kapitaal beschikbaar komt voor groene start-ups en duurzame bedrijven.","416.2",NA
"2.NIEUWE NIVELLERING","H",NA
"Al dertig jaar wordt het verschil tussen arm en rijk groter.","503",NA
"De lonen aan de top stijgen jaar op jaar, terwijl de lage en middeninkomens niet profiteren van de economische groei.","503",NA
"Mensen met een uitkering of pensioen zijn stelselmatig op achterstand gezet.","503",NA
"Veel te veel kinderen groeien op in armoede.","503",NA
"De tegenstelling tussen belastingbetalende burgers en belastingontwijkende multinationals is onrechtvaardig en maatschappelijk onhoudbaar.","503",NA
"Al dertig jaar horen we dat het niet anders kan.","503",NA
"Dat de wetten van de markt en inter¬nationale concurrentie ons dwingen tot bezuinigen, loonmatiging en belastingverlaging voor hoge inkomens en bedrijven.","503",NA
"Dat we ons moeten neerleggen bij meer ongelijkheid en dat bankiers recht hebben op bonussen.","503",NA
"Dat klopt niet en het deugt niet.","503",NA
"We kunnen kiezen voor eerlijk delen en eerlijk bijdragen.","503",NA
"GroenLinks wil de trend naar meer ongelijk¬heid keren.","503",NA
"We laten arbeid weer van kapitaal winnen.","503",NA
"Na een bankencrisis en jaren van toenemende winsten en lagere belastingen voor het bedrijfsleven is het tijd voor loonstij- ging voor werknemers.","701",NA
"Belastingontwijking pakken we aan.","503",NA
"Vermogen wordt eerlijk belast en mensen met schulden worden geholpen.","503",NA
"We stoppen belastingontwijking en saneren de financiele sector","H",NA
"Een ontspoorde financiele sector en de rijksten die hun geld verbergen in belastingparadijzen:","503",NA
"het is geen natuurwet, het is het gevolg van politieke keuzes.","503",NA
"GroenLinks gaat de teugels aanhalen bij het toezicht op de financiele sector.","503",NA
"Banken mogen geen onverantwoorde risico’s nemen.","403",NA
"Belastingontduiking wordt zwaarder bestraft en belastingontwijking wordt aangepakt.","605.1",NA
"Multinationals gaan gewoon belasting betalen.","412",NA
"Nederland mag geen spil meer zijn in internationale belastingconstructies die ten koste gaan van belas¬tingbetalende burgers en van ontwikkelingslanden.","412",NA
"In Europa wordt Nederland aanjager van de internationale aanpak van belastingontwijking.","412",NA
"We verminderen inkomensongelijkheid","H",NA
"GroenLinks wil dat lage en middeninkomens gaan profiteren van globalisering en economische groei.","503",NA
"Vooruitgang is er voor ons allemaal, niet alleen voor topverdieners.","503",NA
"De toenemende inkomensverschillen in onze samenleving roepen we een halt toe.","503",NA
"Aandeelhouders moeten gaan kijken naar langetermijnbelangen in plaats van kortetermijnwinsten.","503",NA
"We maken een nieuw sociaal akkoord met vakbonden en werkgevers over het delen van vooruitgang.","503",NA
"Het is tijd voor een loongolf.","503",NA
"De lonen gaan omhoog, de inkomstenbelasting voor lage en middeninkomens omlaag.","503",NA
"De hoogste inkomens gaan meer bijdragen.","503",NA
"We vereenvoudigen het toeslagensysteem.","503",NA
"Mensen met een minimuminkomen gaan erop vooruit.","503",NA
"We keren de toenemende vermogensongelijkheid","H",NA
"Geld wordt nu met geld verdiend.","415",NA
"Vermogen maakt vermogen.","415",NA
"Een almaar toenemende vermogensongelijkheid vergroot de kansenongelijkheid.","415",NA
"We gaan vermogens eerlijker belasten:","503",NA
"mensen met weinig spaargeld gaan minder betalen, mensen met veel kapitaal meer.","503",NA
"Mensen met problematische schulden gaan we helpen, zo nodig met kwijtschelding.","503",NA
"PROGRAMMAPUNTEN","H",NA
"We pakken belastingontwijking aan en saneren de financiele sector","H",NA
"1. We pakken belastingontwijking door multinationals aan door het beperken van fiscale ontwijkingsmogelijkheden via onder meer de innovatiebox, doorsluisconstructies en vestigingen in belastingparadijzen.","605.1",NA
"Nederland zet zich in voor een geharmoniseerde Europese grondslag voor de vennootschapsbelasting met een minimumtarief.","108",NA
"2. Multinationals worden verplicht per land openbaar te maken hoeveel vennootschaps-belasting zij betalen, hoeveel winst zij maken en wat de omvang van hun activiteiten is.","412",NA
"Speciale belastingafspraken met de fiscus worden openbaar gemaakt.","412",NA
"3. Belastingverdragen met ontwikkelingslanden worden aangepast en voorzien van een antimisbruikbepaling.","103.2",NA
"Bij onderhandelingen worden de belangen van ontwikkelings- landen beschermd.","103.2",NA
