"text","cmp_code","eu_code"
"Gaat het nu goed of slecht met Nederland?","601",NA
"Dat hangt er van af waar je naar kijkt.","601",NA
"Ons land heeft al zestig jaar op eigen bodem geen oorlog meer gekend, we leven langer en gezonder dan onze overgrootouders, er is een behoorlijk systeem van vrij en toegankelijk onderwijs, als je ziek bent word je behandeld en er is een oudedagvoorziening.","601",NA
"Veel mensen zijn daarom redelijk positief als het over hun eigen situatie gaat.","601",NA
"Dat persoonlijk optimisme staat in contrast met de groeiende zorg en onzekerheid over de samenleving als geheel.","0",NA
"Mensen maken zich zorgen over de kwaliteit van onze samenleving in Nederland.","0",NA
"In wat voor een land laten we onze kinderen opgroeien?","0",NA
"Houden we onze samenleving wel bij elkaar?","606",NA
"Of worden we een ieder-voor-zich-maatschappij, waarin alleen de sterken het redden, en de rest maar moet zien?",NA,NA
"Mensen zien dat de tweedeling in de maatschappij is toegenomen.","503",NA
"Tussen arm en rijk en tussen verschillende bevolkingsgroepen.","503",NA
"Er wordt bezuinigd op mensen onder de armoedegrens, terwijl de winstbelasting wordt verlaagd.","503",NA
"Het maakt voor je toekomstkansen nogal uit in welke buurt je wordt geboren.","503",NA
"Een grote groep mensen heeft problemen de eindjes aan elkaar te knopen: de huren en de kosten van energie en zorg zijn flink gestegen in de afgelopen jaren.","503",NA
"Een fatsoenlijk bestaan is voor grote groepen niet zeker: nu al leeft tien procent van de mensen tussen 55 en 65 jaar beneden de armoedegrens.","503",NA
"Ondertussen komen Polen hier werken en zullen China en India alles beter, sneller en goedkoper doen.","0",NA
"De Europese Unie breidt uit, waardoor we steeds minder te zeggen krijgen in een Europa dat steeds meer over ons te zeggen krijgt.","0",NA
"Het Midden-Oosten is een brandhaard die door zijn onvoorspelbaarheid de hele wereld lijkt te bedreigen.","0",NA
"Er is dreiging van terrorisme.","0",NA
"New York, Bali, Casablanca, Madrid, Londen.","0",NA
"Dit alles versterkt het gevoel van onzekerheid, zeker omdat terroristische organisaties ook in eigen land ontstaan.","608",NA
"De moord op Theo van Gogh was daarvan een gruwelijk resultaat.","608",NA
"Er zijn spanningen rond de integratie van moslims.","608",NA
"De buurt is de buurt niet meer.","608",NA
"Scholen, corporaties en ziekenhuizen fuseren steeds vaker, waardoor de gebruikers de weg kwijtraken en de professionals ondergeschikt zijn aan duurbetaalde managers die ver van het eigenlijke werk afstaan.","201",NA
"Dit zijn allemaal feiten, en mensen zijn terecht bezorgd.","305",NA
"En hoe heeft het kabinet hierop de afgelopen jaren gereageerd: de zorg en onzekerheid zijn alleen nog maar groter gemaakt.","305",NA
"Als er ingeleverd moest worden vielen de klappen bij de kwetsbare groepen, en als er eens wat extra was, kwam het terecht bij wie het voor de wind ging.","503",NA
"We moeten van het kabinet flexibiliseren, wat betekent dat je elk moment je baan kunt verliezen terwijl de uitkeringen tegelijkertijd slechter worden.","305",NA
"We worden aangesproken op “eigen verantwoordelijkheid”.","305",NA
