"text","cmp_code"
"Nederland heeft behoefte aan vooruitgang, aan een nieuw perspectief en aan nieuwe kansen.","305"
"Nederland snakt naar een uitweg uit de crisis.","305"
"Die weg uit de crisis loopt via een agenda die groei, nieuwe investerin-gen en meer banen in evenwicht brengt met verstandig en eerlijk sociaal economisch beleid.","305"
"Dat is de agenda van de PvdA.","305"
"Het is onze ambitie een open samenleving vol kansen voor onze kinderen achter te laten.","305"
"Een samenleving waarin we meer zijn dan een verzameling individuen.","606"
"Een land dat zijn kracht ontleent aan het beste onderwijs,","506"
"fatsoenlijke werkomstandigheden,","701"
"een degelijke financiële sector","403"
"en een hoogwaardige infra-structuur.","411"
"Een land waarin we samen de cruciale voorzieningen opbouwen, waardoor iedereen de kans krijgt het beste uit zichzelf te halen.","503"
"Dat land is de afgelopen twee jaar helaas niet dichterbij, maar verder weg komen te liggen.","305"
"Nederland is in een recessie geraakt en het vertrouwen van gezinnen en bedrijven in de toekomst is sneller gedaald dan waar dan ook in Europa.","305"
"Terwijl in de buurlanden de werkloosheid daalt, stijgt de werkloosheid hier.","305"
"Dat is niet iets dat Nederland zomaar is overkomen.","305"
"Een falend recept van eenzijdige bezuinigingen en een taboe om de noodzakelijke hervormingen door te voeren heeft ons land doen afglijden.","305"
"En als het aan de vijf partijen ligt die onlangs het begrotingsakkoord 2013 sloten, draait Nederland nog een rondje extra in de vicieuze cirkel van bezuinigingen die investeringen en aankopen doet uitblijven, banen verloren doet gaan en Nederland verder weg doet zakken in de recessie.","305"
"Aan dat falende recept maken wij een einde.","305"
"Om Nederland uit de crisis te halen is een andere agenda nodig.","305"
"Een agenda van groei en optimisme.","410"
"Een agenda die nieuwe investeringen en meer banen in even-wicht brengt met verantwoorde overheidsfinanciën.","305"
"Dat doen we allereerst door de economie weer aan de praat te krijgen.","410"
"En dat kan.","305"
"We zijn immers nog altijd een land met ongekende mogelijkheden.","601"
"Wie kijkt naar de concentratie van techniekbedrijven rond Eindhoven, de voedselindustrie rond Wageningen, de logistieke sector rond Venlo, de energiebedrijvigheid in het Noorden en de chemische innovatiesector rondom Emmen, weet dat dat kan.","601"
