"content","cmp_code","eu_code"
"Een verbonden samenleving","H",NA
"Eerlijk delen, vast werk, goed wonen, een gezond leven, toegang tot scholing, emancipatie, recht op zeggenschap – zie hier de rode draad in onze strijd voor een rechtvaardige wereld.","601.1",NA
"Vanuit deze waarden bouwde de Partij van de Arbeid na de Tweede Wereldoorlog aan de Nederlandse verzorgingsstaat.","601.1",NA
"Met deze waarden koesteren wij het ideaal van een samenleving waarin iedereen ongeacht afkomst vrij is, bestaanszekerheid heeft en zich kan ontplooien.","601.1",NA
"Een samenleving waar kinderen onbevreesd kunnen opgroeien, die hen aanmoedigt om na te denken, creatief te zijn, verder te reiken dan het gangbare en vooruit te komen.","601.1",NA
"Een samenleving die uitgaat van optimisme en vertrouwen in mensen, waarin het vanzelf spreekt om je welvaart te delen met anderen, waarin vertrouwen, verbondenheid en solidariteit over grenzen heen gaan.","601.1",NA
"Een samenleving waarin mensen met elkaar verbonden zijn, die mededogen kent en het cynisme in toom houdt, maar ook een samenleving die niet naïef is, die alert is op bedreigingen en die veiligheid biedt.","601.1",NA
"Een samenleving waarin overheid en maatschappelijke organisaties dienstbaar zijn aan mensen en waarin degenen die het echt nodig hebben vanzelfsprekend steun krijgen.","601.1",NA
"Een samenleving waarin wij niet alleen zorgvuldig omgaan met elkaar maar ook met de aarde.","601.1",NA
"Een menselijke, duurzame samenleving waar aan we met elkaar willen werken, en die we met overtuiging aan de volgende generaties willen doorgeven.","601.1",NA
"Door alle veranderingen heen zijn onze waarden van solidariteit, gelijke kansen, toegankelijkheid, rechtvaardigheid en vooruitgang dezelfde gebleven.","601.1",NA
"In de vertaling van deze waarden naar de praktijk laten wij ons leiden door ons idealisme maar ook door onze realiteitszin, waarbij wij, zoals Joop den Uyl het uitdrukte, ‘de smalle marges van de democratie’ ten volle benutten om wat vandaag nog onhaalbaar lijkt, morgen te realiseren.","601.1",NA
"Nu staan wij opnieuw voor deze opgave.","601.1",NA
"Misschien wel meer dan ooit moeten wij ons inzetten voor een solide samenleving die plaats heeft voor ‘zachte krachten’, een samenleving die sterk genoeg is om een grote verscheidenheid aan mensen en overtuigingen te kunnen dragen, en tegelijkertijd soepel genoeg om zich te blijven ontwikkelen.","601.1",NA
"Een samenleving die uitgaat van menselijke waarden en van onderling vertrouwen, en die krachtig kan optreden tegen de destructieve krachten van haat en geweld.","601.1",NA
"Zo’n samenleving is er niet zomaar en ze is nooit af.","601.1",NA
"Het is een permanente opgave van eerlijk delen, van spreiding van kennis, macht en inkomen.","601.1",NA
"Ook een sociale en sterke samenleving vereist voortdurende toewijding en onderhoud, om achterstand en ongelijkheid te bestrijden en gelijke kansen voor mensen te scheppen en te behouden.","601.1",NA
"Dat is de bestaansreden van de sociaaldemocratie en de opdracht die sociaaldemocraten zichzelf stellen.","601.1",NA
"En die krijgt nu een uitwerking in de opgave om met elkaar te werken aan een verbonden samenleving.","601.1",NA
"Voorbij de crisis","H",NA
"‘Nederland, sterker en socialer’, luidde de opgave die de Partij van de Arbeid zich in 2012, midden in de crisis, stelde.","305.1",NA
"Nederland stond er slecht voor.","305.1",NA
"Veel mensen raakten hun baan kwijt en de economie zat in de put.","305.1",NA
"De crisis, toen al vier jaar oud, leek maar niet over te gaan.","305.1",NA
"Ook in de politiek ging het niet soepel.","305.1",NA
"Het kabinet van Rutte-Verhagen had al na zestien maanden de gedoogsteun van de PVV verloren.","305.1",NA
"Opnieuw waren er tussentijdse verkiezingen nodig, die opnieuw een lastige verkiezingsuitslag opleverde.","305.1",NA
"Een patstelling dreigde.","305.1",NA
"Wij hebben toen onze verantwoordelijkheid genomen door een coalitie aan te gaan met de VVD, een partij die ideologisch onze tegenpool is.","305.1",NA
"De keuze voor deze coalitie was, gezien de verkiezingsuitslag, onvermijdelijk om uit de patstelling te komen, een einde maken aan de stagnatie en de broodnodige hervormingen door te voeren.","305.1",NA
"Deze keuze wordt ons niet door iedereen in dank afgenomen.","305.1",NA
"Wij zijn er mensen door kwijtgeraakt.","305.1",NA
"Dat betreuren wij.","305.1",NA
"Het verloren vertrouwen willen we terugwinnen.","305.1",NA
"We hebben deze keuze welbewust gemaakt en wij leggen daarover, zoals dat hoort in een democratie, verantwoording af aan de kiezer.","305.1",NA
"Om het economisch herstel op gang te krijgen zijn er lastige maatregelen genomen en grote offers gevraagd.","305.1",NA
"Eerlijk is eerlijk:","305.1",NA
"het Kabinet heeft ook maatregelen genomen die wij als PvdA anders hadden genomen als we het alleen voor het zeggen hadden gehad, zoals de snellere verhoging van de pensioenleeftijd.","305.1",NA
"Het is niet altijd goed gegaan, zoals bij de uitbetaling van de pgb’s.","305.1",NA
"Maar wij hebben gestreden voor verandering, het herstel is aantoonbaar en wij zijn verheugd over resultaten die het verschil maken.","305.1",NA
"De laagste inkomens zijn beschermd;","305.1",NA
"de schoonmakers zijn bij de overheid weer in vaste dienst;","305.1",NA
"jongeren krijgen een volwaardig loon;","305.1",NA
"er zijn grenzen gesteld aan de inkomens in de publieke sector;","305.1",NA
"de strengste bonuswet van Europa voor bankiers is ingevoerd;","305.1",NA
"en wij vragen van de hoogste inkomens een extra bijdrage.","305.1",NA
"Er is een nieuw fundament gelegd;","305.1",NA
"nu kunnen we weer vooruitkijken en met meer optimisme onze voorstellen aan u voorleggen.","305.1",NA
"Een wereld in verandering","H",NA
"Het gaat gelukkig weer de goede kant op met Nederland.","601.1",NA
"Het leven is hier beter dan in bijna ieder ander land ter wereld.","601.1",NA
"Op tal van lijsten scoort ons land hoog.","601.1",NA
"Nederlanders geven hun leven gemiddeld een rapportcijfer 7,8 en wij staan daarmee in de mondiale top van tevreden volkeren.","601.1",NA
"Maar achter deze goede gemiddelden gaan, zoals vaker, aanzienlijke ongelijkheden schuil.","503",NA
