"text","cmp_code","eu_code"
"Dieren zijn evenals mensen wezens met gevoel en bewustzijn en dienen daarom op een respectvolle wijze behandeld te worden.","501",NA
"Zij worden steeds meer in hun welzijn aangetast en in hun voortbestaan bedreigd door toedoen van de mens.","501",NA
"Dat geldt ook voor de natuur en de aarde als kwetsbaar ecosysteem.","501",NA
"Op tal van punten is dit ecosysteem door de activiteiten van de mens aangetast en uit zijn evenwicht gebracht.","501",NA
"Aan de vernietiging van het leefmilieu en de schending van rechten van levende wezens moet een halt worden toegeroepen.","501",NA
"Daartoe is een beschavingsoffensief noodzakelijk dat vergelijkbaar is met de strijd van weleer tegen de onderdrukking van vrouwen, kinderen en slaven.","501",NA
"In de beginselverklaring van de Partij voor de Dieren staat daarom de respectvolle omgang met dieren, mensen en de natuur centraal.","501",NA
"De Partij voor de Dieren tracht dit doel op verschillende manieren te bereiken.","501",NA
"De Partij voor de Dieren streeft naar een versterking van de morele en juridische status van dieren door middel van de erkenning van dieren als wezens met bewustzijn en gevoel.","501",NA
"Zij vindt dat op nationaal niveau de rechten van dieren in de grondwet moeten worden vastgelegd en dat de bescherming van dieren in een zelfstandige dierenbeschermingswet moet worden gewaarborgd.","501",NA
"Op Europees niveau dient de Nederlandse overheid zich in te zetten voor opname van een soortgelijk artikel in een nieuw verdrag of Europese grondwet.","501",NA
"De Partij voor de Dieren ondersteunt initiatieven die een verbeterde status van dieren vastleggen in de vorm van een Universele Verklaring van de Verenigde Naties inzake de rechten van dieren.","501",NA
"Dieren worden door de mens in enorme aantallen gehouden, geëxploiteerd en gedood.","501",NA
"Het minste waarop deze dieren recht hebben is een aan hun aard en gedrag aangepaste manier van huisvesting en verzorging.","501",NA
"Het verhogen van de normen voor de huisvesting en verzorging van dieren dient een tweeërlei effect: in de eerste plaats de verbetering van het welzijn van de dieren, in de tweede plaats het tenietdoen van het enorme (economische) concurrentievoordeel dat uit de slechte behandeling van dieren te behalen valt.","501",NA
"Alternatieven waarbij geen dieren worden gebruikt of waarbij de dieren beter worden behandeld krijgen daardoor meer kans om zich te ontwikkelen.","501",NA
"De landelijke, provinciale en gemeentelijke overheden hebben de plicht het dierenwelzijn te bevorderen.","501",NA
"Zij dienen onder andere door middel van educatie het respect voor dieren en de natuur te vergroten.","501",NA
"De landelijke overheid dient ook in het kader van ontwikkelingshulp en binnen de EU de structurele verbetering van de positie van dieren te bevorderen.","501",NA
"Verder dienen niet alleen opvangcentra voor gezelschapsdieren ondersteund te worden, maar ook die voor exotische dieren, vogels en andere in het wild levende dieren.","501",NA
"Om dieren een effectieve bescherming te bieden tegen mishandeling en verwaarlozing is een dierenpolitie nodig, voorzien van ruime bevoegdheden om dieren uit hun benarde situaties te kunnen verlossen en om de daders effectief te kunnen bestraffen.","605",NA
"In de Nederlandse veehouderij worden jaarlijks circa 500 miljoen dieren gefokt en gedood.","501",NA
"Tijdens de vaak zeer korte tijd dat hen het leven is gegund, is de wijze waarop deze dieren worden gehouden meestal ook nog eens volstrekt beneden de maat.","501",NA
"Alleen de biologisch(e)(dynamische) veehouderij en sommige hobbydierhouderijen komen in de buurt van een aanvaardbare huisvesting en verzorging.","501",NA
"De Partij voor de Dieren wil dat dieren milieuvriendelijkere vormen van veehouderij door de overheid krachtig worden bevorderd, onder andere door toepassing van het nultarief voor BTW en door de kosten van de controlerende organisatie SKAL voor haar rekening te nemen, waardoor biologische producten beter de concurrentie kunnen aangaan met producten uit de bioindustrie.","501",NA
"De overheid dient ook geen enkele steun meer te verlenen aan bedrijven die produceren onder normen die lager zijn dan de ecologische normen.","501",NA
"De veehouderij moet gronden streekgebonden worden","501",NA
"en er dient een einde te komen aan de bioindustrie.","501",NA
"De normen voor het huisvesten en verzorgen van dieren moeten flink worden opgetrokken.","501",NA
"De EU dient dieronvriendelijke veehouderijproducten van buiten de EU niet toe te laten en op basis van ethische gronden te weigeren, ook als een beroep gedaan wordt op WTO afspraken.","501",NA
"In de commerciële zeevisserij worden brute vangsten dodingmethoden gehanteerd.","501",NA
"Wereldwijdwordtjaarlijks ca.","501",NA
"90 miljoen ton vis gevangen, wat neerkomt op enkele honderden miljarden vissen.","501",NA
"Daarnaast wordt ongeveer 45 miljoen ton vis gekweekt onder omstandigheden die sterk gelijken op die van de bioindustrie.","501",NA
"Met het welzijn van vissen wordt binnen de vissector geen rekening gehouden.","501",NA
"Zelfs bij vis die op ‘duurzame’ wijze is gevangen, is geen rekening gehouden met het welzijn van de vis.","501",NA
"De wijze waarop vissen worden gevangen en gedood bezorgt ze een langdurige en pijnlijke doodsstrijd.","501",NA
"De Partij voor de Dieren vindt dat er regels moeten komen die pijn en stress bij het doden van vissen tot een minimum beperken.","501",NA
"De Partij voor de Dieren wil een einde aan alle dierproeven.","501",NA
"Zolang dierproeven nog niet verboden zijn, behoren proefdieren evenals landbouwhuisdieren en gezelschapsdieren optimaal, overeenkomstig hun aard en gedrag, verzorgd en gehuisvest te worden.","501",NA
"Proefdieren die na afloop van de experimenten niet meer gebruikt worden, dienen, indien hun lichamelijke en psychische conditie dat toelaat, op kosten van de dierproefnemers via gespecialiseerde opvangcentra bij nieuwe eigenaren herplaatst te worden.","501",NA
"De leefgebieden van in het wild levende dieren mogen niet verder worden aangetast.","501",NA
"Waar mogelijk dienen ze te worden hersteld, opdat de dieren zich weer in hun biotoop kunnen vestigen.","501",NA
"Ook het voortbestaan van in het wild levende dieren mag niet verder in gevaar worden gebracht.","501",NA
"Het massale uitsterven van dieren en planten en de massale exotenhandel die steeds ernstiger vormen aannemen, dienen met alle kracht te worden bestreden.","501",NA
"Waar in het wild levende dieren en mensen in elkaars nabijheid leven, moeten dieren zo veel mogelijk in staat worden gesteld om hun eigen leven te leiden volgens de natuurlijke processen, zonder ingrijpen van de mens.","501",NA
"Indien dieren onaanvaardbare overlast veroorzaken voor de mens, worden alle diervriendelijke mogelijkheden beproefd om de overlast tot een acceptabel niveau te beperken.","501",NA
"Overlast mag nooit bestreden worden door hobbyisten (zoals jagers) met een eigen belang.","501",NA
"Hoewel veel gezelschapsdieren goed verzorgd en gehuisvest worden, bestaan er in verband met hun welzijn toch veel problemen.","501",NA
"Datheeftverschillendeoorzaken.","501",NA
"Veel dierenleed komt voort uit onwetendheid van huisdierbezitters.","501",NA
"De overheid dient daarom de voorlichting over de verzorging van dieren krachtig te bevorderen.","501",NA
"Het houden van gezelschapsdieren kent ook een commerciële kant.","501",NA
