"text","cmp_code"
"de aarde biedt genoeg voor ieders behoefte, maar niet voor ieders hebzucht.","416"
"de economie is in de greep geraakt van monetaire vraagstukken.","416"
"geld regeert; alles wat werkelijk waarde heeft wordt hieraan ondergeschikt gemaakt.","416"
"de dieren en de natuur zijn verworden tot een product met een prijs.","501"
"zelfs de verlangens en zorgen van mensen worden uitgedrukt in geld.","416"
"deze eenzijdige benadering staat de noodzakelijke koerswijziging in de weg.","416"
"de huidige crises kunnen niet worden opgelost met symptoombestrijding — maar vergen radicaal andere keuzes.","416"
"de partij voor de dieren is nog niet groot, maar is wél de sterkst groeiende politieke partij van nederland.","305"
"we denken fundamenteel anders dan de traditionele politieke partijen.","305"
"wij willen af van het single-issuedenken dat de westerse mens en z’n geld centraal stelt bij elke beslissing.","416"
"neem onze omgang met dieren: de wijze waarop de mens dieren gebruikt vormt de grootste bedreiging voor de ecologie van de aarde.","501"
"de veehouderij is verantwoordelijk voor 30% van het biodiversiteitsverlies.","501"
"Bovendien zijn er ernstige problemen met de wereldvoedselverdeling doordat bijna de helft van de wereldgraanoogst wordt opgeslokt door de veehouderij.","416"
"of neem de bankensector: banken worden met tientallen miljarden op de been gehouden zonder dat er geëist wordt dat ze op een andere manier met óns geld omgaan.","416"
"dit kan zo niet doorgaan.","416"
"de partij voor de dieren is voorstander van een sluitende begroting: niet méér uitgeven dan wij hebben, niet méér consumeren dan er is en niet méér beslag op de aarde leggen dan wij ons kunnen veroorloven ten opzichte van andere mensen — nu en in de toekomst.","416"
"wij willen dat banken niet meer speculeren op verliezen — maar investeren in duurzame sectoren waardoor banen gecreëerd worden.","416"
"dat er niet wordt geïnvesteerd in megastallen, wapens en kernenergie — maar in innovatieve projecten voor hernieuwbare energie.","416"
"de partij voor de dieren heeft de groenste en meest hervormingsgezinde ambities.","305"
"Hiermee willen wij een gidsfunctie vervullen naar een nieuw en duurzaam beleid waarin mededogen en duurzaamheid centraal staan.","416"
"de capaciteit van de aarde is de randvoorwaarde voor elke beleidskeuze.","416"
"durf groot te denken, verhef je stem, hou vast aan je idealen.","305"
"Laat ze niet wegcijferen door de mensen die de huidige problemen hebben veroorzaakt.","305"
"einstein zei al dat we problemen niet kunnen oplossen met de denkwijze die ze veroorzaakte.","305"
"dus, geen rekensommetjes in de marge van de crisis — maar hoop en concrete oplossingen voor een duurzame toekomst.","305"
"die overweging kan maar tot één keuze leiden: kies Partij voor de Dieren.","305"
"Landbouw is geen industrie en dieren zijn geen machines.","501"
"gezonde landbouw is gifvrij,","501"
"regionaal,","301"
"wordt bedreven met respect voor dieren","501"
"en levert de boer een goed inkomen op.","703"
"een plantaardiger voedingspatroon is de belangrijkste stap naar een duurzame wereld waarin iedereen te eten heeft.","416"
"nederland is het meest veedichte land ter wereld.","501"
"dat trekt een zware wissel op dieren, mensen, natuur en milieu.","501"
"de veehouderij neemt wereldwijd 80% van alle landbouwgronden in beslag.","501"
"en nog steeds wordt er tropisch regenwoud gekapt voor de massale teelt van veevoer.","501"
"die teelt is vanwege het grootschalige gebruik van kunstmest en gif energieverslindend, sterk vervuilend en put de fosfaatvoorraden van de wereld uit.","501"
"de veehouderij stoot wereldwijd meer broeikasgassen uit dan al het verkeer en vervoer samen en is verantwoordelijk voor 30% van het biodiversiteitsverlies.","501"
"de dieren betalen de hoogste prijs: na een kort en ellendig leven in stallen zonder daglicht worden in nederland honderden miljoenen dieren per jaar op transport gezet om te eindigen als kiloknaller.","501"
"groenten, granen en fruit van eigen bodem zouden een groter onderdeel van ons voedselpakket moeten uitmaken.","416"
"dat kan als de nederlandse boer wordt geholpen de omslag te maken naar kwaliteitsproductie, waarbij in plaats van chemische bestrijdingsmiddelen en kunst-mest wordt gebruikgemaakt van de diensten van de natuur.","416"
"kunstmest verarmt de bodem","501"
"en het gebruik van chemische bestrijdingsmiddelen leidt tot verlies van biodiversiteit, zorgwekkende bijensterfte en steeds moeilijker te zuiveren drinkwater.","501"
"de visserij is de afgelopen decennia veranderd in een industrie die op ongekende schaal verwoestingen aanricht aan de ecosystemen in zee.","501"
"Verreweg de meeste vissoorten zijn overbevist en bevinden zich in de gevarenzone.","501"
"de vangsttechnieken zelf zorgen voor een langdurige en pijnlijke doodsstrijd voor de vissen.","501"
"de viskwekerijen, die als alternatief voor wildvang als paddenstoelen uit de grond schieten, vormen een nieuwe bio-industrie met alle gevolgen van dien.","501"
"Voedsel is een eerste levensbehoefte, maar wordt meer en meer behandeld als een wegwerpproduct.","416"
"gaven we in de jaren zeventig nog 30% van ons inkomen uit aan voedsel, nu is dat nog maar 12%.","416"
"de afstand tussen boer en burger is door de voortgaande schaalvergroting en het invliegen van voedsel vanuit de hele wereld ongezond groot geworden.","703"
"de partij voor de dieren vecht voor de waarde van voedsel","416"
"en een radicale omslag in het landbouwbeleid.","416"
"mes en vork zijn de belangrijkste wapens in de strijd tegen dierenleed, klimaatverandering, honger en biodiversiteitsverlies.","416"
"klimaatwetenschappers evoedselspecialisten luiden de noodklok over de eetpatronen in westerse landen.","416"
"als we voedsel eerlijk willedelen, moeten we minder dierlijke, en meer plantaardigproducten eten.","416"
"in het belang van dieren, natuur en milie–","501"
"maar óók van onze eigen gezondheid.","504"
"Vlees, vis, eieren en zuivel gaan naar het hoge Btw tarief.","412"
"de kiloknaller verdwijnt uit het schap","501"
"en bedreigde vissoorten mogen niet meer worden verkocht.","501"
"de ontwikkeling van plantaardige vlees-, zuivel- en visvervangers wordt ondersteund.","501"
"Via duidelijke etiketten krijgen burgers eerlijke informatie over de herkomst van producten en de gevolgen van productie voor mens, dier, natuur en milieu.","403"
"er komen campagnes gericht op de promotie van een plantaardig voedingspatroon.","416"
"de partij voor de dieren wil de verschraling in de landbouw een halt toeroepen.","703"
"meer diversiteit, gesloten kringlopen en kortere ketens tussen boer en consument zijn de bouwstenen voor gezond en duurzaam voedsel.","703"
"Biologische, regionale, grondgebonden landbouw moet de norm worden.","416"
"Het gemeenschappelijk Landbouwbudget van de europese Unie wordt de komende jaren gebruikt om boeren te helpen omschakelen naar biologische landbouw.","703"
"de landbouwsubsidies worden op termijn afgeschaft.","416"
"Biologische plantaardige producten worden actief ondersteund en gepromoot,","416"
"zodat boeren zonder subsidie een goede boterham kunnen verdienen.","703"
"de overheid geeft het goede voorbeeld door alleen nog maar te kiezen voor biologische producten bij haar inkopen.","416"
"werkgevers mogen belastingvrij zorgen voor biologische lunch en fruit op het werk.","416"
"echte bewustwording over de waarde van voedsel ontstaat alleen als de verbinding tussen burger en voedsel wordt hersteld.","416"
"we gaan landbouw in en om de stad stimuleren om kinderen én volwassenen weer te laten zien waar voedsel vandaan komt.","703"
"Van de duurzame boerderij net buiten de stad tot de dakakkers: stadslandbouw is een onmisbaar onderdeel van duurzaam voedsel.","703"
"dankzij een motie van de tweede kamerfractie van partij voor de dieren komt er al een ambassadeur voor de stadslandbouw die knelpunten opruimt en gemeenten op weg helpt.","703"
"de overheid gaat (biologische) stadslandbouw stimuleren.","703"
"Voedsel is letterlijk waardeloos geworden en wordt ook zo behandeld.","416"
"alleen al in nederland verdwijnt er jaarlijks 2,5 miljoen ton voedsel in de vuilnisbak.","416"
"in het belang van mens en milieu moet de voedselverspilling worden aangepakt.","416"
"de warenwet wordt aangepast zodat houdbaarheidsdata op producten niet langer verspilling in de hand werken.","416"
"nederland neemt het initiatief om europese regels over houdbaarheidsdata aan te passen.","108"
"Burgers worden goed voorgelicht over het bewaren en de houdbaarheid van voedsel.","403"
"de waarde van duurzaam, eerlijk voedsel zou tot uitdrukking moeten komen in de prijs die we ervoor betalen.","416"
"nu wordt de echte prijs van voedsel verhuld door subsidies, waardoor de maatschappelijke kosten uit de schatkist worden betaald.","416"
"er is een omslag nodig naar een duurzaam voedselsysteem waarin de boer een goede prijs krijgt voor zijn kwaliteitsproduct.","416"
"er komt een eerlijkeprijsbewijs voor tussenhandelaren, supermarkten en andere retailers.","403"
"Hiermee moeten zij kunnen aantonen dat de inkoopprijs die zij boeren bieden voldoende is om de productiekosten als gevolg van maatschappelijke eisen op het gebied van dierenwelzijn en milieu te dekken.","703"
"Hierdoor creëren we een duurzaamheidsbodem in de markt die steeds verder kan worden opgehoogd.","416"
"de intensieve veehouderij laat diepe sporen na in ons land, zoals gezondheidsproblemen, verlies van biodiversiteit en drinkwatervervuiling.","501"
"Voor de kiloknaller worden varkens, kippen, koeien, konijnen en geiten in de vee-industrie opgefokt en opgehokt, mishandeld en ziek gemaakt.","501"
"nederland is door de emissies van de vee-industrie de grootste ammoniakvervuiler van europa.","501"
"de productie van vlees is bovendien zeer inefficiënt: voor één kilo biefstuk is vijfentwintig kilo voer en 15.000 liter water nodig.","416"
"de partij voor de dieren is van mening dat er een einde moet komen aan de vee-industrie.","501"
"minder dieren betekent minder problemen voor natuur, milieu, mens en dierenwelzijn.","501"
"de huidige veehouderij is onhoudbaar.","501"
"we houden zoveel dieren voor vlees, zuivel en eieren dat geen maatregel is opgewassen tegen alle problemen die dit met zich meebrengt.","501"
"Het aantal gehouden dieren wordt met 70% verlaagd om ruimte te maken voor mens, dier en milieu.","501"
"Het huidige systeem dat het aantal kippen en varkens reguleert (dierproductierechten) blijft bestaan en wordt uitgebreid naar runderen, geiten en schapen.","501"
"Het melkquotum wordt niet afgeschaft.","501"
"de dieren die gehouden worden in de landbouw moeten gehuisvest en verzorgd worden in overeenstemming met hun aard en gedrag.","501"
"de systemen moeten worden aangepast aan de behoeften van de dieren in plaats van andersom.","501"
"alle dieren krijgen vrije uitloop naar buiten en hebben daar voldoende schuilmogelijkheden.","501"
"dan kunnen kippen stofbaden, varkens wroeten en koeien en geiten grazen in de wei.","501"
"er komt een einde aan pijnlijke ingrepen zoals het couperen van staarten, het kappen van snavels, het onthoornen van koeien en het oormerken van dieren.","501"
"koeien worden gehuisvest in familiekuddes.","501"
"kalfjes worden niet langer binnen een dag weggehaald, maar mogen opgroeien bij hun moeder en de melk drinken die voor hen bedoeld is.","501"
"de kraamboxen, waarin varkens weken tussen stangen staan, worden verboden.","501"
"Het moederdier krijgt de gelegenheid een nest te bouwen en haar biggetjes te verzorgen.","501"
"Voor nieuwe houderijsystemen komt een preventieve huisvestingstoets.","501"
"toestemming wordt alleen gegeven als kan worden aangetoond dat dieren in overeenstemming met hun natuurlijk gedrag gehouden kunnen worden.","501"
"Voor bestaande houderijsystemen wordt de preventieve toets met terugwerkende kracht uitgevoerd.","501"
"de partij voor de dieren wil een einde aan de dieronterende transporten en het ernstige dierenleed bij de slacht.","501"
"Het transport van dieren wordt drastisch beperkt tot maximaal twee uur.","501"
"op zeer warme dagen mogen dieren niet op transport worden gezet.","501"
"de aangenomen motie van de tweede kamerfractie van de partij voor de dieren voor aanzienlijke welzijnsverbeteringen in de reguliere slachtpraktijk wordt onverkort uitgevoerd.","501"
"Het wettelijke voorschrift dat dieren onnodige pijn, stress en angst moet worden bespaard voorafgaand aan de slacht wordt strikt nageleefd, onder meer door het aantal dieren dat wordt geslacht fors te verlagen.","501"
"Uitzonderingen op de verplichte bedwelming voorafgaand aan de slacht worden niet langer toegestaan: er komt een verbod op het onverdoofd ritueel slachten.","501"
"er wordt een kilometerheffing voor diertransporten ingevoerd.","501"
"Veemarkten worden verboden.","501"
"de zelfregulering in de veehouderij laat misstanden voortbestaan.","501"
"de partij voor de dieren wil hier een einde aan maken.","501"
"de controle op alle schakels in de veehouderij wordt opgevoerd en komt in handen van de overheid in plaats van de sector zelf.","403"
"om het toezicht goed te kunnen uitvoeren wordt de nederlandse Voedsel- en warenautoriteit (nVwa) versterkt.","403"
"er komt permanent cameratoezicht in stallen en slachterijen.","501"
"Veetransportwagens worden voorzien van een gps-volgsysteem.","501"
"de controlegegevens worden door de nVwa openbaar gemaakt.","403"
"dit geldt ook voor het register voor antibiotica in de veehouderij.","403"
"megastallen met duizenden varkens, geiten of koeien en zelfs honderdduizenden kippen zijn de trieste gevolgen van een doorgeslagen veehouderij.","501"
"er komt een verbod op megastallen en megabedrijven.","501"
"de wettelijke grens voor het maximaal aantal te houden dieren wordt periodiek naar beneden bijgesteld tot de vee houderij als geheel opereert binnen de menselijke maat.","501"
"tussen stallen en woningen en tussen twee stallen wordt een afstand van minimaal 2.000 meter aangehouden.","501"
"er komen strenge brandveiligheidsvoorschriften voor stallen.","501"
"dieren moeten op een verantwoorde manier gehouden worden.","501"
"Hierbij staan de dier- en volksgezondheid centraal.","501"
"de kans op een dierziekte-uitbraak en de gevolgen daarvan worden beperkt door regionalisering,","501"
"het uitbannen van langeafstandstransporten","501"
"en het inkrimpen van de bedrijfsgrootte.","501"
"Het antibioticagebruik in de veehouderij wordt strikt gereguleerd.","501"
"preventief antibioticagebruik, waarbij gezonde dieren deze medicijnen krijgen toegediend, koppelbehandelingen en het gebruik van laatstekeusantibiotica voor mensen wordt verboden in de veehouderij.","501"
"grote gemengde veehouderijen met zowel kippen als varkens zijn niet langer toegestaan om de vorming van nieuwe gevaarlijke virussen tegen te gaan.","501"
"Het ministerie van Volksgezondheid, welzijn en sport krijgt de regie bij het aanpakken van een uitbraak van voor mensen besmettelijke dierziekten (zoönosen).","303"
"Geen plofkip en geen vleeskonijn.","501"
"Veel dieren zijn zo ver doorgefokt dat ze in een paar weken klaar zijn voor de slacht.","501"
"dit zorgt voor ernstige welzijnsproblemen.","501"
"er komt een verbod op dikbilkoeien, plofkippen","501"
"en op het vergassen en levend versnipperen van eendagshaantjes.","501"
"Bij het fokken van dieren komt de nadruk te liggen op gezonde, weerbare rassen.","501"
"Het fokken en houden van onder andere vleeskonijnen, waterbuffels, struisvogels en dromedarissen is ten on rechte gedoogd en wordt alsnog verboden.","501"
"in een duurzame landbouw zijn de nutriëntenkringlopen gesloten en is er geen afval meer.","416"
"er komt een einde aan de importen van soja en maïs voor veevoer.","416"
"in plaats daarvan wordt duurzaam veevoer via regionale teelt geproduceerd.","416"
"de mestproductie wordt afgestemd op wat we verantwoord op onze akkers kunnen gebruiken.","416"
"Het injecteren van mest wordt verboden.","416"
"de europese visserij is verantwoordelijk voor de structurele overbevissing van visbestanden in de europese wateren.","501"
"maar liefst 88% van de vissoorten is overbevist en 30% kan zich waarschijnlijk al niet meer herstellen.","501"
"ne-derland heeft een belangrijk aandeel in deze verwoesting.","501"
"de grootste trawlers zijn in nederlandse handen en onze grote boomkorvloot verandert de zeebodem in een levenloze vlakte.","501"
"Viskwekerijen lossen dit probleem niet op: veel gekweekte vissen worden gevoerd met wild gevangen vis.","501"
"de partij voor de dieren pleit, in navolging van mariene biologen, voor een moratorium op de visvangst zodat ecosystemen en visbestanden de kans krijgen zich te herstellen.","501"
