"content","cmp_code","eu_code"
"Plan B Verkiezingsprogramma Partij voor de Dieren Tweede Kamerverkiezingen 2017","H",NA
"Plan B Verkiezingsprogramma Partij voor de Dieren Tweede Kamerverkiezingen 2017","H",NA
"Hou vast aan je idealen","H",NA
"Inleiding – Plan B","H",NA
"De Partij voor de Dieren is de enige politieke partij die de belangen van alle soorten, mens én dier, als uitgangspunt neemt.","501",NA
"We hebben een planeetbrede visie.","501",NA
"Daar zijn we uniek in.","501",NA
"De aarde biedt genoeg voor ieders behoefte, maar niet voor ieders hebzucht.","416.2",NA
"De grootste uitdaging van dit moment is de aarde leefbaar te houden voor toekomstige generaties.","416.2",NA
"Een aarde met schone lucht, schoon water, soortenrijkdom, een vruchtbare bodem en leven in harmonie met álle andere bewoners van deze planeet.","416.2",NA
"Met een samenleving waarin mensen aandacht hebben voor elkaar en zorg voor de kwetsbaarsten.","416.2",NA
"Waar goed onderwijs is en zinvol werk voor iedereen.","416.2",NA
"Een samenleving waarin mensen de moed hebben om de veranderingen te bewerkstelligen die daarvoor nodig zijn.","416.2",NA
"Idealisme is het nieuwe realisme","H",NA
"Er is behoefte aan een Plan B, omdat er geen Planeet B is.","305.1",NA
"Dit programma is dat Plan B.","305.1",NA
"Geen symptoombestrijding.","305.1",NA
"Geen oplossingen die over tientallen jaren pas enig effect moeten hebben.","305.1",NA
"Geen ‘compromisme’.","305.1",NA
"Wél idealen die haalbaar en betaalbaar zijn.","305.1",NA
"Wij zijn ervan overtuigd dat het kan.","305.1",NA
"En wij gaan daarvoor ons uiterste best doen.","305.1",NA
"In de Tweede Kamer agenderen we die onderwerpen waar de traditionele politiek liever bij wegkijkt.","604",NA
"We voeren krachtig oppositie tegen het single-issuedenken van partijen die vooral denken aan de westerse mens en zijn geld.","416.1",NA
"Het traditionele denken gaat er nog steeds vanuit dat er eerst geld verdiend moet worden, voordat we serieuze aandacht kunnen geven aan zaken die echt van groot belang zijn.","416.1",NA
"Zoals mensen- en dierenrechten, het behoud van natuur en milieu.","416.1",NA
"De kernvoorwaarden voor ons bestaan worden gezien als luxe.","416.1",NA
"Geld zijn we gaan zien als doel op zich.","416.1",NA
"Alsof wat we ons kunnen veroorloven, samenhangt met geldbedragen in plaats van met wat de aarde kan bieden, hoe we dit verdelen en welke (morele) keuzes we daarin maken.","416.1",NA
"De huidige economie is er vooral op gericht om alles wat onze planeet te bieden heeft zo snel mogelijk te gelde te maken.","416.1",NA
"Wij willen een economie die ten dienste staat van alles wat het leven de moeite waard maakt.","416.1",NA
"Zoals de bestrijding van armoede, de bevordering van gelijkheid, veiligheid en de leefbaarheid van de aarde.","416.1",NA
"Generaties lang stond kinderen een betere toekomst te wachten dan hun ouders hadden.","602.1",NA
"Tot onze generatie.","602.1",NA
"Wij zijn de eersten die ons zorgen maken over de vraag of onze kinderen het beter zullen krijgen dan wij, zowel in materiële als immateriële zin.","416.2",NA
"We lijken de eerste generatie te zijn die geconfronteerd wordt met nauwelijks beheersbare veranderingen die alles zullen vragen van ons vernuft en onze innovatieve krachten om de aarde leefbaar te houden.","416.2",NA
"Plan B.","H",NA
"Er zijn oplossingen te over.","H",NA
"De economische crisis is niet ontstaan door schaarste aan producten en diensten, maar door fouten in het economisch systeem.","416.1",NA
"We leven in een tijd waarin we met steeds minder menskracht alles kunnen produceren en organiseren wat we nodig hebben.","416.1",NA
"Dit biedt een geweldige kans om meer tijd te besteden aan de zorg voor elkaar en voor de natuur.","416.1",NA
"En aan persoonlijke ontwikkeling, innovatie, sport, kunst et cetera.","416.1",NA
"De wijze waarop we de economie nu hebben georganiseerd, zit dit echter in de weg:","416.1",NA
"mensen moeten juist steeds meer en tot op hogere leeftijd werken in plaats van minder.","416.1",NA
"Veel mensen vallen buiten de boot.","416.1",NA
"Zo kunnen jonge mensen moeilijk vast werk vinden en hebben zij vooral flexcontracten.","416.1",NA
"Productie en consumptie moeten dwangmatig groeien, of de mensen daar nou op zitten te wachten of niet.","416.1",NA
"Arbeid blijft duur door hoge belastingen, terwijl het in overvloed beschikbaar is.","416.1",NA
"Grondstoffen daarentegen zijn spotgoedkoop, terwijl ze schaars en in veel gevallen eindig zijn en de winning ervan de natuur uit balans brengt.","416.1",NA
"Het huidige economische systeem veroorzaakt een groei- en schuldverslaving waardoor alles volkomen vastloopt.","416.1",NA
"We zullen het dus anders moeten gaan organiseren.","416.1",NA
"En dat kan!","416.1",NA
"We moeten geen belasting op arbeid heffen, maar op het gebruik van grondstoffen, met name op de niet-duurzame grondstoffen.","416.1",NA
"Duurzame producten worden dan goedkoper.","416.1",NA
"Voor vervuilende producten betalen we meer.","416.1",NA
"Het wordt daardoor mogelijk om verloren werkgelegenheid die naar lagelonenlanden is verplaatst, terug te winnen:","416.1",NA
"denk aan de textielsector en andere maak- en herstelindustrieën.","416.1",NA
"Op alle terreinen komt er meer werk omdat arbeid veel goedkoper wordt.","416.1",NA
"Onderwijs en gezondheidszorg gaan hiervan zeker profiteren.","416.1",NA
"We kunnen onze tijd, energie en creativiteit aanwenden om al onze activiteiten en producten te vergroenen, met slimme innovaties ten dienste van duurzaamheid.","416.1",NA
"Ten dienste van elkaar.","416.1",NA
"Een basisinkomen voor iedereen zal serieus onderzocht moeten worden.","416.1",NA
"Daarmee kunnen we veel werk en activiteiten verrichten die nu blijven liggen omdat we er geen tijd voor hebben of omdat ze te duur zijn.","416.1",NA
"Er zijn veel meer oplossingen.","416.2",NA
"Wanneer we de akkers waar we veevoer op verbouwen voor de vleesindustrie, gebruiken voor gewassen voor voedsel dat direct door de mens gegeten wordt, kunnen we met diezelfde akkers drie keer zoveel mensen voeden als nu en zelfs akkers teruggeven aan de natuur.","416.2",NA
"Wanneer we onze gebouwen benutten om energie op te wekken in plaats van energie te verspillen, maakt dat een wereld van verschil.","416.2",NA
"Wanneer we het gebruik van dieren voor vermaak, voedsel, kleding en experimenten terugdringen en beëindigen, krijgen we een samenleving waarin niet enkel de belangen van de mens centraal staan, maar die van álle levende wezens.","416.2",NA
"Het leven zal betekenisvoller, meer ontspannen en solidair worden, met meer zekerheden, mededogen en duurzaamheid.","603",NA
"De aarde krijgt de kans om te herstellen.","603",NA
"De samenleving wordt duurzaam.","416.2",NA
"Een duurzame samenleving waarin je je thuis kunt voelen, is mogelijk wanneer we ons niet meer eenzijdig focussen op de groei van het bruto binnenlands product als maatstaf voor onze welvaart.","416.2",NA
"We zullen ons veel meer moeten laten leiden door graadmeters als de mate van veiligheid in onze samenleving, gemeenschapszin, gezondheid en welzijn van mens, dier en natuur en onze ecologische voetafdruk.","603",NA
"We moeten ons niet langer blindstaren op de eenzijdige groeimodellen van het Centraal Planbureau, die niet of nauwelijks rekening houden met de gevolgen van ons handelen voor andere landen.","416.1",NA
"We maken ons allemaal zorgen over het grote aantal conflicten in de wereld.","106",NA
"Miljoenen mensen vluchten van huis en haard.","106",NA
"De conflicten worden veelal verergerd door water- en voedseltekorten en klimaatverandering.","106",NA
"We kunnen onze wereld veiliger en vreedzamer maken als we durven te kijken naar ons eigen aandeel in het ontstaan van die conflicten.","106",NA
"Zoals onze verspilling van hulpbronnen;","416.1",NA
"fossiele brandstoffen, zoet water, fosfaat.","416.1",NA
"Maar ook onze agressieve exportstrategie ten koste van lokale economieën in arme landen, en onze wapenindustrie die conflicten verergert.","405",NA
"De bestrijding van honger en armoede in de wereld begint bij een eerlijke verdeling van wat de aarde te bieden heeft.","405",NA
"Hou vast aan je idealen","H",NA
"Volgens peilingen overweegt 19% van de kiezers Partij voor de Dieren te stemmen.","305.1",NA
"U hoort daarbij, anders was u niet tot hier gekomen.","305.1",NA
"Dit programma is bedoeld om u kennis te laten maken met de planeetbrede visie van de Partij voor de Dieren.","305.1",NA
"Een visie die gebaseerd is op onze vier beginselen;","305.1",NA
"mededogen, duurzaamheid, persoonlijke vrijheid en persoonlijke verantwoordelijkheid.","305.1",NA
"Ons plan B is niet duur in termen van geld, maar vereist wél de moed van voldoende dappere burgers om het tij te keren.","305.1",NA
"Ook op 15 maart 2017.","305.1",NA
"Uw stem zullen we hiervoor inzetten:","305.1",NA
"1. Economie en werk","H",NA
"Je geld of je leven?","H",NA
"De economische crisis is niet ontstaan door schaarste aan producten en diensten, maar door ingesleten fouten in het economisch systeem.","416.1",NA
"We leven in een tijd waarin we met steeds minder menskracht alles kunnen produceren en organiseren wat we nodig hebben.","416.1",NA
"Dit biedt in potentie een geweldige kans om meer tijd in andere dingen te steken, zoals zorg voor elkaar en voor de natuur, persoonlijke ontwikkeling, innovatie, sport, kunst, et cetera.","416.1",NA
"De wijze waarop we de economie nu hebben georganiseerd, zit deze kansen echter in de weg:","416.1",NA
"mensen moeten steeds harder en langer werken, in plaats van minder.","416.1",NA
"Of kunnen helemaal niet werken, wanneer de economie hen heeft afgeschreven, wat op steeds jongere leeftijd het geval lijkt te zijn.","416.1",NA
"Productie en consumptie moeten maar blijven groeien, los van de vraag of mensen daar behoefte aan hebben.","416.1",NA
"Arbeid blijft duur door hoge belastingen, terwijl er een overvloed aan is.","416.1",NA
"Grondstoffen daarentegen zijn spotgoedkoop, terwijl ze schaars en in veel gevallen eindig zijn.","416.1",NA
"Het huidige economische systeem veroorzaakt een groei- en schuldverslaving met alle gevolgen voor de leefbaarheid van de aarde van dien en loopt daarin volkomen vast.","416.1",NA
"Het Internationaal Monetair Fonds (IMF) heeft berekend dat de schulden van particulieren, bedrijven en overheden zijn opgelopen tot het duizelingwekkende bedrag van 135.000.000.000.000 (135 biljoen) euro.","416.1",NA
"Een onverantwoord voorschot op een onzekere toekomst.","416.2",NA
"We zullen het dus anders moeten gaan organiseren.","416.2",NA
"En dat kan ook!","416.2",NA
"Door te werken aan een duurzame, reële economie creëren we groene en echte banen.","416.2",NA
"Welvaart anders meten.","H",NA
"De overheid stuurt op dit moment teveel op het verhogen van inkomsten in Nederland:","416.1",NA
"het bruto binnenlands product (bbp).","416.1",NA
"Maar een groeiend bbp betekent niet per definitie dat het goed gaat met de samenleving of dat burgers gelukkig zijn.","416.1",NA
"Vrijwilligerswerk en mantelzorg tellen bij de berekening van het bbp niet mee als een positieve bijdrage aan onze welvaart.","416.1",NA
"Activiteiten die het milieu, de volksgezondheid of het dierenwelzijn schaden, zoals de vee-industrie, kolencentrales en gaswinning, echter wel.","416.1",NA
"Dat is niet logisch.","416.1",NA
"De Partij voor de Dieren wil betere instrumenten om de koers van de economie te bepalen.","416.1",NA
"Voor het bepalen en sturen van beleid gaat de overheid de reeds ontwikkelde Monitor Brede Welvaart gebruiken.","416.1",NA
"Daarbij kunnen ook andere instrumenten ingezet worden die een beeld geven van het welbevinden van mens en dier, van een schone leefomgeving, biodiversiteit, innovatiekracht, gemeenschapszin, aanwezigheid van zorg, et cetera.","416.1",NA
"Zo worden de positieve en negatieve effecten van overheidsmaatregelen en economische activiteiten op de samenleving duidelijk in kaart gebracht en kunnen we de juiste koers bepalen richting een duurzame en solidaire economie.","416.1",NA
"Sluitende begrotingen.","H",NA
"De overheid richt zich al jaren op het verkleinen van het financiële begrotingstekort.","416.1",NA
"Daarbij vergeet ze de grondstoffentekorten die we veroorzaken met onze manier van leven.","416.1",NA
"We gebruiken elk jaar veel meer grondstoffen dan de aarde kan bieden.","416.1",NA
"Het tekort aan zoet water, hout en andere ‘diensten’ die de aarde jaarlijks kan leveren, neemt elk jaar toe.","416.1",NA
