"text","cmp_code","eu_code"
"Nederland is een prachtig land.","601",NA
"Maar het staat onder druk.","601",NA
"Om tal van redenen.","601",NA
"De politieke elite in Nederland negeert stelselmatig de belangen en problemen van de burger.","305",NA
"Het is nog steeds niet veilig op straat door onvoldoende politie en te lage straffen.","605",NA
"Het aantal vreemdelingen dat jaarlijksnaar ons land komt is nog steeds excessief hoog.","608",NA
"De demografische ontwikkelingen zijn ronduit zorgelijk: demeerderheid van de jongeren in de grote steden is nu al van niet-westerse afkomst.","608",NA
"De overheid is veel te groot en heft te veel belastingen zowel op landelijk als gemeentelijk niveau zodat burgers iedere maand opnieuw te weinig van huneigen verdiende geld overhouden.","201",NA
"En kwetsbare mensen zoals ouderen in verpleeg- en verzorgingshuizen leiden tevaak een mensonwaardig bestaan.","706",NA
"Ondertussen wordt een politieke partij voor pedofielen opgericht","603",NA
"en wordendierenmishandelaars ongestraft of met hooguit een boete naar huis gestuurd.","501",NA
"Dat kan en moet allemaal zoveel beter.","305",NA
"Het fatsoen moet terug in onze samenleving.","603",NA
"Daarom zijn er dringend veranderingen nodig.","305",NA
"Nederland moet weer een sterk en vitaal land worden.","410",NA
"Een land met eenkleinere en minder betuttelende overheid","401",NA
"en een duurzaam sterkere economie.","410",NA
"Een land, waarin naast een kleinedoelmatige overheid en het verantwoordelijke individu, ook het maatschappelijke middenveld (maatschappelijkeorganisaties, verenigingsleven, gezin, kerk, etc.) de rol krijgt die het verdient.","606",NA
"Een land dat trots is op zijn eigen identiteit,","601",NA
"die identiteit ook durft te benoemen","601",NA
"en voor het behoud daarvan durft op te komen,","601",NA
"ook binnen het steeds verderuitdijende Europa.","601",NA
"Een land dat meer investeert in betere veiligheid voor zijn inwoners,","605",NA
"beter onderwijs voor zijn kinderenen","506",NA
"menswaardigere zorg voor zijn ouderen.","706",NA
"Een land dat crimineel gedrag op straat en islamitisch terrorisme keihardaanpakt en bestraft.","605",NA
"Een land met een bestuur dat problemen van de burgers oplost.","305",NA
"Een land met politici die meer naar die burgers luisteren en minder met zichzelf bezig zijn.","202",NA
"Kortom: een beter en sterker Nederland!","601",NA
"De Groep Wilders / Partij voor de Vrijheid heeft de afgelopen anderhalf jaar een groot aantal voorstellen gedaan om tot zo'n beter en sterker Nederland te komen.","305",NA
"In de Onafhankelijkheidsverklaring, het Plan voor een Nieuwe Gouden Eeuwen in Klare Wijn zijn al veel concrete voorstellen te vinden.","305",NA
"In Nieuw Realisme hebben wij onze ideologische kadersgeschetst.","305",NA
"In dit verkiezingspamflet geven wij - kort en krachtig - onze belangrijkste voorstellen weer.","305",NA
"Vernieuwende engedurfde voorstellen die leiden tot een beter en sterker Nederland.","305",NA
"Een Nederland om weer trots op te zijn!","601",NA
"16 miljard belastingverlaging voor burgers en ondernemers (fors lagere tarieven inkomstenbelasting en dus hogerekoopkracht voor iedereen, te financieren uit bezuinigingen op ambtenaren, Europa, subsidies, ontwikkelingshulp)","401",NA
"Miljard extra voor AOW'ers","706",NA
"Extra geld voor meer agenten op straat,","605",NA
"meer docenten voor de klas","506",NA
"en meer verplegend personeel in het verpleeghuis door:","504",NA
"wegsnijden bureaucratie en overhead, en:","303",NA
"benutting van een deel mogelijk begrotingsoverschot aan deze drie sectoren","504",NA
"Lagere benzineprijzen door terugdraaien ‘kwartje van Kok’","401",NA
"Onverkort handhaven hypotheekrenteaftrek","401",NA
"Minder ministeries, minder ambtenaren","303",NA
"Geen stijging gemeentelijke lasten","401",NA
"Hogere straffen voor crimineel gedrag en invoering minimumstraffen voor misdrijven en overtredingen","605",NA
"Na drie zware geweldsmisdrijven levenslange gevangenisstraf","605",NA
"Afschaffen van de korting op de maximumstraf in geval van poging tot misdrijf","605",NA
"Wettelijke verplichting OM tot voordeelsontneming daders bij misdrijven","605",NA
"Minder taakstraffen","605",NA
"Afschaffen verjaring geweldsen zedenmisdrijven","605",NA
"Geen kwijtschelding deel gevangenisstraf bij goed gedrag","605",NA
"Introductie heropvoedingskampen","605",NA
"Preventief fouilleren in het hele land","605",NA
"Herinvoering jeugd en zedenpolitie","605",NA
"Wettelijk verbod op pedofielenpartij","603",NA
"Professionelere hulp voor slachtoffers","705",NA
"Einde gedoogbeleid: sluiten coffeeshops, krachtige aanpak thuisteelt en drugsoverlast, geen vrije heroïneverstrekking","605",NA
"Denaturalisatie en uitzetting recidiverende (Marokkaanse) straatterroristen met dubbele nationaliteit","605",NA
"Introductie van administratieve detentie bij terrorisme","605",NA
"10 jaar geen recht op uitkering bij uitkeringsfraude","605",NA
"Niet-Nederlanders die een misdrijf plegen worden direct uit Nederland verwijderd","605",NA
"Agressie tegen politiefunctionarissen en andere hulpverleners: 1/3 hogere minimumstraf en 1/3 hogere maximumstraf","605",NA
"Kraakverbod","605",NA
"Reorganisatie politie: terug van 26 naar 4 politieregio's, plus KLPD","605",NA
"Meer aandacht voor onderwijs, gezin en opvoeding kinderen:","603",NA
"veilige scholen,","605",NA
"kwaliteitsverbetering lerarenopleiding,","506",NA
"normen en waarden terug in gezin en onderwijs,","603",NA
"ouders meer verantwoordelijk voor crimineel gedrag van hun minderjarige kinderen (waar van toepassing ook als het gaat om hun eigen verblijfsstatus)","605",NA
"Geschiedenis en nationale identiteit prominent in het curriculum van alle scholen","601",NA
"Menselijke maat terug in onderwijs: kleinere scholen, primaat bij docenten en ouders","506",NA
"Afschaffen tweede fase/studiehuis en VMBO, herinvoering ambachts en tuchtscholen","603",NA
"Sociale dienstverlening/maatschappelijke stage verplicht onderdeel schoolcurriculum voortgezet onderwijs (3maanden: ouderenbezoek etc.)","606",NA
