"text","cmp_code"
"Beste vrienden van de vrijheid, Het is een Chinese verwensing: moge U leven in interessante tijden.","305"
"Anno 2012 leven wij in interessante tijden.","305"
"Veel van de uitdagingen van Nederland zijn enorm: ons verlies aan soevereiniteit, de constante groei van de islam, de slechte economische situatie, de uitholling van de zorg en verzorging van onze ouderen, de bizarre keuzes van Kunduz.","305"
"Maar de crisis van Nederland gaat veel verder dan de rollator die onze senioren nu zelf moeten betalen.","706"
"Onze ‘interessante tijden’ hebben vooral betrekking op de totale afwezigheid van enig kompas.","305"
"Zijn wij nog wel een land dat zichzelf wil besturen?","601"
"Vormen wij nog een volk dat baas is over zijn eigen grondgebied?","109"
"Vinden we dat we eerst onze eigen zieken en ouderen moeten verzorgen en daarna de rest van de wereld?","109"
"Wat is ons verhaal?","305"
"In dit verkiezingsprogramma presenteren wij onze keuzes voor Nederland 2017.","305"
"Zoals altijd zijn we pragmatisch en patriottisch.","305"
"Andere partijen kiezen voor islam of EUnationalisme;","110"
"wij kiezen voor Nederland.","601"
"De keuze is duidelijk, en terug te zien in de titels van de hoofdstukken die volgen: hun Brussel versus onze economie, onze verzorgingsstaat, onze vrijheid, onze veiligheid, ons immigratiebeleid, onze zorg, onze kwaliteit van leven, ons buitenland, onze omgeving en onze financiën.","305"
"Wij binden de strijd aan met het EU-nationalisme.","110"
"In 2010 schreven we in ons verkiezingsprogramma: ‘tot de verkiezingen negen man sterk, daarna hopelijk met meer’.","305"
"Die wens kwam uit: anderhalf miljoen landgenoten stemden Partij voor de Vrijheid.","305"
"Een verpletterende zege.","305"
"We werden de derde partij van Nederland, met 24 zetels.","305"
"Wij zijn Nederlanders en dus geloven we dat morgen beter is dan vandaag.","601"
"Bang zijn is voor anderen.","601"
"Daarom sluit ik hier af met: na deze verkiezingen hopelijk met meer dan 24 zetels.","305"
"Laten we samen het onmogelijke waarmaken.","305"
"Wij zijn er klaar voor.","305"
"We hebben er zin in.","305"
"Uit het moeras!","305"
"Uit de EU!","110"
"Uit de euro!","110"
"Het moet maar eens afgelopen zijn.","110"
"De afgelopen decennia zijn wij getuige van de langzame erosie van onze vrijheid en onafhankelijkheid.","110"
"Een trots volk zwemt een fuik binnen die steeds knellender wordt.","601"
"We zijn erin gelokt door progressieve elites die ons welvaart beloofden en ons bang maakten voor het alternatief: economische ondergang en oorlog.","305"
"Wie zich verzet kan rekenen op de grijsgedraaide langspeelplaat van linkse journalisten en linkse politici: die is xenofoob, populist, of wil zich verschuilen achter de dijken.","305"
"Liefst alledrie.","305"
"Maar het eurosceptische geluid is sterk verankerd in ons volk.","305"
"Minister-president Willem Drees voelde dat goed aan.","305"
"Niets zag hij in de uitverkoop van onze macht.","305"
"Hij wilde het verkeer van personen, en dus immigratie, in eigen hand houden.","305"
"Drees was een echte euroscepticus.","305"
"Hij zorgde ervoor dat ons land een zelfbewuste dwarsligger was in de onderhandelingen met de andere landen van het Europees experiment.","305"
"Was hij ook xenofoob, populist, van achter de dijken?","305"
"Natuurlijk niet.","305"
"Hij was een patriot, die vertrouwde op de kracht van Nederlanders.","305"
"Die geloofde in de energie van ons volk.","305"
"Waarom zou hij onze onafhankelijkheid verkwanselen die we net met zoveel bloed en tranen hadden herwonnen?","305"
"Maar de visie van Drees werd verlaten voor roekeloos weg-met-ons-idealisme.","305"
"Dus wilde men de hele derde wereld naar ons land halen.","305"
"Dus werd onze macht uitgeleverd aan Brussel en dus exporteerde men onze welvaart naar Griekenland, Bulgarije en Roemenië.","110"
"Anders krijgen we oorlog – liegen de elites.","110"
"Zo maar een paar vraagjes: als we zonder de EU straatarm zouden wezen, waarom zijn nietEU-landen als Noorwegen, Zwitserland en Israël dan zo rijk?","110"
"En waarom schenkt Nederland elk jaar 7 miljard aan Brussel,","110"
"terwijl onze ouderen pyjamadagen hebben en zij hun eigen rollator moeten financieren?","706"
"Hebben zij Nederland na de oorlog opgebouwd of die Griekse jokkebrokken?","706"
"Wij Nederlanders zijn een handelsvolk.","107"
"Geen land was eeuwenlang zo internationaal georiënteerd als het onze.","107"
"Onze vlag wappert al eeuwen op alle continenten en alle wereldzeeën.","107"
"Daarom is economische samenwerking altijd in ons belang.","107"
"De Europese Economische Gemeenschap, de EEG, was dan ook een uitstekend idee.","108"
"Landen met een vergelijkbare cultuur die economisch samenwerken is prima.","108"
