"text","cmp_code","eu_code"
"God regeert!| Hij heeft het eerste en het laatste Woord.","603",NA
"Bij Hem is alles in goede handen.","603",NA
"De belijdenis dat God regeert, doet bovendien beseffen dat de uitkomst van al ons werken en doen afhankelijk is van Zijn zegen.","603",NA
"Dat is een ware verademing, omdat het mensen behoedt voor overmoed en overspanning.","603",NA
"Deze uitgesproken christelijke proclamatie en de daarmee verbonden geesteshouding, tekenen de inzet van de SGP.","603",NA
"Het gaat om Gods eer","603",NA
"en om het echte welzijn van alle mensen.","603",NA
"Uiteraard is dit hoge doel een koersbepalende inzet voor dit politieke verkiezingsprogramma.","603",NA
"Maar het is niet minder een belangrijke kwestie voor de mentaliteit van ons allemaal, want wetten zijn nodig, maar wetten alleen werken niet.","603",NA
"Regels zijn ook niet het belangrijkste.","603",NA
"Het komt uiteindelijk aan op de gezindheid en de waarden die de gedachten en het gedrag van mensen bepalen.","603",NA
"Wie de daad bij het Woord voegt, hoeft daarom niet op een overspannen en krampachtige manier te werk te gaan alsof alles afhangt van onze politieke actie.","603",NA
"Nodig is allereerst dat wij mensen aandachtig luisteren naar het Woord van God en er gehoor aan geven door de werking van Gods Geest.","603",NA
"Die oproep geldt voor iedereen.","603",NA
"Het welvaren van en de vrede in onze samenleving is daar het meest mee gediend.","603",NA
"Wie de boodschap van de Bijbel, het Woord van de heilige God, naast zich neerlegt, overschat zichzelf en gaat daarmee in tegen God, zijn Schepper.","603",NA
"Daar komen ongelukken van.","603",NA
"Die overmoed is oud en zit diep in ieder van ons.","603",NA
"Die wortelt in het geloof in de kracht van mensen die zélf denken te kunnen uitmaken wat goed en kwaad is.","603",NA
"Dit zogenaamd rationele geloof in de ‘goede mens’ leidde alle eeuwen door tot overspannen verwachtingen, gevolgd door diepe teleurstelling en ontgoocheling.","603",NA
"De geschiedenis van de mensheid bewijst dat alle torens van Babel vroeg of laat weer instorten.","603",NA
"Alle probeersels om in het hier en nu een aardse heilsstaat op te richten liepen op grote mislukkingen uit.","603",NA
"Het maakte daarbij weinig verschil of het nastreven van die heilsstaat was gebaseerd op een religie of, zoals in de 20e eeuw, op een ideologie, een –isme.","603",NA
"Wie belijdt dat God regeert en dat Hij toewerkt naar Zijn Koninkrijk, ziet in dat de geschiedenis geen toevallige samenloop van omstandigheden is.","603",NA
"Mensen, volken, hebben een hoogsteigen geschiedenis.","603",NA
"Wie dat feit eigenwijs negeert en net doet alsof het verleden ons niets te zeggen heeft, maakt zich al evenzeer schuldig aan overmoed.","603",NA
"Die vertilt zich vroeg of laat aan de weerbarstige werkelijkheid.","603",NA
"Die miskent bovendien de waarde van wat historisch is gegroeid en zo onze identiteit vormde tot wat die nu is.","603",NA
"Nederland is eerst en vooral gestempeld door het christendom, vanaf haar ontstaan en zelfstandigheid meer in het bijzonder door het gedachtegoed van het calvinisme.","603",NA
"Al is daar best het nodige op af te dingen, je ziet het tóch.","603",NA
"Aan onze architectuur, op onze schilderijen, in onze literatuur.","603",NA
"Zelfs in ons staatsbestel, waarin de verschillende ‘machten’ elkaar in toom houden om zo te voorkomen dat één staatsorgaan ontspoort, is dat merkbaar.","203",NA
"Een heilzaam principe, al was het maar omdat daaraan de wetenschap ten grondslag ligt dat mensen, en ook menselijke machten, de even onbedwingbare als gevaarlijke neiging hebben zichzelf ‘uitnemender’ te achten dan de ander, met alle gevaren voor machtsmisbruik van dien.","203",NA
"Deze rem op machtsmisbruik is verankerd in onze rechtsstaat, het samenstel van wetten en regels waarin ieders rechten en plichten zijn uitgebalanceerd -","203",NA
"óók de rechten en plichten van minderheden.","201",NA
"In het verlengde daarvan ligt de centrale notie dat de staat slechts beperkte mogelijkheden en bevoegdheden heeft.","203",NA
"Beperkte mogelijkheden: een volk laat zich niet, of maar in beperkte mate, dwingen door wetten en regels.","201",NA
"Zoals gezegd: waar het vooral op aankomt, is een andere gezindheid, een andere geest die door Nederland gaat waaien.","201",NA
"Wil er écht iets (kunnen) veranderen, dan hebben we niet minder nodig dan een Réveil, waardoor ons volk weer veerkracht en vitaliteit verkrijgt.","201",NA
"Zo niet, dan blijft het behelpen en doormodderen.","201",NA
"Beperkte bevoegdheden: de regering moet zich alleen bemoeien met wat noodzakelijk is om het maatschappelijke en economische leven in goede banen te leiden.","201",NA
"Wordt de overheid met te veel taken opgetuigd, dan komt dat haar aanzien en functioneren niet ten goede.","305",NA
"Kerntaken van de overheid zijn het bevorderen van vrede en veiligheid","104",NA
"en het garant staan voor goed werkende basisvoorzieningen, inclusief een sociaal vangnet voor hen die zichzelf echt niet kunnen helpen.","503",NA
"Veel taken moeten en kunnen gerust worden overgelaten aan burgers zelf, aan organisaties, kerken en andere instellingen die op hun ‘eigen’ gebieden kennis en ervaring in huis hebben.","201",NA
"De SGP staat in de rijke, voluit christelijke traditie en wil in die traditie blijven staan.","603",NA
"Ook anno Domini 2010.","603",NA
"Als de SGP ergens voor staat en voor gaat, is het wel dáár voor.","603",NA
"En wel om twee redenen.","603",NA
"Reden één is dat die traditie z’n waarde in het verleden overtuigend heeft bewezen.","603",NA
"Waarom zouden we niet putten uit de gerijpte ervaring en door vorige generaties opgedane wijsheid uit het verleden?","603",NA
"De vraag stellen, is haar beantwoorden.","603",NA
"Het is bepaald geen toeval dat vrijheid en welvaart, basisbehoeften van ieder mens, vooral te vinden zijn in die delen van de wereld waar het zaad van het christelijk geloof volop tot bloei kwam.","603",NA
"Reden twee - niet minder belangrijk - is dat het christelijk geloof ook nú nog veel goeds te bieden heeft.","603",NA
"Iedereen dient God te dienen en Zijn geboden te onderhouden.","603",NA
"Daar is zegen op te verwachten.","603",NA
"Gods geboden onderhouden om het eigen persoonlijke leven in te richten, dat gaat voorop.","603",NA
"Maar evenzeer om de gemeenschappelijke ruimte vorm te geven.","603",NA
"Zonder dat ‘morele fundament’ is het niet mogelijk om blijvend weerstand te bieden aan krachten en machten die onze democratische rechtsstaat bedreigen, van binnenuit en van buitenaf.","603",NA
"Op dit moment zijn er twee fronten.","603",NA
"Het christelijk-historische denken botst allereerst op het denken van doctrinaire seculieren, die de klassieke opvatting over de verhouding van kerk en staat vervormen tot een scheiding van geloof en samenleving.","603",NA
"Alsof deze opstelling neutraal is.","603",NA
"Neutraliteit bestaat niet.","603",NA
"Niemand heeft een neutrale levensbeschouwing, iedereen heeft een bepaalde visie op mens en samenleving.","603",NA
"De zogenaamde keuzes op basis van een neutrale levensbeschouwing zijn keuzes op basis van een seculier geloof.","603",NA
"Daarom kun je je niet in de publieke ruimte begeven zonder je geloof, levensovertuiging en de daarop gebaseerde opvattingen mee te nemen.","603",NA
"Bovendien: als ergens is gebleken dat het christendom ook in het openbare leven voor de inrichting van de samenleving een geweldige, positieve kracht ten goede kan zijn, is het wel in Europa en Amerika.","603",NA
"Achtergrond van deze onhistorische opvatting over de verhouding van kerk en staat is niet zelden de - terechte - vrees voor de islam.","608",NA
"Uit angst voor de islam, moet het christendom het dan evenzeer ontgelden.","608",NA
"De redenering die daaraan ten grondslag ligt, is die van een radicaal en blind gelijkheidsdenken: alle godsdiensten zijn gelijk, discrimineren mag niet, dus wie moeite heeft met (uitingen van) de islam, moet ook moeite hebben met (uitingen van) het christendom.","608",NA
"Er is echter een groot verschil tussen het christendom en de islam.","608",NA
"Een hemelsbreed verschil.","608",NA
"Waar dat kan, mag daar ook best uitdrukking aan worden gegeven.","608",NA
"Op het tweede front botsen de waarden van het christelijk geloof op de leer en afschuwwekkende praktijken van de radicale islam.","608",NA
"Zeker wereldwijd gaat van een opkomend, militant islamisme een grote bedreiging uit.","608",NA
"‘Elf september’ heeft velen de ogen geopend.","608",NA
"Was het gevaar van de islam eerst vooral gelokaliseerd in het Midden-Oosten, met name rond Israël, nu ligt heel de wereld in de gevarenzone, zoals uit terroristische aanslagen blijkt.","608",NA
"In (veel) islamitische staten is geen democratie en hebben minderheden geen leven, soms letterlijk!","608",NA
"Tegen die achtergrond, en ook omdat de islam wezensvreemd is aan Nederland, de Westerse cultuur en niet zelden vijandig staat tegenover christenen en joden, gaat een toenemende zichtbaarheid van de islam in de publieke ruimte in Nederland ons aan het hart.","608",NA
"Dat heeft niets met onderbuikgevoelens te maken, maar alles met hartzeer over de teloorgang van het christelijk karakter van Nederland als natie.","603",NA
"Tegen de achtergrond van deze ‘strijd der geesten’ en gelet op de politieke en maatschappelijke actualiteit, moet er eerst en vooral gewerkt worden aan het, waar mogelijk, versterken van de fundamenten van de samenleving.","603",NA
"Dat begint al direct met de opwaardering van het klassieke huwelijk en het traditionele, oftewel natuurlijke gezin: man, vrouw, en als het huwelijk tussen die twee bekroond wordt met de kinderzegen, kinderen.","603",NA
"Functioneert een huwelijk goed, dan varen alle betrokkenen er wel bij en wordt er een stevig fundament gelegd waarop verder gebouwd kan worden.","603",NA
"Daar profiteert de hele samenleving van.","603",NA
"Maar óók het omgekeerde geldt: waar huwelijken en gezinnen kapot gaan, lijden niet alleen de naast betrokkenen, maar lijdt ook de omgeving daaronder.","603",NA
"Een goed gezin is het halve werk.","603",NA
"Vrouwen, kinderen en mannen hebben baat bij een thuishaven waarin tijd is voor elkaar en ruimte wordt gecreëerd om de eigen talenten te ontplooien.","603",NA
"Dat is niet alleen een Bijbelse waarheid, dat kan iedereen die om zich heen kijkt met eigen ogen zien.","603",NA
"Daarentegen is het funest wanneer gezinnen onder druk staan, omdat man en vrouw beiden iedere dag keihard moeten werken om het hoofd boven water te houden.","603",NA
"Ongezond voor hen zelf, slecht voor de kinderen.","603",NA
"De toename van de problemen in de jeugdzorg is geen toeval.","603",NA
"Daarom spant de overheid het paard achter de wagen als zij tweeverdieners beloont en eenverdieners benadeelt.","603",NA
"Het belang van een goede opvoeding en opleiding van kinderen kan niet genoeg onderstreept worden.","506",NA
"Dat begint uiteraard al thuis, door vaders en moeders.","603",NA
"Dat loopt daarna nog lang door: op scholen en andere onderwijsinstellingen.","506",NA
"Daarom is het bittere noodzaak dat de regering zorg draagt voor voldoende en goed onderwijs.","506",NA
"Daarbij moet bedacht worden dat scholen geen bedrijven zijn die je eenvoudig kunt afrekenen op opbrengsten.","506",NA
"Het gaat in het onderwijs niet alleen om het overdragen van kennis, maar óók om cultuur, en hoe je met elkaar omgaat!","603",NA
"De SGP houdt haar ideaal van een school met de Bijbel staande.","603",NA
"Onderwijs bij het licht van een opengeslagen Bijbel is van grote betekenis.","603",NA
"Omdat de overheid dat ideaal niet deelt met de SGP, kiest de SGP voor een bijzondere school met de bijbel.","603",NA
"Een voluit christelijke partij is dat aan haar stand verplicht.","603",NA
"De vrijheid van onderwijs moet in ieder gevál gerespecteerd worden.","201",NA
"De eigen identiteit van de school moet voluit serieus worden genomen.","201",NA
"Een rustpunt in de hectiek van iedere dag is de zondag.","603",NA
"Dit geschenk van de Schepper is een weldaad om even op adem te komen en onze aandacht naar een hoger plan te trekken.","603",NA
"De zondagse dienst aan God is het mooiste begin van de week.","603",NA
"Stil staan bij het feit dat de mens niet leeft bij brood alleen geeft ontspanning en rust, voor lichaam en ziel.","603",NA
"Een regering die het goede voor heeft met Nederland, zal de zondag dan ook in ere houden en zich ervoor inspannen om mensen die dag te verschonen van onnodig werk.","603",NA
"Het is pure armoe als mensen zó opgejaagd worden dat ze zelfs de zondag nog nodig hebben om te doen waar ze de rest van de week niet aan toekomen.","603",NA
"Eerbied voor het leven begint met het besef dat het leven niet iets is wat je in eígen hand hebt.","603",NA
"Leven uit de hand van God de Schepper, dát geeft perspectief.","603",NA
"Dat uitzicht is nodig in onze ik-cultuur.","603",NA
"Zonder eerbied voor de heiligheid van het leven raakt iedere samen-leving onherroepelijk ontwricht, niet het minst in geestelijke zin.","603",NA
"Het schept ook een klimaat waarin mensen ongewenst zijn als ze niet (meer) passen in het ideaalbeeld of zich overbodig gaan voelen als hun economische waarde naar het oordeel van andere mensen te laag is.","603",NA
"Het doden van duizenden ongeboren kinderen past in zo’n klimaat, evenals ‘dood op bestelling’.","603",NA
"Dat leidt, hoe je ’t ook wendt of keert, tot ‘levensontwaarding’.","603",NA
"Niet alleen het menselijk leven lijdt.","416",NA
"Ook de schepping, en onze medeschepselen zuchten onder de menselijke hebzucht.","416",NA
"De hoge opdracht is om de aarde te bouwen én die te bewaren en dat te doen als rentmeesters die gevoel hebben voor hoe het was en oog hebben voor wat er komt.","416",NA
"Dat is een heilige plicht tegenover God, Die ons deze taak en zorg voor het werk van Zijn handen toevertrouwt.","603",NA
"Ook tegenover onze kinderen en kleinkinderen, die, als ze tijd van leven krijgen, een erfdeel moeten krijgen waar ze verder mee kunnen.","416",NA
"Verstandig beheer van de aarde mag daarom geen kwestie zijn van modieus groen of van zorg over een warmer wordende aarde, maar dient voort te vloeien uit eerbied voor Gods goede creatie.","416",NA
"Dat vergt enerzijds duurzaam beleid van de overheid, maar anderzijds ook een beleid dat niet onrealistisch is.","416",NA
"In het laatste geval gaat het immers slechts ten koste van de concurrentiepositie van industrie en landbouw en wordt het symboolpolitiek.","416",NA
"De SGP staat voor een realistisch duurzaam beheer.","416",NA
"De overheid wordt in de Bijbel ‘dienares van God’ genoemd.","603",NA
"Dat houdt onder meer in dat de overheid wetten dient uit te vaardigen en erop toeziet dat die worden nageleefd.","605",NA
"Het beschermen van de burgers is eerste vereiste en pure noodzaak.","605",NA
"Dat is bij uitstek de taak van de overheid.","605",NA
"Helaas schort het daaraan.","605",NA
"Ideologische verblinding en stelselmatige verwaarlozing van de benodigde slagkracht van politie en justitie heeft bij veel Nederlanders geleid tot het gevoel dat de sterksten en brutaalsten de halve wereld hebben.","605",NA
"Om dat gevoel weg te nemen moet doortastend en consequent worden opgetreden.","605",NA
"Over de hele linie: van ‘klein’ vandalisme tot grof geweld, van draaideurcriminelen tot terroristen.","605",NA
"De overheid is ook een ‘schild voor de zwakken’.","503",NA
"Zij staat er garant voor dat er zorg is voor mensen in nood.","503",NA
"Kerken en (christelijke) maatschappelijke organisaties hebben als het gaat om het omzien naar mensen die hulp behoeven, in het verleden hun sporen meer dan verdiend.","201",NA
"Dat deze rol gaandeweg is overgenomen door vadertje Staat is onmiskenbaar en begrijpelijk.","201",NA
"Dat zal en moet ook zeker zo blijven, maar een herwaardering van wat kerken en particuliere organisaties op dit terrein (kunnen) doen, is meer dan gewenst.","201",NA
"Zij, en ook heel veel vrijwilligers, zijn het cement van de samenleving.","201",NA
"Bijzondere zorg en aandacht moet er zijn voor (langdurig) zieken, gehandicapten en ouderen.","503",NA
"Hier geldt wel heel in het bijzonder dat de overheid een ‘schild voor de zwakken’ dient te zijn.","503",NA
"Het gezond maken en houden van de overheidsfinanciën is de komende tijd van groot belang.","414",NA
"De enorme tekorten die nu gedekt moeten worden, zijn veroorzaakt door het structureel op te grote voet leven.","414",NA
"Een efficiëntere overheid en beperking tot de kerntaken zijn een goede eerste stap.","303",NA
"Dat bespaart niet alleen geld, maar zorgt er ook voor dat er meer vrijheid is om de eigen verantwoordelijkheid van mensen in te vullen.","201",NA
"Minder bemoeizucht leidt bovendien tot minder bestuurlijke drukte voor de overheid","303",NA
"en minder regeltjes voor gezinnen en bedrijven.","201",NA
"Aan de andere kant kan extra ruimte om te investeren in echte kerntaken, zoals onderwijs, zorg, innovatie, veiligheid, mobiliteit en duurzaamheid, als een vliegwiel werken om inkomsten en uitgaven van de overheid weer in een gezond evenwicht te brengen.","414",NA
"Nederland is al vanaf de onafhankelijkheid altijd betrokken geweest op de buitenwereld.","107",NA
"Een handeldrijvende natie heeft oog voor wat er in de landen en volken om ons heen en verder weg gebeurt.","107",NA
"Die open houding deed echter geenszins afbreuk aan onze ‘eigen’ identiteit - hoe je die identiteit ook invult of verklaart.","109",NA
"Het is goed dit in gedachten te houden nu de oplossing van sommige vraagstukken alleen mogelijk is door met andere landen samen werken.","109",NA
"Samenwerken, dat is wat de SGP voor ogen staat, niet samensmelten.","110",NA
"Met name geldt dat voor de Europese Unie (EU).","110",NA
"Gelukkig is de laatste jaren het inzicht gegroeid dat het federale, naïeve eenheidsdenken geen recht doet aan de eigen ontwikkelingsgang en cultuur van de verscheidene Europese lidstaten.","110",NA
"Gevoegd bij de terechte afkeer van nog veel meer ‘Brusselse’ bemoeienis en lasten, is dat voldoende reden om Europa binnen de perken te houden.","110",NA
"Een land als Turkije moet alleen al daarom buiten de deur worden gehouden, nog los van het feit dat dit land geografisch, religieus en cultureel niet eens Europees is.","110",NA
"Op de lijst met landen waar geloofsvervolgingen het ergst zijn, komt na het ‘rode’ Noord-Korea een hele reeks van islamitische staten.","608",NA
"In veel staten (Indonesië, delen van Afrika en natuurlijk in het Midden-Oosten) is het de heersende godsdienst.","608",NA
"Er is verschil tussen gematigden en radicalen, zeker, maar dat er in veel islamitische landen geen of nauwelijks plaats is voor (christelijke) minderheidsgroepen, zegt genoeg.","608",NA
"Wie dit miskent, sluit de ogen voor een werkelijkheid die weliswaar pijnlijk is, maar daarom niet minder waar.","608",NA
"Juist Nederland zou er een eer in moeten stellen om (het voor) deze vervolgden om hun geloof op te nemen - als het kan samen met andere landen, maar als het moet alleen.","107",NA
"Hiermee handelen we helemaal in lijn met een van de beste tradities van Nederland, lange tijd een toevluchtsoord voor mensen die ter wille van hun geloof werden vervolgd.","601",NA
"Als er één volk is dat kan meepraten over vervolging en onderdrukking, is het wel het Joodse volk.","107",NA
"Na een eeuwenlange diaspora, kreeg het in 1948 weer een eigen staat met Jeruzalem als stad die symbool staat voor de terugkeer in het eigen huis.","107",NA
"Israël is het enige fatsoenlijk democratisch geregeerde land in het Midden-Oosten.","107",NA
"Uitgerekend dit land wordt van alle kanten bedreigd, of het nu is door een terreurstaat als Iran of door de gewelddadige Palestijnse ‘buren’ van Hamas.","107",NA
"Tegenover de afbrokkelende steun van andere landen zou Nederland de verbondenheid met het Joodse volk juist moeten versterken.","107",NA
"De SGP beseft dat er, zeker gelet op de morele staat van Nederland, nog een lange weg te gaan is.","603",NA
"De gouden regel om God lief te hebben boven alles en de naaste als onszelf, is voor iedere Nederlander een richtinggevend houvast.","603",NA
"Maar voordat het zó ver is dat velen dit inzien, moet er nog veel gebeuren.","603",NA
"Zoals gezegd: dat is niet alleen en niet allereerst een taak van de overheid, de opwekking daartoe is een zaak en taak van de kerk en van christenen zelf, ieder op zijn of haar eigen plaats.","201",NA
"Maar dat appèl moet niet alleen klinken in de richting van mensen die we ontmoeten, die oproep moet evenzeer klinken richting overheid.","603",NA
"Zij is het aan haar hoge roeping en belangrijke opdracht verplicht om God de eer te geven die Hem toekomt en voor mensen het goede te zoeken.","603",NA
"Voor nu, en voor later…","603",NA
"De werkelijkheid is weerbarstig, het is waar.","602",NA
"Maar idealen zijn er niet om op te geven, maar om je aan op te trekken.","603",NA
"Hoe verder die idealen van de werkelijkheid af liggen, des te meer wordt er van ons gevraagd.","603",NA
"Dat kan ontmoedigen, maar dat hoeft niet.","603",NA
"De beslissende motivatie om ons werk te doen en daarmee door te gaan, is de wetenschap dat God in het geven van Zijn Woord en Wet het goede voor heeft met mensen.","603",NA
"Hij heeft er recht op door iedereen te worden gehoorzaamd.","603",NA
"Immers, de Prediker dringt erop aan God te vrezen, Zijn Geboden te onderhouden.","603",NA
"Daar wil de SGP van getuigen.","603",NA
"Daar wil de SGP in afhankelijkheid van God handen en voeten aan geven, ook in de Tweede Kamer.","603",NA
"De SGP stáát ervoor.","603",NA
"De SGP gelooft erin!","603",NA
"De SGP voegt de daad bij het Woord!","603",NA
"Dat doen we met een gerust hart.","603",NA
"Om de eenvoudige reden dat we weten dat God regeert.","603",NA
"Hij heeft het laatste Woord.","603",NA
"Gezinnen vormen de ruggengraat van een goede samenleving.","603",NA
"Het opgroeien in een stabiel gezin vergroot aanzienlijk de kans op een evenwichtige persoonlijke ontwikkeling.","603",NA
"Omgekeerd zijn veel individuele en maatschappelijke problemen te herleiden tot het gebrekkig functioneren van gezinnen.","603",NA
"Gezonde gezinnen zijn dus van groot belang voor ons allemaal.","603",NA
"Gezinnen zijn hechte gemeenschappen waar de gezinsleden geborgenheid en liefde ervaren.","603",NA
"In het gezin worden waarden, normen en fatsoen geleerd.","603",NA
"Opoffering en iets over hebben voor elkaar krijgen bij uitstek in het gezin gestalte.","603",NA
"Wie deze dingen in het klein niet leert, zal ze in het groot niet toepassen.","603",NA
"Het gezin biedt stabiliteit, structuur en vertrouwen.","603",NA
"We doen er dus verstandig aan het gezin te koesteren.","603",NA
"Wanneer we denken zonder gezinnen te kunnen, komen we bedrogen uit.","603",NA
"De samenhang in de gemeenschap gaat teloor.","603",NA
"Die ontwikkeling is momenteel te zien.","603",NA
"Uitholling van het gezin en toenemend individualisme gaan hand in hand.","603",NA
"De conclusie is helder: herwaardering van het gezin is broodnodig!","603",NA
"Aan de basis van het gezin staat het huwelijk.","603",NA
"Het is een belangrijk onderdeel van de orde in de schepping die we in ere moeten houden.","603",NA
"God Zelf heeft het huwelijk ingesteld en bedoeld als een levenslange verbintenis tussen man en vrouw.","603",NA
"Hieruit volgt dat een huwelijk tussen personen van hetzelfde geslacht niet de bedoeling kan zijn.","603",NA
"Zo’n relatie is een kunstmatige constructie.","603",NA
"Het is een zegen wanneer het huwelijk bekroond wordt met kinderen.","603",NA
"Alleen binnen een duurzame verbintenis van man en vrouw, gekenmerkt door liefde en trouw, komen kinderen werkelijk tot hun recht.","603",NA
"Het huwelijk is een verbond voor het leven.","603",NA
"Van de huwelijkspartners wordt trouw gevraagd: je kunt niet zomaar van elkaar af, omdat je de ander serieus neemt.","603",NA
"In het huwelijk van hun ouders krijgen kinderen een levende illustratie van het belang van deze trouw.","603",NA
"Voor hun vorming is dat van groot belang.","603",NA
"Echtscheiding is daarom voor ouders en kinderen een pijnlijke zaak.","603",NA
"Het huwelijk van man en vrouw is in alle tijden een vanzelfsprekende leefvorm geweest.","603",NA
"Dat is begrijpelijk, want juist man en vrouw vullen elkaar in het huwelijk goed aan.","603",NA
"Man en vrouw hebben een verschillende aanleg en roeping.","603",NA
"Het is onbegonnen werk om dit onderscheid weg te poetsen.","603",NA
"Het hameren op gelijkheid en onderlinge uitwisselbaarheid van man en vrouw miskent de natuurlijke werkelijkheid.","603",NA
"Man en vrouw maken elkaar compleet.","603",NA
"Zo ontmoeten zij elkaar in gelijkwaardigheid.","603",NA
"Dat geeft kleur en zin aan het leven.","603",NA
"Juist de overheid is geroepen om orde te bevorderen.","603",NA
"Ook de orde van het natuurlijke gezin.","603",NA
"Gelukkig leven zeer veel Nederlanders in zo’n gezin.","603",NA
"Maar jammer genoeg weet de overheid zich geen raad meer met relaties.","603",NA
"Volgens haar kan inmiddels elk leefverband van één of meer volwassenen een gezin zijn.","603",NA
"Dat is behoorlijk nietszeggend.","603",NA
"En het is ook schadelijk.","603",NA
