"text","cmp_code"
"Gezinnen vormen de ruggengraat van een goede samenleving.","603"
"Het opgroeien in een stabiel gezin vergroot aanzienlijk de kans op een evenwichtige persoonlijke ontwikkeling.","603"
"Omgekeerd zijn veel individuele en maatschappelijke problemen te herleiden tot het gebrekkig functioneren van gezinnen.","603"
"Gezonde gezinnen zijn dus van groot belang voor ons allemaal.","603"
"Gezinnen zijn hechte gemeenschappen waar de gezinsleden geborgenheid en liefde ervaren.","603"
"In het gezin worden waarden, normen en fatsoen geleerd.","603"
"Opoffering en iets over hebben voor elkaar krijgen bij uitstek in het gezin gestalte.","603"
"Wie deze dingen in het klein niet leert, zal ze in het groot niet toepassen.","603"
"Het gezin biedt stabiliteit, structuur en vertrouwen.","603"
"We doen er dus verstandig aan het gezin te koesteren.","603"
"Wanneer we denken zonder gezinnen te kunnen, komen we bedrogen uit.","603"
"De samenhang in de gemeenschap gaat teloor.","606"
"Die ontwikkeling is momenteel te zien.","606"
"Uitholling van het gezin en toenemend individualisme gaan hand in hand.","603"
"De conclusie is helder: herwaardering van het gezin is broodnodig!","603"
"Aan de basis van het gezin staat het huwelijk.","603"
"Het is een belangrijk onderdeel van de orde in de schepping die we in ere moeten houden.","603"
"God Zelf heeft het huwelijk ingesteld en bedoeld als een levenslange verbintenis tussen man en vrouw.","603"
"Hieruit volgt dat een huwelijk tussen personen van hetzelfde geslacht niet de bedoeling kan zijn.","603"
"Zo’n relatie is een kunstmatige constructie.","603"
"Het is een zegen wanneer het huwelijk bekroond wordt met kinderen.","603"
"Alleen binnen een duurzame verbintenis van man en vrouw, gekenmerkt door liefde en trouw, komen kinderen werkelijk tot hun recht.","603"
"Het huwelijk is een verbond voor het leven.","603"
"Van de huwelijkspartners wordt trouw gevraagd: je kunt niet zomaar van elkaar af omdat je de ander serieus neemt.","603"
"In het huwelijk van hun ouders krijgen kinderen een levende illustratie van het belang van deze trouw.","603"
"Voor hun vorming is dat van groot belang.","603"
"Echtscheiding is daarom voor ouders en kinderen een pijnlijke zaak.","603"
"Het huwelijk van man en vrouw is in alle tijden een vanzelfsprekende leefvorm geweest.","603"
"Dat is begrijpelijk, want juist man en vrouw vullen elkaar in het huwelijk goed aan.","603"
"Man en vrouw hebben een verschillende aanleg en roeping.","603"
"Het is onbegonnen werk om dit onderscheid weg te poetsen.","603"
"Het hameren op gelijkheid en onderlinge uitwisselbaarheid van man en vrouw miskent de natuurlijke werkelijkheid.","603"
"Man en vrouw maken elkaar compleet.","603"
"Zo ontmoeten zij elkaar in gelijkwaardigheid.","603"
"Dat geeft kleur en zin aan het leven.","603"
"Juist de overheid is geroepen om orde te bevorderen.","603"
"Ook de orde van het natuurlijke gezin.","603"
"Gelukkig leven zeer veel Nederlanders in zo’n gezin.","603"
"Maar jammer genoeg weet de overheid zich geen raad meer met relaties.","603"
"Volgens haar kan inmiddels elk leefverband van één of meer volwassenen een gezin zijn.","603"
"Dat is behoorlijk nietszeggend.","603"
"En het is ook schadelijk.","603"
"Omdat er op het gebied van gezin en relaties geen grenzen worden aangegeven heerst grote verwarring.","603"
"Zo ontstaat gemakkelijk verwrongen beeldvorming.","603"
"Denk bijvoorbeeld aan kinderen die twee ouders hebben van hetzelfde geslacht.","603"
"Voor het welzijn van de samenleving moet het natuurlijke gezin weer op de kaart worden gezet.","603"
"Concreet: De publieke erkenning van niet-huwelijkse samenlevingsvormen en de gelijkschakeling van deze samenlevingsvormen met het huwelijk dient te verdwijnen.","603"
"Het klassieke huwelijk wordt in ere hersteld.","603"
"De mogelijkheid van het zogeheten ‘homohuwelijk’ moet ongedaan gemaakt worden.","603"
"Ambtenaren van de burgerlijke stand die op grond van hun geweten niet mee willen werken aan een ‘homohuwelijk’ moeten daartoe het volste recht hebben.","603"
"In het overheidsbeleid moet weer de definitie van het natuurlijke gezin gebruikt worden.","603"
"De waarde van dit gezin voor de samenleving wordt ook in de Grondwet vastgelegd.","603"
"Het is natuurlijk het mooiste als kinderen bij hun eigen ouders opgroeien.","603"
"Daar wordt immers een vertrouwde sfeer geboden.","603"
"Er zijn gevallen waarin dat helaas niet mogelijk is.","705"
"Er moet dan gezocht worden naar een passend alternatief, in de omgeving of elders in de wereld.","705"
"Pleegzorg of adoptie is voor deze kinderen nodig.","705"
"Opvang in een pleeggezin verdient de voorkeur boven een pleegtehuis.","603"
"De omgeving van een gezin heeft op kinderen een positieve invloed.","603"
"Pleegouders en adoptieouders zijn van groot belang om kinderen zo goed mogelijk te kunnen helpen.","603"
"Deze ouders moeten we koesteren.","603"
"De ondersteuning van deze ouders moet daarom goed geregeld zijn.","603"
"Ook verdienen zij een belangrijke positie in het proces van hulpverlening.","603"
"Concreet: Bij het zoeken van een pleeggezin moet eerst gekeken worden naar het netwerk van familie en bekenden.","603"
"Er dienen goede voorzieningen voor pleegouders te zijn, waaronder toereikende verlofregelingen.","504"
