"content","cmp_code","eu_code"
"Inleiding:","H",NA
"Stem voor het leven","H",NA
"Stem voor het leven!","603",NA
"Dat is het appèl dat de SGP op de kiezers doet.","603",NA
"Stem voor het leven.","603",NA
"Op drie ‘fronten’ is er strijd te voeren voor het leven.","603",NA
"De SGP maakt zich sterk voor de bescherming van kwetsbaar leven.","603",NA
"Leven dat broos is, breekbaar, niet voor vol wordt aangezien.","603",NA
"Leven dat lijdt.","603",NA
"En dus beschermd moet worden.","603",NA
"Ook gaat de SGP ervoor om Nederlanders veilig te kunnen laten leven in een onzekere tijd vol gevaren die ons dagelijks bedreigen.","605.1",NA
"Het derde front is hoe we samen leven.","601.1",NA
"Als mensen altijd maar druk zijn of alleen maar aandacht voor zichzelf hebben, is er geen tijd en aandacht meer voor elkaar, het echte samen leven.","601.1",NA
"‘Denkers van naam’ hebben diep nagedacht over wat ‘het goede leven’ is.","603",NA
"Hoe verschillend de antwoorden ook zijn, allen stuiten pijnlijk op de gebrokenheid, in mensenlevens, en in het samenleven van mensen met elkaar.","603",NA
"De ellende die daarvan het gevolg is, ervaren we dagelijks aan den lijve.","603",NA
"Die gebrokenheid is veroorzaakt door ‘de mens’, die zich afkeerde van God en Zijn geboden.","603",NA
"Die breuk is zicht- en voelbaar in de zonde.","603",NA
"Die breuk kan alleen geheeld worden door het geloof in Christus, waardoor verzoening met God en met de medemensen tot stand wordt gebracht.","603",NA
"De kern van het goede leven is dan ook een bestaan tot eer van de Schepper en met een open oog en hart voor de andere schepselen.","603",NA
"Hoe je dat doet, is te vinden in de Bijbel, het Woord van God Zelf.","603",NA
"Daarin zie je welke weg Hij wijst en daaruit leer je hoe mensen die ons voorgingen dat, met vallen en opstaan, hebben gedaan.","603",NA
"Die opdracht om recht te doen raakt ieder mens.","603",NA
"Ieder op zijn of haar eigen plek, maar ook waar mensen samen werken met anderen, of dat nu is in een gemeente, land of in de wereld, in een school, club, kerk, kantoor, thuis of op straat.","603",NA
"Beschermwaardig leven","H",NA
"Het leven begint al voor de geboorte.","603",NA
"Ieder mens is anders dan alle andere mensen die er ooit waren en die er nog zullen zijn.","603",NA
