"text","cmp_code"
"Nederland is een mooi land, met geweldige mogelijkheden.","601"
"En volop kansen voor een mooie toekomst.","601"
"Toch maken veel mensen zich grote zorgen.","305"
"Over hun baan, over de toekomst van hun kinderen.","305"
"Zorgen over de samenleving waarin we leven en hoe we omgaan met elkaar.","305"
"De economische crisis heeft veel onzekerheid gebracht.","305"
"De afgelopen jaren hebben veel mensen het vertrouwen verloren.","305"
"In bestuurders en bankiers, politici en managers – en in elkaar.","305"
"De rechtse politiek van ‘meer markt en eigen verantwoordelijkheid’ heeft de economie in zwaar weer gebracht,","305"
"de sociale zekerheid uitgehold","504"
"en de tweedeling in ons land vergroot.","503"
"Egoïsme en zelfverrijking worden beloond,","503"
"omkijken naar een ander en zorgen voor elkaar worden steeds moeilijker gemaakt.","606"
"Dat bedreigt de samenhang in onze samenleving.","606"
"De huidige crisis is geen natuurramp, maar het gevolg van politieke keuzes.","305"
"Van bange politici, die geen verantwoordelijkheid durfden te nemen en hoopten dat de markt voor hen alle problemen zou oplossen.","305"
"Ons rijke land is door onverantwoord gedrag van bankiers, beleggers en bestuurders in grote problemen gekomen.","305"
"Mensen met de minste schuld aan de crisis dreigen nu de rekening te moeten betalen.","305"
"Werknemers en kleine zelfstandigen, jongeren en studenten, ouderen en zieken.","305"
"Zij leveren in, terwijl degenen die de economie lieten ontsporen grotendeels buiten schot blijven.","305"
"Zij gunnen elkaar belachelijke salarissen, bizarre bonussen en woekerwinsten, terwijl burgers niet eens meer weten of hun geld nog wel veilig is, hun baan blijft bestaan en er straks nog pensioen voor hen is.","305"
"Maar het kan ook anders.","305"
"Als u dat wilt.","305"
"Op 12 september bent u aan het woord.","202"
"Deze verkiezingen bepalen of onze samenleving nog harder wordt en de tweedeling nog groter, of dat we nu een andere keuze maken en we gaan bouwen aan een socialer, menselijker en duurzamer Nederland.","503"
"Hoe wilt u dat we in de toekomst met elkaar omgaan?","202"
"In wat voor samenleving wilt u leven?","202"
"Wat voor wereld wilt u voor uw kinderen achterlaten?","202"
"Die keuze is aan u!","202"
"Het kabinet-Rutte heeft ons land in de problemen gebracht.","305"
"De regering van VVD en CDA (eerst gedoogd door PVV en SGP, daarna door D66, ChristenUnie en GroenLinks) laat de allerrijksten hun gang gaan.","503"
"En bezuinigt miljarden op de burgers.","503"
"Op zorg en onderwijs, woningen en werk, toezicht en veiligheid.","305"
"Deze bezuinigingspolitiek vergroot de tweedeling in de samenleving","503"
"en verstikt de economische groei.","410"
"Daarmee raken we op een doodlopende weg.","409"
"Harde bezuinigingen leiden tot een zwakkere economie – en daarmee tot weer meer bezuinigingen.","409"
"Dat kan anders!","305"
"In dit verkiezingsprogramma presenteren wij ons bouwpakket.","305"
"Ook wij doen het zuinig aan met uw belastinggeld.","305"
"En we vragen een extra bijdrage in de kosten van de samenleving, vooral van mensen die het toch al goed hebben getroffen.","503"
"Zo kunnen we ook in crisistijd beschermen wat waardevol is en investeren in wat ons bindt.","503"
"Wij laten mensen niet in de kou staan en investeren in werk, onderwijs, zorg en zekerheid.","504"
"Juist nu gaan wij bouwen aan nieuw vertrouwen.","305"
"We hopen dat wij daarbij op uw steun mogen rekenen.","202"
"Wij pakken de oorzaken van de crisis aan.","403"
"Alleen dan kan het vertrouwen van mensen worden herwonnen.","305"
"Wij nemen onze verantwoordelijkheid.","305"
"Alleen dan kunnen we sociale voorzieningen in stand houden.","504"
"Wij bieden mensen sociale zekerheid.","504"
"Alleen dan kan het vertrouwen in elkaar worden hersteld.","606"
"Wij laten de sterkste schouders de zwaarste lasten dragen.","503"
"Alleen dan krijgen we een sterke en solidaire samenleving.","503"
"Wij kiezen voor duurzame ontwikkeling.","416"
"Alleen dan kunnen we de toekomst met vertrouwen tegemoet zien.","416"
"In provincies en gemeenten hebben we laten zien dat we goed kunnen besturen.","305"
"Nu vragen we u ons die kans te geven voor het hele land.","305"
"De SP is nodig voor een sociale regering die weet dat de politiek er is voor u – en niet omgekeerd.","202"
"Hoe?","305"
"Dat vertellen we u in dit verkiezingsprogramma.","305"
"De precieze onderbouwing van dit verkiezingsprogramma vindt u in een serie rapporten die we de afgelopen tijd hebben gemaakt.","305"
"Kijk op onze website: www.sp.nl","305"
"Daar vindt u ook een overzicht van al onze standpunten.","305"
"Europese leiders keken in de afgelopen jaren meer naar de financiële markten dan naar de behoeften van de burgers.","305"
"De Nederlandse regering doet daaraan mee.","305"
"Dat heeft geleid tot een domme bezuinigingspolitiek, die het economische herstel in Europa buitengewoon belemmert.","305"
"Dat leidt tot verlies van banen en grote financiële onzekerheid, vooral in het midden- en kleinbedrijf (MKB) – de motor van onze economie.","305"
"Politieke partijen die alle ruimte boden aan bankiers en bestuurders, aandeelhouders en speculanten, dragen een grote verantwoordelijkheid.","305"
"Dit neoliberale wanbeleid kan ons land zich niet meer veroorloven.","305"
"Het is de hoogste tijd voor een sociaal alternatief.","305"
"Naast doordachte bezuinigingen, om de staatskas op orde te krijgen,","414"
"gaan we al in 2013 drie miljard euro extra investeren in onze economie.","402"
"In het onderhoud van woningen en scholen, wegen en spoorwegen.","411"
"Door kantoorpanden om te bouwen tot woonruimte","504"
"en woningen te bouwen die energiezuiniger zijn.","416"
"Deze investeringen zijn goed voor het het midden- en kleinbedrijf.","402"
"Ook nemen we maatregelen om de sociale zekerheid en rechtsbescherming van MKB-bedrijven en ZZP-ers te verbeteren.","403"
"Een Nationale Investeringsbank verzekert dat de industrie, maar ook kleine bedrijven, meer kunnen investeren.","411"
"En we zorgen dat internet – steeds belangrijker in onze samenleving – voor iedereen toegankelijk blijft","503"
"en de privacy op het net wordt gewaarborgd.","201"
"We starten in 2013 een speciaal investeringsprogramma om onze economie weer op gang te helpen en de werkgelegenheid te bevorderen.","409"
"Dat doen we door onderhoud aan woningen en spoorwegen, scholen en universiteiten, dijken en wegen naar voren te halen.","409"
"De woningmarkt kan worden gestimuleerd door kantoorpanden om te bouwen tot woonruimte","409"
"en om te schakelen naar energiezuinige woningbouw.","416"
"We houden het BTW-tarief gelijk, want verder verhogen treft direct de koopkracht van mensen","701"
"en is heel slecht voor het herstel van de ondernemingen in het MKB.","409"
"Er komt een nieuwe nationale investeringsbank (NIB) die kredieten gaat verstrekken aan fundamenteel gezonde en goed geleide bedrijven.","410"
"Daarmee zorgen we ervoor dat bijvoorbeeld de industrie weer kan investeren en zodoende ook meer werkgelegenheid kan creëren.","409"
"Ook kan deze investeringsbank langjarige investeringen in duurzame economie financieren.","416"
"Kleine ondernemers krijgen van ons een eerlijkere kans bij overheidsopdrachten.","402"
"Aan het voortrekken van grote bedrijven maken we een einde.","402"
"De winstbelasting voor het kleinbedrijf houden we laag.","402"
"Grote bedrijven laten we daarentegen een extra bijdrage leveren.","503"
"Hoge kosten van twee jaar loondoorbetaling voor zieke werknemers zijn een groot risico voor het het midden- en kleinbedrijf en een belemmering om mensen in vaste dienst te nemen.","402"
"Daarom worden de kosten voor werknemers die langer dan een half jaar ziek zijn voortaan betaald uit een collectieve verzekering.","504"
"We gaan ook werk maken van betere regelingen voor arbeidsongeschiktheid en pensioen voor zelfstandigen zonder personeel.","504"
"We verbeteren de rechtsbescherming voor ondernemers tegen oneerlijke handelspraktijken, zoals misleiding en bedrog.","403"
"Het aantal koopzondagen blijft beperkt tot 12 per jaar.","408"
"Alleen gebieden die aantoonbaar toeristisch zijn kunnen hiervan afwijken, op voorwaarde dat de sociale belangen van betrokkenen (winkeliers en winkelpersoneel) worden gewaarborgd.","408"
"Werkgevers gaan met een eigen bijdrage meebetalen aan de uitvoering van werknemersverzekeringen.","701"
"De lasten voor het doorbetalen van ziek personeel worden voor kleine bedrijven eerlijker verdeeld.","503"
"We stellen paal en perk aan de topinkomens.","503"
"Bestuurders in de publieke en semipublieke sector verdienen voortaan niet meer dan de minister.","403"
"Bonussen bij banken en andere financiële instellingen worden volledig uitgebannen.","403"
"We stimuleren sociale partners om ondernemingen te verplichten een behoorlijk beleid te voeren en geen belachelijk hoge salarissen en bonussen te betalen.","405"
"We handhaven de ontslagbescherming.","701"
"Dat is beter voor de werknemers","701"
"en ook beter voor een stabiele economie.","410"
"De duur van de WW wordt niet verkort.","504"
"Werkgevers in het MKB hebben vaak te weinig geld om het eerste half jaar de WW te betalen, wat het aannemen van mensen op tijdelijke contracten bevordert.","701"
"Daarom zijn we tegen het betalen van het eerste half jaar WW door deze werkgevers.","701"
"De lasten voor het doorbetalen van ziek personeel worden voor kleinere bedrijven eerlijker verdeeld.","503"
"Werkgevers gaan met een eigen bijdrage meebetalen aan de uitvoering van werknemersverzekeringen.","701"
"De sollicitatieplicht van werklozen wordt afhankelijk van de individuele omstandigheden en de perspectieven op werk.","701"
"We scheiden spaar- en zakenbanken.","403"
"Zo verhinderen we dat banken nog kunnen gokken met het spaargeld van hun klanten.","403"
"Dit doen we in Europees verband.","108"
"Vooruitlopend daarop moeten Nederlandse banken alvast intern risicovolle en minder risicovolle activiteiten duidelijk scheiden.","403"
"De bankenbelasting wordt verhoogd en aangevuld door een financiële transactietaks.","403"
"Dat remt speculatie en stimuleert dat beschikbaar kapitaal wordt ingezet in de reële economie.","403"
"Om wanpresterende bestuurders beter aan te kunnen pakken worden de juridische mogelijkheden uitgebreid.","605"
"Er komt een aparte strafrechtelijke bepaling voor financieel wanbeleid.","605"
"Ook wordt de civiele aansprakelijkheid van bestuurders vergroot.","605"
"We moedigen slimme samenwerking aan tussen bedrijven, overheden en kennisinstellingen, zoals al wordt geprobeerd in Brainport in Brabant, Chemelot in Limburg, Energy Valley in Groningen, Wetsus in Friesland en Innovatiesprong Twente.","411"
"Door intensieve samenwerking kunnen onderzoek en ontwikkeling (R&D) op zulke locaties op wereldniveau komen.","411"
"Verdere innovatie ondersteunen we graag, in de industrie maar ook in de creatieve sector en de ICT.","411"
"Door bedrijfssubsidies die weinig opleveren halen we echter de bezem.","414"
"We staan terughoudend tegenover het bezetten van leerstoelen door bedrijven aan universiteiten en hogescholen.","403"
"Onze economie is gebaat bij grotere betrokkenheid van werknemers bij de besluitvorming in ondernemingen.","202"
"We willen dat werknemers tenminste de helft van het aantal commissarissen van grote ondernemingen gaan kiezen.","202"
"De ondernemingsraden kunnen we versterken als we hen instemmingsrecht geven bij fusies, overnames en over de beloningsstructuur van het management.","202"
"Massa’s mensen en ondernemingen maken dagelijks gebruik van de talloze mogelijkheden van internet.","411"
"Internet behoort daarom ook in de toekomst voor iedereen toegankelijk te blijven – en de overheid dient dat te bevorderen.","411"
"We stimuleren het gebruik van open source.","201"
"Internetproviders mogen zich niet inlaten met het verkeer van hun internetgebruikers, net zoals post- en telefoniebedrijven zich niet mogen inlaten met de brieven of telefoongesprekken van hun klanten.","201"
"Bij ingewikkelde ICT-projecten zijn aanbestedingen vaak een verkeerd middel om een goede partner te vinden.","303"
"De overheid doet er goed aan om in open overleg met het bedrijfsleven te werken aan goede ICT-oplossingen, die technisch kloppen en binnen het budget blijven.","303"
"Mensen op de werkvloer worden meer betrokken bij het ontwikkelen van ICT-toepassingen.","701"
"Er komen heldere regels voor het verzamelen, bewaren en verhandelen van profielen van internetgebruikers.","201"
"Internet en telefonie zijn van toenemend belang voor onze economie.","411"
"Juist in de ICT ligt een grote kans voor innovatie.","411"
"Daarom is het van groot belang dat deze diensten betrouwbaar werken en de overheid daarop toeziet.","403"
"Burgers en bedrijven hebben ook een grote behoefte aan continuïteit van internet en telefoon.","403"
"Vrij internet verdraagt zich moeilijk met een downloadverbod.","201"
"Dat laatste willen we dus niet.","201"
"Maar creatieve makers van bijvoorbeeld films en muziek hebben natuurlijk wel recht op een vergoeding voor hun werk.","502"
"We gaan dat in goed overleg regelen via het bestaande systeem van heffingen op dragers en media.","403"
"Het verzamelen van en handelen in gegevens van internetgebruikers door bijvoorbeeld ‘cookies’ en ‘device fingerprinting’ worden aan banden gelegd.","201"
"Overheden en bedrijven mogen niet zomaar een profiel maken of opslaan van iemand die argeloos op het internet surft.","201"
"Iedereen dient op eenvoudige wijze te kunnen aangeven niet gevolgd te willen worden op internet (‘do-not-track-me’).","201"
"Netneutraliteit staat bij ons hoog in het vaandel.","201"
"Er wordt door providers geen onderscheid gemaakt in kosten voor de ene of de andere soort data.","201"
"We wijzen het internationale handelsverdrag ter bestrijding van namaak (ACTA) af, omdat bij deze vaststelling van internationale standaarden voor handhaving van het intellectueel eigendomsrecht te weinig oog is voor de publieke belangen van velen en te veel voor de economische belangen van weinigen.","201"
"Nogal wat politici doen een beroep op de eigen verantwoordelijkheid van mensen.","305"
"Maar zij lijken zelf geen verantwoordelijkheid te durven nemen voor de samenleving.","305"
"Marktwerking in zorg en onderwijs, woningbouw en beveiliging, energievoorziening en openbaar vervoer, hebben niet alleen geleid tot duurdere voorzieningen, maar ook de zeggenschap van mensen over de samenleving verminderd.","202"
