"content","cmp_code","eu_code"
"PROGRAMMA VOOR EEN SOCIAAL NEDERLAND VOOR DE VERKIEZINGEN VAN 15 MAART 2017","H",NA
"De programmacommissie:","H",NA
"Ronald van Raak (voorzitter), Maarten Hijink (secretaris), Arda Gerkens, Ben van Gils, Mariska ten Heuw, Paulus Jansen, Sadet Karabulut, Ron Meyer, Arnold Merkies, Emile Roemer, Eric Smaling, Peter Verschuren en Arjan Vliegenthart","H",NA
"VOORWOORD","H",NA
"Van mijn ouders heb ik geleerd dat je nooit moet opgeven.","000",NA
"Dat je van iedere tegenslag sterker wordt en dat de aanhouder wint.","000",NA
"Mijn vader was een strijder in het verzet.","000",NA
"Hij vocht voor onze vrijheid en voor rechtvaardigheid - wat ben ik daar trots op! Mijn moeder was vaak van huis, in de hele regio bracht zij vrouwen bij elkaar.","000",NA
"Vrouwen op het platteland, die lang niet altijd gewend waren om voor zichzelf op te komen.","000",NA
"Van haar heb ik geleerd wat bescheidenheid is en hoe je anderen kunt helpen om sterker te worden.","000",NA
"WIJ ZIJN ER VOOR IEDEREEN","H",NA
"Die mentaliteit van hard werken, succes boeken en jezelf blijven zie ik vaak terug als ik op bezoek ben bij mensen die een baan hebben in de zorg of in het onderwijs, of mensen die op de steigers staan in de bouw of werken als politieagent in de buurt.","704",NA
"Zij houden niet van opscheppers en van betweters, van bestuurders die vooral zichzelf vooropstellen.","305.1",NA
"Politiek hoort te gaan over hoe we rekening houden met een ander en samen problemen oplossen.","305.1",NA
"Dat zijn ook de waarden waar mijn partij en ik mee werken.","305.1",NA
"Wij staan voor menselijke waardigheid, gelijkwaardigheid en solidariteit.","305.1",NA
"Waar ik me zorgen over maak, is dat steeds meer jonge mensen in de knel komen.","503",NA
"Ze krijgen geen vast contract meer en komen niet in aanmerking voor een hypotheek of huurwoning.","503",NA
"Door de afschaffing van de studiebeurs kunnen veel jongeren niet meer studeren of beginnen ze straks met een enorme schuld aan hun werkende leven.","506",NA
"Veel mensen werken hard, maar kunnen nauwelijks rondkomen.","701",NA
"Veel ouderen  herkennen hun eigen buurt niet meer, het thuisgevoel verdwijnt.","602.1",NA
"Mensen zijn druk met zichzelf en hebben weinig tijd voor een ander.","602.1",NA
"DE POLITIEK VAN DE ELITE","H",NA
"Nederland heeft meer miljonairs dan ooit, maar tegelijk kunnen meer dan één miljoen mensen de zorg-kosten niet betalen.","503",NA
"Het verschil tussen de grootverdieners aan de top en de rest van de bevolking is door de regering doelbewust vergroot.","503",NA
"Premier Rutte heeft goed gezorgd voor de directeuren en bestuurders, voor de banken en multinationals.","503",NA
"Deze elite is na de crisis rijker dan daarvoor.","503",NA
"Maar voor de meeste  andere mensen zijn belangrijke voorzieningen, zoals betaalbare zorg en sociale zekerheid, alleen maar minder geworden.","503",NA
"In een wereld die op drift is, zoeken mensen naar meer zekerheid.","503",NA
"Dat als je hard werkt, je het ook echt beter kunt krijgen.","408",NA
"Dat je kinderen een eerlijke kans krijgen om een toekomst op te bouwen.","503",NA
"Dat je kunt rekenen op een fatsoenlijke oude dag.","412",NA
"Dat de politiek er niet alleen is voor de elite, maar voor iedereen.","503",NA
"Zekerheid is een voorwaarde voor vrijheid, alleen dan kunnen mensen bouwen aan een toekomst voor zichzelf en voor hun kinderen.","412",NA
"Zekerheid is een basis voor rechtvaardigheid, dat iedereen kan meedoen en we niet wegkijken als anderen ons nodig hebben.","412",NA
"Van daaruit kunnen we ook gezamenlijk bouwen aan een schoon milieu","501",NA
"en een duurzame economie.","416.2",NA
"In eigen land, maar ook elders in de wereld, is zekerheid een voorwaarde voor vrede en veiligheid.","412",NA
"Door oorlogen en klimaatverandering slaan steeds meer mensen op de vlucht en zijn miljoenen gezinnen ontheemd.","104",NA
"Militaire missies zijn daarvoor niet de oplossing, betere opvang van mensen en diplomatieke inspanningen om conflicten te beëindigen zijn dat wel.","104",NA
"EEN SOCIAAL NEDERLAND","H",NA
"Mensen zijn gelukkiger in een land waar de verschillen kleiner zijn.","415",NA
"Ik wil een Nederland waar we op een sociale manier met elkaar omgaan.","602.1",NA
"Waarin mensen niet steeds met elkaar hoeven te concurreren, maar met elkaar kunnen samenwerken.","602.1",NA
"Waar niet de financiële markten, maar de mensen het laatste woord heb-ben.","202.1",NA
"Ik sta niet toe dat in ons land mensen tegen elkaar worden uitgespeeld:","602.1",NA
"rijk tegen arm, gelovig tegen ongelovig, of jong tegen oud.","602.1",NA
"Ik wil het egoïsme bestrijden en de eenheid versterken.","602.1",NA
"Voor onze gedeelde toekomst.","602.1",NA
"Nederland moet een land zijn waar iedereen kan meedoen en ieder mens zich thuis kan voelen;","503",NA
"een land waar je niet wordt beoordeeld op je afkomst, maar op je eigen inzet;","503",NA
"een land waar iedere mening telt, maar waar je ook anderen respecteert;","503",NA
"een land waar je anderen de vrijheid gunt, die je ook zelf hebt  gekregen.","503",NA
"Wij zetten mensen niet tegen elkaar op, maar voeren een gezamenlijke strijd, voor onze  gezamenlijke belangen.","503",NA
"Op 15 maart beslist u over de toekomst van ons land.","202.1",NA
"Dan kunt u samen met ons een sociaal Nederland mogelijk maken.","305.1",NA
"MET UW STEUN:","H",NA
"Voeren we een Nationaal ZorgFonds in, schaffen we het eigen risico af en zorgen we voor voldoende zorgpersoneel.","413",NA
"Komt er een Investeringsplan voor Nederland.","413",NA
"Verhogen we het minimumloon, de AOW-uitkering en hsociaal minimum met 10 procent.","412",NA
"En verlagen we de AOW-leeftijd naar 65 jaar.","504",NA
"Laten we multinationals voortaan gewoon belasting betalen, voeren we een extra belasting in voor  miljonairs en gaan de lasten voor mensen met een middeninkomen en lager inkomen omlaag.","402",NA
"Komt er een nationale volksbank, waar uw spaargeld altijd veilig is en bonussen en woekerwinsten nievoorkomen.","413",NA
"En komt er ook een nationale investeringsbank voor het midden- en kleinbedrijf.","413",NA
"Verlagen we de huren, gaan we meer betaalbare huurwoningen bouwen","412",NA
"en krijgen huurders meer te zeggen over hun woning en over hun buurt.","202.3",NA
"Maken we de klassen kleiner,","506",NA
"elke jongere kan een vak leren","506",NA
"en iedere student kan rekenen op een studiebeurs.","506",NA
"Leven we niet langs elkaar heen, maar gaan we samen leven.","602.1",NA
"Op school, in de buurt en op het werk.","602.1",NA
"En worden mensen niet beoordeeld op hun afkomst, maar op wat ze doen.","503",NA
"Investeren we in een duurzame economie","416.2",NA
"en in het midden- en kleinbedrijf (mkb), met een economie die meer recht doet aan mens en milieu.","704",NA
"En verlagen we de gaswinning in Groningen tot een veilige  12 miljard kubieke meter.","416.2",NA
