"text","cmp_code","eu_code"
"De afgelopen vier jaar is er een zware hypotheek gelegd op onze toekomst en op die van onze kinderen.","414",NA
"De overheidsfinanciën zijn volkomen uit de hand gelopen.","414",NA
"Nog afgezien van het feit dat de wereldwijde economische crisis ons land het nodige heeft gekost, heeft onze overheid buitensporig veel geld uitgegeven.","414",NA
"Als we niet snel orde op zaken stellen, krijgen onnodig veel mensen daarvan de rekening gepresenteerd.","414",NA
"Om Nederland weer op de rit te krijgen, moeten ondernemers meer kansen krijgen","401",NA
"en is beter onderwijs nodig.","506",NA
"Mensen moeten zich weer veilig kunnen voelen","605",NA
"en de immigratie van kansarmen moet stoppen.","608",NA
"Files moeten sterk worden teruggedrongen","411",NA
"en het huishoudboekje van de overheid moet op orde worden gebracht.","414",NA
"Wij leven in een land waarin veel mogelijk is.","601",NA
"Nederland is een mooi en rijk land dat barst van het talent.","601",NA
"De VVD ziet voor Nederland dan ook veel kansen en is optimistisch over de toekomst van ons land en zijn bewoners.","601",NA
"Vrijheid en een vrije uitwisseling van kennis, gedachten en gevoelens zijn de basis van onze moderne markteconomie en onze welvaart.","201",NA
"De VVD staat pal voor de vrijheid van alle Nederlanders die van goede wil zijn.","201",NA
"Eenieder die de handen uit de mouwen wil steken en wat wil maken van zijn leven, is bij de VVD aan het goede adres.","401",NA
"Wij komen als volkspartij op voor alle mensen in onze samenleving: rijk en arm, allochtoon en autochtoon, man en vrouw, ziek en gezond.","705",NA
"Wat ons verbindt, is de wil om vooruit te komen en niet bij de pakken neer te zitten.","401",NA
"Niet door mensen afhankelijk te maken van de overheid maar door hen te helpen op eigen benen te staan.","402",NA
"Ons land wordt geconfronteerd met een aantal grote problemen, wat vraagt om een stevige aanpak.","305",NA
"Mensen voelen zich niet meer veilig op straat.","605",NA
"Politieagenten doen hun uiterste best de burgers veiligheid te bieden, maar dat kan een stuk efficiënter gebeuren.","605",NA
"Ook zijn zij met te weinig.","605",NA
"Te veel overtredingen blijven bovendien onbestraft, en straffen komen niet altijd overeen met ons gevoel van rechtvaardigheid.","605",NA
"Daarnaast zijn er de aanhoudende problemen met immigratie en integratie.","608",NA
"Allochtonen zijn nog altijd oververtegenwoordigd in werkloosheids- en criminaliteitsstatistieken.","608",NA
"Veel mensen bekruipt het gevoel dat de overheid de situatie uit de hand heeft laten lopen.","305",NA
"De VVD is niet alleen glashelder in het benoemen van de problemen die op ons afkomen, wij lossen deze problemen ook op.","305",NA
