"text","cmp_code"
"Ons land gaat eerder naar de stembus dan de VVD had gehoopt.","305"
"Het kabinet onder leiding van ministerpresident Mark Rutte kon niet afmaken waaraan zij was begonnen.","305"
"Dat neemt niet weg dat in deze korte regeerperiode al noodzakelijke hervormingen in gang zijn gezet en moeilijke, maar broodnodige bezuinigingen tot stand zijn gebracht.","305"
"Dat werk moet doorgaan.","305"
"De nieuwe verkiezingen bieden de VVD de mogelijkheid om verder te gaan waar we mee bezig waren en de kiezer wederom te laten zien dat een stem op de VVD goed besteed is.","305"
"Een mogelijkheid om te tonen dat de VVD opkomt voor de rechten en belangen van iedere Nederlander.","305"
"Dat de VVD juist om die reden de overheidsfinanci ën op orde wil brengen.","414"
"Dat de VVD gelooft in de kracht en verantwoordelijkheid van mensen zelf.","401"
"Dat de VVD staat voor een samenleving waarin ieder mens zich maximaal kan ontplooien.","201"
"Dat voor de VVD de overheid er is voor de mensen en niet andersom.","201"
"De VVD is er trots op dat vrijheid en democratie vanaf het eerste begin de sleutelwoorden zijn van onze partij.","201"
"Vrijheid die slechts daar ophoudt wanneer die van anderen in gevaar wordt gebracht.","201"
"Democratie als het enige politieke systeem dat ons toestaat in vrijheid te leven en vorm te geven aan onze maatschappij.","202"
"Onlosmakelijk verbonden met democratie is de rechtsstaat die de rechten en gelijke behandeling van ieder mens garandeert en de minderheid indien nodig tegen de tirannie van de meerderheid beschermt.","503"
"Voor de VVD geldt dat binnen onze rechtsstaat iedereen zich te allen tijde veilig voelt, binnen en buiten, in huis en op straat.","201"
"Vrijheid en democratie spreken echter niet vanzelf.","201"
"Zij vragen altijd zorg en het besef van hun kwetsbaarheid.","201"
"Samen met onze bondgenoten verdedigen wij onze vrijheid en democratie tegen bedreigingen van buitenaf.","104"
"Binnen onze grenzen zijn wij zelf verantwoordelijk.","305"
"De VVD neemt die verantwoordelijkheid en handelt daarnaar.","305"
"Nederland heeft een open handelseconomie en is mede afhankelijk van wat er elders in de wereld gebeurt.","107"
"De focus op de eigen landsgrenzen is daarom geen optie.","107"
"Integendeel, het is noodzakelijk dat Nederland zijn stem in internationaal verband laat horen en de internationale ontwikkelingen zo veel mogelijk be ïnvloedt.","107"
"Dat kan te meer wanneer we onze eigen zaken op orde hebben.","414"
"Nederland staat voor een flinke uitdaging.","414"
"De staatsfinanci ën moeten op orde gebracht worden.","414"
"De overheid moet zich richten op het strikt noodzakelijke en kan niet voor alle problemen een oplossing bieden.","401"
"Een kleinere overheid met oog op de toekomst waar het verbeteren van ons onderwijs","506"
"en het bevorderen van innovatie hoog in het vaandel staan.","411"
"Tegelijkertijd moeten we ouderwetse deugden als hard werken en eigen verantwoordelijkheid in ere houden.","401"
"Wij mogen onze problemen hoe dan ook niet doorschuiven naar toekomstige generaties.","305"
"Dat vergt nu maatregelen, ook impopulaire.","305"
"Van de politiek en onze politici mogen de kiezers in onze volwassen democratie verwachten dat zij geen valse beloften doen en dat zij niet pretenderen gemakkelijke oplossingen te bieden voor moeilijke problemen.","305"
"Het doel van de VVD is een toonaangevend en economisch sterk Nederland met onze eigen kracht als drijvende motor.","401"
"Door als overheid te bezuinigen","414"
"én te investeren.","411"
"Door als overheid te verwachten dat iedereen de schouders eronder zet en uit een gevoel van trots en eigenwaarde keihard werkt aan de  ‘wederopbouw’ van ons land.","606"
"Door als overheid alleen de taken uit te voeren die echt nodig zijn en een vangnet te bieden voor mensen die echt niet kunnen.","503"
"Zo cre ëren we samen een toekomst die we met vertrouwen tegemoet kunnen zien.","305"
"Dit is hoe wij Nederland aan onze kinderen willen overdragen: als een vrij land met een sterke economie.","401"
"Met weinig regels en lage belastingen voor mensen die hun handen uit de mouwen steken  – zoals ondernemers, politieagenten en zorgmedewerkers.","701"
"Een veilig land, waar je onbedreigd over straat kunt en waar criminaliteit daadkrachtig wordt bestreden.","605"
"En een land met een kleine en zuinige overheid die niet meer doet dan nodig is","303"
"en niet meer uitgeeft dan zij binnenkrijgt.","414"
"Maar wat de overheid doet, doet ze goed en effici ënt.","303"
"Onze verworvenheden  – zorg voor iedereen, een vangnet voor wie niet werken kan – staan onder druk.","504"
"Het is onze opdracht ze te behouden en ervoor te zorgen dat onze kinderen en kleinkinderen er ook van kunnen genieten.","504"
"Om onze verworvenheden te behouden, zullen we ze daarom opnieuw moeten uitvinden.","505"
"Een kleinere overheid is hard nodig.","303"
"De afgelopen jaren heeft de overheid bevoegdheden en verantwoordelijkheden op zich genomen die bij ons als vrije inwoners horen.","606"
"Zoals het doneren aan goede doelen en het zorgen voor je zelf en je omgeving.","606"
"Die verantwoordelijkheden moeten wij weer terugeisen.","606"
"De overheid moet weer dienend worden aan al die Nederlanders die, in verantwoordelijkheid en met elkaar, zelf vorm geven aan hun leven.","606"
"Het kabinet Rutte I heeft al belangrijke stappen gezet om de economie te versterken en de overheidsfinanci ën op orde te brengen.","305"
"De VVD wil hiermee doorgaan.","305"
"Nederland zit immers nog steeds in een economische crisis.","305"
"De VVD wil de problemen nu aanpakken en niet doorschuiven naar onze kinderen.","305"
"De VVD kiest daarom voor een aantal maatregelen die de economie nu sterker maken: De VVD wil dat iedereen die kan werken ook werkt.","701"
"En werken moet lonen.","701"
"De VVD doet daarom voorstellen om de arbeidskorting fors te verhogen.","701"
"Alle werkende mensen in Nederland profiteren van deze lastenverlichting;","701"
"De afgelopen jaren hebben we gezien dat meer en betere wegen leiden tot minder files.","411"
"Daar profiteert iedereen van.","411"
"De VVD wil daarmee doorgaan en jaarlijks 250 miljoen euro extra investeren in onze infrastructuur;","411"
"Goed onderwijs voor onze kinderen is de beste garantie voor economische groei in de toekomst.","506"
"De VVD investeert daarom in vakscholen,","506"
"zet in op betere leraren","704"
"en neemt maatregelen om onderwijs en arbeidsmarkt beter op elkaar aan te laten sluiten.","411"
"Het wegwerken van het begrotingstekort heeft voor de VVD prioriteit.","414"
"Dat doen we door de overheidsuitgaven terug te dringen, niet door de lasten te verhogen.","414"
"Als de overheid minder uitgeeft, hoeft zij minder belasting te heffen en minder te lenen bij de private sector.","414"
"Als de overheid haar schuld wegwerkt, hoeft zij minder geld uit te geven aan het aflossen van rente en blijft er meer over voor onderwijs, zorg en wegen.","414"
"In dit programma presenteert de VVD daarom een pakket aan besparingen waarmee de overheid in 2017 een structureel begrotingsevenwicht heeft.","414"
"In de periode daarna werken we aan een overschot zodat Nederland zijn schulden kan aflossen en er nog meer ruimte ontstaat voor lastenverlichting","414"
"De afgelopen jaren hebben we gezien dat het in het Nederlands belang is als ook andere eurolanden hun overheidsfinanci ën op orde brengen.","108"
"Landen die dat niet doen worden beboet zoals vastgelegd in het Stabiliteits- en Groeipact.","108"
"Heeft dat geen effect, dan zal het land uiteindelijk de eurozone moeten verlaten.","605"
"Eventuele steun aan eurolanden kan alleen als het land afdwingbaar alle maatregelen neemt om zijn begroting op orde te brengen en de economie te versterken.","605"
"Verder moet de Europese Unie werken voor Nederland.","108"
"De Europese Unie is er immers ten bate van haar leden.","108"
"Voor ons land betekent dat het verder ontwikkelen van de interne markt.","108"
"Daar ligt voor ons als exportland de grote meerwaarde bij Europese samenwerking.","108"
"Een veilige omgeving is misschien wel de belangrijkste voorwaarde voor de vrije samenleving die de VVD nastreeft.","605"
"De VVD wil het vertrouwen in de rechtsstaat versterken en de veiligheid vergroten.","605"
"Tegen mensen die de veiligheid bedreigen, wordt hard opgetreden.","605"
"De VVD wil jaarlijks 250 miljoen euro extra uitgeven aan meer agenten op straat;","605"
"Er komen zwaardere straffen voor criminelen die meermaals de fout in gaan;","605"
"De schade van slachtoffers wordt altijd en zo snel mogelijk verhaald op de dader(s).","605"
"Bij de VVD gaat het niet om je afkomst maar om je toekomst.","607"
"Niet om je geloof maar om je gedrag.","201"
"Niet om de groep maar om het individu.","201"
"Vanuit deze uitgangspunten wil de VVD de  – nog steeds – forse integratieproblemen bestrijden.","608"
"Zonder kennis van de Nederlandse taal hebben migranten geen kans om hier een eigen bestaan op te bouwen.","608"
"Het leren van de taal is een verantwoordelijkheid van migranten zelf  – en gaat dus op eigen kosten.","608"
"Wie geen Nederlands spreekt, krijgt geen bijstanduitkering;","608"
"De VVD wil kansarme immigratie verder terugdringen.","608"
"Als EU-regels dit streven hinderen, moet een opt-out worden bepleit.","110"
"EU-regels zijn dan minder of niet van toepassing;","110"
"Als een asielzoeker Nederland binnenkomt, moet zo snel mogelijk definitief worden vastgesteld of hij/zij een vluchteling is of niet.","303"
"Zo ja, dan is er plaats voor opvang in Nederland.","201"
"Zo nee, dan moet hij/zij ons land zo snel mogelijk verlaten.","605"
"Met deze en andere voorstellen wil de VVD de crisis bestrijden, de economie versterken en Nederland veiliger maken voor iedereen.","305"
"De VVD wil daar zo snel mogelijk mee beginnen.","305"
"De uitdagingen in Nederland worden niet minder als we deze voor ons uitschuiven.","305"
"De VVD wil daarom n ú aanpakken.","305"
"Achter de cijfers over economische groei of crisis gaat een wereld schuil, een wereld van mensen.","410"
"Een sterke economie zorgt voor banen, biedt welvaart voor burgers en kansen aan ondernemers.","410"
"Economische groei ontstaat niet door de overheid, maar komt uit de handen van mensen.","401"
"Ondernemerschap en hardwerkende burgers zijn d é motoren van onze economie.","401"
"Het is belangrijk dat ondernemers de ruimte krijgen en niet worden gehinderd door hoge lasten en overbodige regelgeving.","401"
"De VVD heeft zich altijd ingezet voor een economie waarin prestaties worden beloond.","401"
"De overheid moet economische groei niet hinderen maar ondersteunen.","410"
"Zeker nu het economisch tegenzit, is dit hard nodig.","410"
"De VVD kiest voor een kleine en krachtige overheid met lage belastingen en zonder overbodige regels.","303"
"Tegelijkertijd moet die overheid de juiste randvoorwaarden cre ëren zodat de economie kan groeien.","410"
"De VVD zet daarom in op een gunstig ondernemingsklimaat,","401"
"toponderwijs","506"
"en een goede infrastructuur.","411"
"Eind 2011 is Nederland voor de tweede keer in korte tijd in een recessie beland.","408"
"Onze economie dreigt achterop te raken.","408"
"Een land dat zijn geld verdient met de export kan zich dat niet permitteren.","408"
"Nederlanders zijn bezorgd over hun baan, het voortbestaan van hun onderneming, hun pensioen en hun spaargeld.","408"
"Zij vragen de politiek om oplossingen die het vertrouwen in de toekomst weer terugbrengen.","305"
"De VVD biedt die oplossingen.","305"
"Om de crisis op te lossen","305"
"maar ook om er sterker uit te komen.","410"
"Dat zal niet gaan zonder pijnlijke maatregelen, maar de VVD biedt daarmee ook perspectief op een gezonde en sterke economie na de crisis.","305"
"Het kabinet Rutte I heeft de afgelopen anderhalf jaar veel gedaan om de overheidsfinanci ën op orde te krijgen.","305"
"De VVD wil dit beleid voortzetten: koersvast en met daadkracht.","305"
"Een overheid die meer uitgeeft dan er binnenkomt maakt schulden.","414"
"Over die schuld moet rente worden betaald.","414"
