"content","cmp_code","eu_code"
"Inleiding","H",NA
"Wij Nederlanders hebben op 15 maart aanstaande een belangrijke vraag te beantwoorden.","601.1",NA
"Die vraag is wat voor samenleving en wat voor land wij eigenlijk willen zijn.","601.1",NA
"Er gaat ontzettend veel goed in ons prachtige land aan de Noordzee.","601.1",NA
"De voorbeelden daarvan zien wij allemaal dagelijks om ons heen.","601.1",NA
"Maar er liggen ook problemen en bedreigingen op de loer.","601.1",NA
"Ver weg en dicht bij huis.","601.1",NA
"Daarom staan we nu voor een keuze.","601.1",NA
"En niet zomaar een keuze.","601.1",NA
"We staan voor een keuze hoe we met die problemen en bedreigingen omgaan.","601.1",NA
"Zonder in te leveren aan onze manier van leven.","601.1",NA
"Zonder op te geven wie we zijn.","601.1",NA
"We moeten dus kiezen in wat voor soort land we willen leven.","601.1",NA
"En wat voor soort Nederlanders wij willen zijn.","601.1",NA
"In onze hele geschiedenis zijn wij Nederlanders voor niemand bang geweest.","601.1",NA
"Onze geschiedenis is er één van nieuwsgierigheid, van handel en van lef.","601.1",NA
"Van vrije meningsuiting, vrije godsdienstkeuze en gelijke rechten voor homo’s en hetero’s, al in een tijd dat andere landen in de wereld daar nog niet klaar voor waren.","601.1",NA
"Het land van ontspannen met verschillen omgaan.","601.1",NA
"Van vrijheid die we niet alleen van de machthebbers kregen, maar juist ook van elkáár.","601.1",NA
"Van sporters, kunstenaars en bedrijven die men over de hele wereld kent.","601.1",NA
"Van jonge start-ups met innovatieve ideeën en ondernemende zzp’ers.","601.1",NA
"Van humor, optimisme en gezelligheid.","601.1",NA
"En bovenal van typisch Nederlandse onverzettelijkheid - verantwoordelijkheid nemen als het even tegen zit - juist in moeilijke tijden.","601.1",NA
"Dat is het Nederland dat wij koesteren.","601.1",NA
"Dat is het Nederland waar wij dit verkiezingsprogramma voor hebben geschreven.","601.1",NA
"Omdat wij onszelf willen blijven.","601.1",NA
"Omdat we willen dat Nederland Nederland blijft.","601.1",NA
"Want als Nederland niet zou bestaan, dan zouden we het uitvinden.","601.1",NA
"Bijna nergens ter wereld is het leven zo goed als in ons land.","601.1",NA
"We horen bij de gelukkigste mensen ter wereld.","601.1",NA
"We zijn gehecht aan ons huis en voelen ons thuis in onze buurt.","601.1",NA
"We vinden ons werk leuk, al is het soms wel even slikken als de wekker gaat.","601.1",NA
"Maar het geeft ons mogelijkheden om een goed bestaan op te bouwen.","601.1",NA
"Onze kinderen zitten op een fijne school waar ze veel leren.","601.1",NA
"Als we de politie nodig hebben, staat de agent voor ons klaar.","601.1",NA
"Als we ziek zijn, worden we behandeld door de beste artsen.","601.1",NA
"We geven om elkaar, helpen elkaar en maken er ook nog wat leuks van.","601.1",NA
"Nee, Nederland is niet perfect.","601.1",NA
"Maar we mogen ontzettend trots zijn op het land dat we samen hebben gebouwd.","601.1",NA
"Ook in zo’n mooi land is het leven niet altijd makkelijk.","602.1",NA
"De laatste jaren waren zelfs ronduit zwaar.","602.1",NA
"De lange financiële crisis zorgde voor onrust en onzekerheid.","602.1",NA
"Bedrijven gingen failliet.","602.1",NA
"Salarissen gingen niet meer omhoog.","602.1",NA
"Mensen raakten hun baan kwijt.","602.1",NA
"En op hetzelfde moment werden er ook nog eens grote hervormingen doorgevoerd.","602.1",NA
"Onder onze leiding.","602.1",NA
"We deden dat juist om te voorkomen dat ons land verder in de schulden zou raken.","602.1",NA
"Juist om ervoor te zorgen dat Nederlanders weer onbezorgd konden wonen, werken en leven.","602.1",NA
