FleurAgemaPVV,PVV
mahiralkaya,SP
MustafaAmhaouch,CDA
khadijaArib,PvdA
FemkeMerel,PvdD
tamaravanark,VVD
LodewijkA,PvdA
F_azarkan,DENK
MalikAzmani,VVD
thierrybaudet,FvD
bentebecker,VVD
SandraBeckerman,SP
harmbeertema,PVV
SalimaBelhaj,D66
JobaCDA,CDA
Vera_Bergkamp,D66
BisschopRoelof,SGP
monicadenboer,D66
AvandenBoschVVD,VVD
Martinbosma_pvv,PVV
andrebosman,VVD
achrafboualid66,D66
CvanBrenk,50PLUS
HanTenBroeke,VVD
eppobruins,CU
HankeBruinsSlot,CDA
kathalijne,GL
ChrisvanDamCDA,CDA
AntjeDiertens,D66
dijkvangijs,PvdA
JaspervanDijkSP,SP
EmielVanDijkPVV,PVV
dijkhoff,VVD
sharon_dijksma,PvdA
piadijkstra,D66
remcovvd,VVD
carladikfaber,CU
IsabelleDiks,GL
JessicaVanEijs,D66
ZelYassini,VVD
CorinneEllemeet,GL
FrankFutselaar,SP
poortvli,CDA
KarenGerbrands1,PVV
HenkvGerven,SP
JacoGeurts,CDA
GraafdeMachiel,PVV
StienekevdGraaf,CU
rikgrashoff,GL
RidderDionGraus,PVV
TjeerdD66,D66
GroothuizenD66,D66
sybrandbuma,CDA
WybrenvanHaga,VVD
rudmer,VVD
PieterHeerma,CDA
lilianhelderpvv,PVV
Martijncda,CDA
JeanineHennis,VVD
Sophie_Hermans,VVD
Thiddema,FvD
MaartenHijink,SP
kirstenvdhul,PvdA
RobJetten,D66
leondejong,PVV
SadetKarabulut,SP
bartvankent,SP
jesseklaver,GL
danielkoerhuis,VVD
SvenKoopmansVVD,VVD
KopsPVV,PVV
suzanne_GL,GL
HenkKrol,50PLUS
AnneKuik,CDA
attjekuiken,PvdA
tunahankuzu,DENK
peterkwint,SP
antoinettelaan,VVD
CemLacin,SP
leendertdelange,VVD
TomvanderLee,GL
RenskeLeijten,SP
RoaldLinde,VVD
HelmaLodders,VVD
VickyMaeijer,PVV
MarijnissenL,SP
GidiMarkuszower,PVV
mvonmartels,CDA
Paul_van_Meenen,D66
Jan_Middendorp,VVD
harryvdmolen,CDA
wmoorlag,PvdA
AgnesMulderCDA,CDA
a_mulder,VVD
edgarmulder1,PVV
henknijboer,PvdA
cnijkerken,VVD
BramvanOjikGL,GL
PieterOmtzigt,CDA
foortvanoosten,VVD
estherouwehand,PvdD
ZihniOzdil,GL
selcukozturknl,DENK
NevinOzutok,GL
jpaternotte,D66
APechtold,D66
RenePetersOss,CDA
gjfpopken,PVV
LammertvanRaan,PvdD
RensRaemakers,D66
michelrog,CDA
ErikRonnes,CDA
MvRooijen,50PLUS
RaymondRoonPVV,PVV
MinPres,VVD
arnorutte,VVD
LeonieSazias,50PLUS
gertjansegers,CU
MatthijsSienot,D66
swsjoerdsma,D66
EvertJanSlootwe,CDA
Sneller,D66
bartsnels,GL
keesvdstaaij,SGP
chris_stoffer,SGP
ockjetellegen,VVD
mariannethieme,PvdD
JTielenVVD,VVD
GroenLiesbeth,GL
MvanToorenburg,CDA
HaykeVeldman,VVD
KeesVee,D66
JoelVoordewind,CU
lindavoortman,GL
aukjedevries,VVD
WassenbergFrank,PvdD
Danai_PVV,PVV
Lisawesterveld,GL
ArneWeverling,VVD
svanweyenberg,D66
DennisWiersma,VVD
geertwilderspvv,PVV
Worsdorfer,VVD
bvantwout,VVD
DilanYesilgoz,VVD
erikziengs,VVD
rvanaalst,PVV
markrutte,VVD
