FleurAgemaPVV,PVV
MustafaAmhaouch,CDA
khadijaArib,PvdA
FemkeMerel,PvdD
tamaravanark,VVD
LodewijkA,PvdA
F_azarkan,DENK
MalikAzmani,VVD
thierrybaudet,FvD
bentebecker,VVD
SandraBeckerman,SP
harmbeertema,PVV
SalimaBelhaj,D66
JobaCDA,CDA
Vera_Bergkamp,D66
BisschopRoelof,SGP
Martinbosma_pvv,PVV
andrebosman,VVD
achrafboualid66,D66
CvanBrenk,50PLUS
HanTenBroeke,VVD
eppobruins,CU
HankeBruinsSlot,CDA
kathalijne,GL
ChrisvanDamCDA,CDA
SanderDekker,VVD
AntjeDiertens,D66
dijkvangijs,PvdA
JaspervanDijkSP,SP
elbertdijkgraaf,SGP
dijkhoff,VVD
sharon_dijksma,PvdA
piadijkstra,D66
remcovvd,VVD
J_Dijsselbloem,PvdA
carladikfaber,CU
IsabelleDiks,GL
JessicaVanEijs,D66
ZelYassini,VVD
CorinneEllemeet,GL
ivanengelshoven,D66
FrankFutselaar,SP
KarenGerbrands1,PVV
JacoGeurts,CDA
GraafdeMachiel,PVV
rikgrashoff,GL
RidderDionGraus,PVV
TjeerdD66,D66
GroothuizenD66,D66
markharbers,VVD
sybrandbuma,CDA
PieterHeerma,CDA
lilianhelderpvv,PVV
Martijncda,CDA
JeanineHennis,VVD
Sophie_Hermans,VVD
Thiddema,FvD
MaartenHijink,SP
kirstenvdhul,PvdA
RobJetten,D66
leondejong,PVV
SadetKarabulut,SP
MonaKeijzer,CDA
bartvankent,SP
jesseklaver,GL
RaymondKnops,CDA
danielkoerhuis,VVD
NineKooiman,SP
wkoolmees,D66
SvenKoopmansVVD,VVD
KopsPVV,PVV
suzanne_GL,GL
HenkKrol,50PLUS
AnneKuik,CDA
attjekuiken,PvdA
tunahankuzu,DENK
peterkwint,SP
CemLacin,SP
TomvanderLee,GL
RenskeLeijten,SP
RoaldLinde,VVD
HelmaLodders,VVD
VickyMaeijer,PVV
MarijnissenL,SP
GidiMarkuszower,PVV
mvonmartels,CDA
Paul_van_Meenen,D66
Jan_Middendorp,VVD
harryvdmolen,CDA
AgnesMulderCDA,CDA
a_mulder,VVD
edgarmulder1,PVV
henknijboer,PvdA
cnijkerken,VVD
BramvanOjikGL,GL
PieterOmtzigt,CDA
foortvanoosten,VVD
estherouwehand,PvdD
ZihniOzdil,GL
selcukozturknl,DENK
NevinOzutok,GL
jpaternotte,D66
APechtold,D66
RenePetersOss,CDA
gjfpopken,PVV
LammertvanRaan,PvdD
RensRaemakers,D66
emileroemer,SP
michelrog,CDA
ErikRonnes,CDA
MvRooijen,50PLUS
RaymondRoonPVV,PVV
MinPres,VVD
arnorutte,VVD
LeonieSazias,50PLUS
carolaschouten,CU
gertjansegers,CU
swsjoerdsma,D66
bartsnels,GL
keesvdstaaij,SGP
ockjetellegen,VVD
mariannethieme,PvdD
GroenLiesbeth,GL
MvanToorenburg,CDA
SvVeldhoven,D66
KeesVee,D66
BarbaraVVD,VVD
JoelVoordewind,CU
lindavoortman,GL
aukjedevries,VVD
WassenbergFrank,PvdD
Danai_PVV,PVV
Lisawesterveld,GL
ArneWeverling,VVD
svanweyenberg,D66
DennisWiersma,VVD
geertwilderspvv,PVV
Worsdorfer,VVD
bvantwout,VVD
DilanYesilgoz,VVD
erikziengs,VVD
HalbeZijlstra,VVD
rvanaalst,PVV
markrutte,VVD
